block_id,village
"786,200",Hongcun 宏村
"786,200",Lucun 卢村
"786,200",Tachuan 塔川
"786,199",Xidi 西递
"786,199",Pingshan 屏山
"786,199",Bishan 碧山
"785,199",Nanping 南屏
"785,199",Guanlu 关麓
"788,199",Chengkan 呈坎
"788,199",Tangmo 唐模
"788,199",Shuyuan 蜀源
"788,199",Lingshan 灵山
"788,199",Qiankou 潜口
"789,199",Yuliang 渔梁
"789,199",Tangyue 棠樾
"789,199",Renli 仁里
"789,198",Xiongcun 雄村
"788,200",Xucun 许村
"790,199",Zhanqi 瞻淇
"790,199",Changxi 昌溪
"791,199",Shitan 石潭
"786,197",Zuyuan 祖源
"786,197",Mulihong 木梨硔
"791,200",Longchuan 龙川
"789,200",Shangzhuang 上庄
"792,201",Kantou 磡头
"783,199",Lixi 历溪
"783,199",Zhukou 渚口
"783,199",Huansha 环砂
