village,built_dom_ha,built_comp_ha
Hongcun 宏村,32.85,82.98
Xidi 西递,14.31,26.19
Lucun 卢村,7.47,30.64
Pingshan 屏山,19.8,46.31
Nanping 南屏,14.4,40.2
Guanlu 关麓,4.86,17.47
Tachuan 塔川,2.34,5.15
Bishan 碧山,27.9,52.1
Chengkan 呈坎,17.28,69.63
Tangmo 唐模,16.11,44.16
Shuyuan 蜀源,6.75,15.26
Lingshan 灵山,2.25,6.39
Qiankou 潜口,29.97,107.61
Yuliang 渔梁,56.79,258.73
Tangyue 棠樾,15.75,69.72
Xiongcun 雄村,9.18,48.25
Xucun 许村,18.81,21.63
Zhanqi 瞻淇,19.8,67.67
Changxi 昌溪,19.35,41.87
Shitan 石潭,5.4,11.55
Zuyuan 祖源,0.27,
Mulihong 木梨硔,0.0,
Longchuan 龙川,18.0,36.75
Renli 仁里,4.59,9.41
Shangzhuang 上庄,29.16,83.95
Kantou 磡头,13.41,23.72
Lixi 历溪,24.12,47.64
Zhukou 渚口,13.77,32.77
Huansha 环砂,2.79,5.59
