village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt,phase
Hongcun 宏村,100.0,100.0,-71.1,-74.1,49,365,p0_0
Xidi 西递,100.0,100.0,-77.6,-79.2,50,159,p0_0
Lucun 卢村,100.0,100.0,-78.2,-79.3,50,83,p0_0
Pingshan 屏山,100.0,100.0,-77.0,-78.2,49,220,p0_0
Nanping 南屏,100.0,100.0,-77.1,-78.3,51,160,p0_0
Guanlu 关麓,100.0,100.0,-76.6,-78.0,54,54,p0_0
Tachuan 塔川,100.0,100.0,-76.1,-78.0,52,33,p0_0
Bishan 碧山,100.0,100.0,-76.5,-78.2,52,310,p0_0
Chengkan 呈坎,100.0,100.0,-75.8,-78.4,49,192,p0_0
Tangmo 唐模,100.0,100.0,-75.6,-77.4,50,179,p0_0
Shuyuan 蜀源,90.7,96.0,-75.7,-76.5,47,75,p0_0
Lingshan 灵山,93.9,100.0,-75.5,-82.9,49,33,p0_0
Qiankou 潜口,100.0,100.0,-70.3,-74.8,49,333,p0_0
Yuliang 渔梁,71.0,96.0,-79.7,-88.2,49,631,p0_0
Tangyue 棠樾,100.0,100.0,-71.0,-72.6,48,175,p0_0
Xiongcun 雄村,98.0,100.0,-77.4,-78.7,49,102,p0_0
Xucun 许村,100.0,100.0,-73.0,-74.8,50,209,p0_0
Zhanqi 瞻淇,78.2,90.9,-83.8,-93.1,50,220,p0_0
Changxi 昌溪,89.3,97.7,-76.6,-85.1,49,215,p0_0
Shitan 石潭,95.0,96.7,-78.2,-80.6,48,60,p0_0
Zuyuan 祖源,72.7,93.9,-76.0,-92.4,48,33,p0_0
Mulihong 木梨硔,84.8,97.0,-82.5,-85.2,44,33,p0_0
Longchuan 龙川,98.5,100.0,-74.1,-76.8,51,200,p0_0
Renli 仁里,100.0,100.0,-71.7,-74.1,52,51,p0_0
Shangzhuang 上庄,100.0,100.0,-78.6,-79.8,51,324,p0_0
Kantou 磡头,100.0,100.0,-81.3,-83.2,20,149,p0_0
Lixi 历溪,89.9,99.6,-79.1,-85.0,45,268,p0_0
Zhukou 渚口,94.8,96.1,-76.9,-79.9,41,153,p0_0
Huansha 环砂,90.3,90.3,-79.4,-79.1,48,31,p0_0
Hongcun 宏村,100.0,100.0,-76.9,-79.9,52,365,p1250_0
Xidi 西递,99.4,99.4,-76.6,-78.0,53,159,p1250_0
Lucun 卢村,88.0,100.0,-75.5,-85.6,52,83,p1250_0
Pingshan 屏山,100.0,100.0,-61.9,-65.7,49,220,p1250_0
Nanping 南屏,100.0,100.0,-76.8,-77.9,51,160,p1250_0
Guanlu 关麓,100.0,100.0,-72.3,-73.7,50,54,p1250_0
Tachuan 塔川,100.0,100.0,-71.4,-74.2,51,33,p1250_0
Bishan 碧山,100.0,100.0,-76.7,-78.2,52,310,p1250_0
Chengkan 呈坎,99.5,100.0,-76.8,-78.5,51,192,p1250_0
Tangmo 唐模,100.0,100.0,-66.5,-68.8,48,179,p1250_0
Shuyuan 蜀源,90.7,92.0,-75.8,-75.6,49,75,p1250_0
Lingshan 灵山,63.6,72.7,-88.5,-106.0,50,33,p1250_0
Qiankou 潜口,99.7,100.0,-75.2,-77.9,51,333,p1250_0
Yuliang 渔梁,99.2,100.0,-71.5,-82.2,48,631,p1250_0
Tangyue 棠樾,99.4,100.0,-69.1,-73.2,48,175,p1250_0
Xiongcun 雄村,100.0,100.0,-70.3,-78.3,48,102,p1250_0
Xucun 许村,100.0,100.0,-76.4,-77.3,49,209,p1250_0
Zhanqi 瞻淇,91.8,95.0,-79.6,-84.7,50,220,p1250_0
Changxi 昌溪,49.8,100.0,-77.9,-88.6,48,215,p1250_0
Shitan 石潭,98.3,98.3,-76.8,-80.3,50,60,p1250_0
Zuyuan 祖源,12.1,75.8,-90.5,-97.1,49,33,p1250_0
Mulihong 木梨硔,42.4,100.0,-79.3,-92.1,43,33,p1250_0
Longchuan 龙川,100.0,100.0,-78.8,-80.9,49,200,p1250_0
Renli 仁里,37.3,41.2,-90.8,-100.7,51,51,p1250_0
Shangzhuang 上庄,100.0,100.0,-78.3,-79.0,51,324,p1250_0
Kantou 磡头,96.0,100.0,-76.6,-82.3,22,149,p1250_0
Lixi 历溪,100.0,100.0,-71.5,-75.0,45,268,p1250_0
Zhukou 渚口,91.5,91.5,-79.1,-84.6,41,153,p1250_0
Huansha 环砂,96.8,96.8,-78.8,-82.1,47,31,p1250_0
Hongcun 宏村,100.0,100.0,-75.3,-78.2,51,365,p0_1250
Xidi 西递,86.8,89.9,-77.9,-93.2,49,159,p0_1250
Lucun 卢村,100.0,100.0,-74.7,-76.1,50,83,p0_1250
Pingshan 屏山,100.0,100.0,-79.2,-80.3,51,220,p0_1250
Nanping 南屏,100.0,100.0,-75.2,-76.7,50,160,p0_1250
Guanlu 关麓,100.0,100.0,-78.4,-79.4,51,54,p0_1250
Tachuan 塔川,100.0,100.0,-75.0,-79.9,51,33,p0_1250
Bishan 碧山,100.0,100.0,-69.5,-73.0,51,310,p0_1250
Chengkan 呈坎,100.0,100.0,-78.1,-80.0,51,192,p0_1250
Tangmo 唐模,100.0,100.0,-77.0,-78.1,50,179,p0_1250
Shuyuan 蜀源,88.0,88.0,-78.9,-101.0,49,75,p0_1250
Lingshan 灵山,84.8,84.8,-78.3,-100.2,47,33,p0_1250
Qiankou 潜口,99.7,100.0,-74.9,-79.7,51,333,p0_1250
Yuliang 渔梁,76.7,81.3,-84.1,-104.1,51,631,p0_1250
Tangyue 棠樾,99.4,100.0,-73.6,-79.9,52,175,p0_1250
Xiongcun 雄村,100.0,100.0,-78.6,-79.6,51,102,p0_1250
Xucun 许村,100.0,100.0,-70.9,-73.6,51,209,p0_1250
Zhanqi 瞻淇,99.5,100.0,-76.8,-78.4,49,220,p0_1250
