village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-68.7,-73.4,51,365
Xidi 西递,86.8,100.0,-70.6,-85.8,49,159
Lucun 卢村,100.0,100.0,-67.6,-69.9,50,83
Pingshan 屏山,100.0,100.0,-74.7,-76.5,51,220
Nanping 南屏,100.0,100.0,-68.5,-70.9,50,160
Guanlu 关麓,100.0,100.0,-73.6,-75.1,51,54
Tachuan 塔川,100.0,100.0,-68.1,-75.8,51,33
Bishan 碧山,100.0,100.0,-59.3,-64.8,51,310
Chengkan 呈坎,100.0,100.0,-73.0,-76.1,51,192
Tangmo 唐模,100.0,100.0,-71.3,-73.1,50,179
Shuyuan 蜀源,88.0,100.0,-71.9,-89.6,49,75
Lingshan 灵山,87.9,100.0,-70.3,-88.8,47,33
Qiankou 潜口,99.7,100.0,-67.9,-75.5,51,333
Yuliang 渔梁,77.8,88.7,-78.8,-95.3,51,631
Tangyue 棠樾,100.0,100.0,-65.7,-75.9,52,175
Xiongcun 雄村,100.0,100.0,-73.9,-75.4,51,102
Xucun 许村,100.0,100.0,-61.4,-66.0,51,209
Zhanqi 瞻淇,100.0,100.0,-71.1,-73.6,49,220
Changxi 昌溪,94.9,97.7,-71.6,-77.3,52,215
Shitan 石潭,100.0,100.0,-63.7,-79.8,51,60
Zuyuan 祖源,97.0,100.0,-66.0,-77.7,45,33
Mulihong 木梨硔,78.8,97.0,-78.3,-89.0,40,33
Longchuan 龙川,100.0,100.0,-75.0,-81.8,49,200
Renli 仁里,100.0,100.0,-59.7,-61.9,49,51
Shangzhuang 上庄,100.0,100.0,-69.3,-71.8,54,324
Kantou 磡头,96.0,100.0,-73.2,-80.5,22,149
Lixi 历溪,98.1,99.6,-74.3,-76.8,46,268
Zhukou 渚口,98.7,99.3,-75.5,-78.7,41,153
Huansha 环砂,100.0,100.0,-68.9,-81.9,46,31
