village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-75.3,-78.2,51,365
Xidi 西递,86.8,89.9,-77.9,-93.2,49,159
Lucun 卢村,100.0,100.0,-74.7,-76.1,50,83
Pingshan 屏山,100.0,100.0,-79.2,-80.3,51,220
Nanping 南屏,100.0,100.0,-75.2,-76.7,50,160
Guanlu 关麓,100.0,100.0,-78.4,-79.4,51,54
Tachuan 塔川,100.0,100.0,-75.0,-79.9,51,33
Bishan 碧山,100.0,100.0,-69.5,-73.0,51,310
Chengkan 呈坎,100.0,100.0,-78.1,-80.0,51,192
Tangmo 唐模,100.0,100.0,-77.0,-78.1,50,179
Shuyuan 蜀源,88.0,88.0,-78.9,-101.0,49,75
Lingshan 灵山,84.8,84.8,-78.3,-100.2,47,33
Qiankou 潜口,99.7,100.0,-74.9,-79.7,51,333
Yuliang 渔梁,76.7,81.3,-84.1,-104.1,51,631
Tangyue 棠樾,99.4,100.0,-73.6,-79.9,52,175
Xiongcun 雄村,100.0,100.0,-78.6,-79.6,51,102
Xucun 许村,100.0,100.0,-70.9,-73.6,51,209
Zhanqi 瞻淇,99.5,100.0,-76.8,-78.4,49,220
Changxi 昌溪,94.4,95.3,-77.8,-80.9,52,215
Shitan 石潭,100.0,100.0,-72.7,-83.2,51,60
Zuyuan 祖源,87.9,100.0,-74.8,-85.2,45,33
Mulihong 木梨硔,57.6,81.8,-84.1,-95.9,40,33
Longchuan 龙川,98.0,100.0,-79.7,-84.6,49,200
Renli 仁里,100.0,100.0,-69.8,-71.3,49,51
Shangzhuang 上庄,100.0,100.0,-75.7,-77.2,54,324
Kantou 磡头,94.0,100.0,-78.3,-83.3,22,149
Lixi 历溪,98.1,99.6,-79.0,-80.5,46,268
Zhukou 渚口,96.1,99.3,-79.8,-81.8,41,153
Huansha 环砂,96.8,100.0,-75.7,-84.7,46,31
