village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-71.1,-75.8,52,365
Xidi 西递,99.4,100.0,-70.3,-72.8,53,159
Lucun 卢村,100.0,100.0,-68.4,-82.6,52,83
Pingshan 屏山,100.0,100.0,-50.6,-54.3,49,220
Nanping 南屏,100.0,100.0,-71.1,-72.8,51,160
Guanlu 关麓,100.0,100.0,-63.7,-66.0,50,54
Tachuan 塔川,100.0,100.0,-61.2,-66.3,51,33
Bishan 碧山,100.0,100.0,-70.8,-73.2,52,310
Chengkan 呈坎,99.5,100.0,-70.8,-73.5,51,192
Tangmo 唐模,100.0,100.0,-55.1,-57.6,48,179
Shuyuan 蜀源,90.7,100.0,-67.3,-68.9,49,75
Lingshan 灵山,63.6,97.0,-83.0,-94.4,50,33
Qiankou 潜口,99.7,100.0,-68.5,-72.7,51,333
Yuliang 渔梁,100.0,100.0,-62.4,-79.2,48,631
Tangyue 棠樾,100.0,100.0,-58.9,-65.2,48,175
Xiongcun 雄村,100.0,100.0,-60.7,-73.1,48,102
Xucun 许村,100.0,100.0,-70.1,-71.7,49,209
Zhanqi 瞻淇,94.5,95.5,-74.2,-81.9,50,220
Changxi 昌溪,100.0,100.0,-66.7,-79.3,48,215
Shitan 石潭,98.3,100.0,-70.1,-76.2,50,60
Zuyuan 祖源,66.7,100.0,-81.0,-86.6,49,33
Mulihong 木梨硔,81.8,100.0,-70.2,-86.1,43,33
Longchuan 龙川,100.0,100.0,-73.9,-77.3,49,200
Renli 仁里,37.3,100.0,-81.7,-89.1,51,51
Shangzhuang 上庄,100.0,100.0,-73.2,-74.4,51,324
Kantou 磡头,100.0,100.0,-70.2,-79.0,22,149
Lixi 历溪,100.0,100.0,-62.0,-68.0,45,268
Zhukou 渚口,98.0,100.0,-72.5,-81.7,41,153
Huansha 环砂,96.8,100.0,-73.2,-78.9,47,31
