village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-78.0,-80.5,53,365
Xidi 西递,100.0,100.0,-73.0,-74.9,48,159
Lucun 卢村,100.0,100.0,-70.4,-71.9,50,83
Pingshan 屏山,100.0,100.0,-77.6,-80.1,51,220
Nanping 南屏,100.0,100.0,-75.8,-77.6,52,160
Guanlu 关麓,100.0,100.0,-73.0,-74.5,50,54
Tachuan 塔川,93.9,100.0,-64.4,-75.1,50,33
Bishan 碧山,99.4,100.0,-74.4,-77.6,53,310
Chengkan 呈坎,100.0,100.0,-75.0,-79.0,51,192
Tangmo 唐模,99.4,100.0,-76.9,-82.3,49,179
Shuyuan 蜀源,90.7,90.7,-75.7,-81.6,48,75
Lingshan 灵山,84.8,84.8,-80.0,-98.3,50,33
Qiankou 潜口,99.7,100.0,-73.7,-76.6,51,333
Yuliang 渔梁,98.1,99.7,-74.8,-80.2,50,631
Tangyue 棠樾,98.3,100.0,-77.5,-78.6,48,175
Xiongcun 雄村,100.0,100.0,-74.4,-77.3,49,102
Xucun 许村,100.0,100.0,-77.3,-80.1,49,209
Zhanqi 瞻淇,99.1,99.1,-72.4,-82.1,52,220
Changxi 昌溪,98.1,98.1,-76.6,-77.4,49,215
Shitan 石潭,50.0,50.0,-87.9,-102.2,50,60
Zuyuan 祖源,81.8,90.9,-76.3,-92.8,46,33
Mulihong 木梨硔,54.5,72.7,-85.2,-105.3,40,33
Longchuan 龙川,100.0,100.0,-73.5,-74.8,52,200
Renli 仁里,100.0,100.0,-71.5,-73.8,49,51
Shangzhuang 上庄,100.0,100.0,-65.5,-68.6,51,324
Kantou 磡头,98.0,100.0,-75.8,-81.3,25,149
Lixi 历溪,88.8,94.0,-78.8,-87.1,45,268
Zhukou 渚口,98.0,99.3,-78.3,-83.0,40,153
Huansha 环砂,100.0,100.0,-76.0,-78.2,44,31
