village,doy_slope,dlst_raw,dlst_adj
Bishan 碧山,0.0191,0.04,-0.237
Changxi 昌溪,0.0032,4.086,4.235
Chengkan 呈坎,0.0162,3.8,3.614
Guanlu 关麓,0.0614,3.45,2.628
Hongcun 宏村,0.0299,1.597,1.158
Huansha 环砂,0.0106,1.269,1.806
Kantou 磡头,-0.0022,2.815,3.066
Lingshan 灵山,0.001,2.282,2.351
Lixi 历溪,0.0505,4.271,3.798
Longchuan 龙川,0.0241,2.369,2.263
Lucun 卢村,0.0431,1.233,1.006
Mulihong 木梨硔,-0.0042,0.028,0.097
Nanping 南屏,0.0368,2.794,2.579
Pingshan 屏山,0.0105,1.063,0.351
Qiankou 潜口,-0.0151,4.496,5.055
Renli 仁里,0.0623,1.156,0.019
Shangzhuang 上庄,-0.0042,4.004,4.176
Shitan 石潭,0.0109,0.054,-0.255
Shuyuan 蜀源,-0.0071,1.927,2.062
Tachuan 塔川,0.0255,0.136,-0.112
Tangmo 唐模,-0.0059,1.443,1.676
Tangyue 棠樾,-0.013,1.814,2.159
Xidi 西递,0.0232,4.434,4.403
Xiongcun 雄村,0.0518,5.063,4.529
Xucun 许村,0.066,0.232,-0.779
Yuliang 渔梁,-0.0298,7.691,8.552
Zhanqi 瞻淇,0.0106,4.153,4.254
Zhukou 渚口,-0.0091,2.718,2.931
Zuyuan 祖源,0.0022,0.559,0.469
