village,overpass_date,variant,dlst,n_core,n_ring,core_lst
Hongcun 宏村,2019-09-13,V1,4.95,79,820,39.13
Hongcun 宏村,2019-09-29,V1,0.665,79,820,30.91
Hongcun 宏村,2021-09-02,V1,-1.571,79,505,32.52
Hongcun 宏村,2021-09-18,V1,1.525,79,820,31.87
Hongcun 宏村,2024-07-24,V1,-2.145,79,792,32.69
Hongcun 宏村,2024-08-25,V1,3.713,79,820,38.51
Hongcun 宏村,2025-08-28,V1,6.518,79,820,40.73
Hongcun 宏村,2022-07-27,V1,-1.999,76,728,34.17
Hongcun 宏村,2025-06-17,V1,2.72,73,818,32.37
Hongcun 宏村,2019-09-13,V2,7.342,32,820,41.52
Hongcun 宏村,2019-09-29,V2,1.333,32,820,31.58
Hongcun 宏村,2021-09-02,V2,-2.087,32,505,32.0
Hongcun 宏村,2021-09-18,V2,2.643,32,820,32.99
Hongcun 宏村,2024-07-24,V2,-2.439,32,792,32.4
Hongcun 宏村,2024-08-25,V2,5.502,32,820,40.3
Hongcun 宏村,2025-08-28,V2,9.685,32,820,43.9
Hongcun 宏村,2022-07-27,V2,-2.462,31,728,33.71
Hongcun 宏村,2025-06-17,V2,4.29,32,818,33.94
Hongcun 宏村,2019-09-13,V3,4.779,79,79,39.13
Hongcun 宏村,2019-09-29,V3,0.268,79,79,30.91
Hongcun 宏村,2021-09-02,V3,-1.149,79,60,32.52
Hongcun 宏村,2021-09-18,V3,1.349,79,79,31.87
Hongcun 宏村,2024-07-24,V3,-1.732,79,68,32.69
Hongcun 宏村,2024-08-25,V3,3.548,79,79,38.51
Hongcun 宏村,2025-08-28,V3,6.385,79,79,40.73
Hongcun 宏村,2022-07-27,V3,-1.215,76,66,34.17
Hongcun 宏村,2025-06-17,V3,2.096,73,79,32.37
Xidi 西递,2019-09-13,V1,5.254,76,898,40.06
Xidi 西递,2019-09-29,V1,4.959,76,898,35.72
Xidi 西递,2021-09-18,V1,4.977,76,898,35.78
Xidi 西递,2024-08-25,V1,4.042,76,898,39.9
Xidi 西递,2025-08-28,V1,4.467,76,898,40.35
