village,LC08_L2SP_120039_20210918_02_T1,LC08_L2SP_120039_20200627_02_T2,LC08_L2SP_120039_20250609_02_T2,LC08_L2SP_120039_20190929_02_T1,LC08_L2SP_120039_20250828_02_T1,LC08_L2SP_120039_20240825_02_T1,LC08_L2SP_120039_20220601_02_T2,LC09_L2SP_120039_20250617_02_T1,LC08_L2SP_120039_20190913_02_T1,LC08_L2SP_120040_20240724_02_T1,LC08_L2SP_120040_20190929_02_T1,LC09_L2SP_120040_20250617_02_T1,LC08_L2SP_120040_20250828_02_T1,LC08_L2SP_120040_20200627_02_T2,LC08_L2SP_120040_20210918_02_T1,LC09_L2SP_120040_20220727_02_T1,LC08_L2SP_120040_20190913_02_T1,LC08_L2SP_120040_20210902_02_T1,LC08_L2SP_121039_20230729_02_T2,LC09_L2SP_121039_20250827_02_T1,LC09_L2SP_121039_20240909_02_T1,LC08_L2SP_121039_20210605_02_T1,LC08_L2SP_121039_20200906_02_T1,LC08_L2SP_121039_20200720_02_T1,LC09_L2SP_121039_20240808_02_T1,LC08_L2SP_121039_20220811_02_T1,LC08_L2SP_121039_20240901_02_T1,LC09_L2SP_121040_20250827_02_T1,LC08_L2SP_121040_20190920_02_T1,LC08_L2SP_121040_20200922_02_T2,LC08_L2SP_121040_20190819_02_T1,LC08_L2SP_121040_20220710_02_T1,LC08_L2SP_121040_20200906_02_T1,LC09_L2SP_121040_20240909_02_T1,LC08_L2SP_121040_20220811_02_T1,LC08_L2SP_121040_20250702_02_T1
Hongcun 宏村,4.828,,,3.608,6.384,3.579,,3.852,5.639,-2.131,-2.384,-1.269,-2.14,,-1.932,-2.018,-2.689,-1.601,,,,,,,,,,,,,,,,,,
Xidi 西递,4.828,,,4.833,4.3,3.888,,2.788,5.104,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lucun 卢村,4.575,,,5.935,3.345,1.635,,,3.797,0.123,0.253,-0.084,0.141,,-0.036,-0.087,0.254,0.359,,,,,,,,,,,,,,,,,,
Pingshan 屏山,2.688,,,1.688,3.456,2.91,,3.731,2.702,-0.924,-3.263,-1.341,-1.996,,-2.991,-1.995,-2.802,,,,,,,,,,,,,,,,,,,
Nanping 南屏,2.573,,,4.075,2.471,2.282,,0.68,2.734,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guanlu 关麓,4.032,,,5.057,2.444,2.188,,1.683,3.918,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tachuan 塔川,1.774,,,1.675,1.942,-1.062,,-0.136,1.486,-0.792,0.081,-0.962,-0.594,,-0.369,,-0.751,-0.544,,,,,,,,,,,,,,,,,,
Bishan 碧山,4.006,,,3.58,4.575,2.966,,2.397,4.46,-1.25,-3.157,-1.798,-1.695,,-2.775,-2.164,-2.56,-3.108,,,,,,,,,,,,,,,,,,
Chengkan 呈坎,4.003,,,3.741,4.311,2.126,,3.119,4.155,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tangmo 唐模,1.095,,,1.043,1.573,1.105,,0.804,1.181,,,,,,,,,,,,,,,,,,,,,,,,,,,
