pair,dropped_county,rho,p,n
tsvf~lst_v2,休宁县,0.504,0.0073,27
tsvf~lst_v2,徽州区,0.568,0.0038,24
tsvf~lst_v2,歙县,0.602,0.003,22
tsvf~lst_v2,祁门县,0.611,0.0009,26
tsvf~lst_v2,绩溪县,0.61,0.0012,25
tsvf~lst_v2,黟县,0.719,0.0002,21
tsvf~cov85_4p,休宁县,0.618,0.0006,27
tsvf~cov85_4p,徽州区,0.669,0.0003,24
tsvf~cov85_4p,歙县,0.806,0.0,22
tsvf~cov85_4p,祁门县,0.677,0.0001,26
tsvf~cov85_4p,绩溪县,0.68,0.0002,25
tsvf~cov85_4p,黟县,0.731,0.0002,21
forest_ring_pct~lst_v2,休宁县,-0.253,0.2034,27
forest_ring_pct~lst_v2,徽州区,-0.153,0.4966,22
forest_ring_pct~lst_v2,歙县,-0.338,0.1445,20
forest_ring_pct~lst_v2,祁门县,-0.229,0.2824,24
forest_ring_pct~lst_v2,绩溪县,-0.186,0.3961,23
forest_ring_pct~lst_v2,黟县,-0.505,0.0273,19
forest_ring_pct~cov85_4p,休宁县,-0.805,0.0,27
forest_ring_pct~cov85_4p,徽州区,-0.812,0.0,22
forest_ring_pct~cov85_4p,歙县,-0.879,0.0,20
forest_ring_pct~cov85_4p,祁门县,-0.81,0.0,24
forest_ring_pct~cov85_4p,绩溪县,-0.76,0.0,23
forest_ring_pct~cov85_4p,黟县,-0.716,0.0006,19
