village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt
Hongcun 宏村,100.0,100.0,-77.8,-80.4,53,365
Xidi 西递,100.0,100.0,-72.8,-74.8,48,159
Lucun 卢村,100.0,100.0,-70.1,-71.7,50,83
Pingshan 屏山,100.0,100.0,-77.6,-80.1,51,220
Nanping 南屏,100.0,100.0,-75.8,-77.6,52,160
Guanlu 关麓,100.0,100.0,-72.9,-74.5,50,54
Tachuan 塔川,93.9,100.0,-64.3,-75.2,50,33
Bishan 碧山,99.4,100.0,-74.4,-77.6,53,310
Chengkan 呈坎,100.0,100.0,-74.9,-78.8,51,192
Tangmo 唐模,99.4,100.0,-76.9,-82.2,49,179
Shuyuan 蜀源,90.7,90.7,-75.6,-81.4,48,75
Lingshan 灵山,84.8,84.8,-79.8,-97.9,50,33
Qiankou 潜口,99.7,100.0,-73.7,-76.6,51,333
Yuliang 渔梁,98.1,99.7,-74.7,-80.2,50,631
Tangyue 棠樾,98.3,100.0,-77.5,-78.6,48,175
Xiongcun 雄村,100.0,100.0,-74.4,-77.2,49,102
Xucun 许村,100.0,100.0,-77.2,-80.0,49,209
Zhanqi 瞻淇,99.1,99.1,-72.2,-82.0,52,220
Changxi 昌溪,98.1,98.1,-76.4,-77.2,49,215
Shitan 石潭,50.0,50.0,-87.5,-101.8,50,60
Zuyuan 祖源,81.8,97.0,-75.7,-91.9,46,33
Mulihong 木梨硔,54.5,72.7,-85.1,-105.1,40,33
Longchuan 龙川,100.0,100.0,-73.3,-74.7,52,200
Renli 仁里,100.0,100.0,-71.1,-73.7,49,51
Shangzhuang 上庄,100.0,100.0,-65.5,-68.5,51,324
Kantou 磡头,98.7,100.0,-75.6,-81.0,25,149
Lixi 历溪,88.8,94.0,-78.7,-86.9,45,268
Zhukou 渚口,98.0,99.3,-78.2,-82.9,40,153
Huansha 环砂,100.0,100.0,-75.6,-77.9,44,31
