village,lst_v2,lst_bg2,dlst_v2,obs_min,obs_med
Hongcun 宏村,34.21,32.97,1.24,10,12
Xidi 西递,38.69,33.64,5.05,5,6
Lucun 卢村,33.88,32.42,1.46,10,13
Pingshan 屏山,36.12,34.93,1.19,6,11
Nanping 南屏,38.18,35.85,2.33,6,6
Guanlu 关麓,37.98,34.58,3.4,5,6
Tachuan 塔川,31.34,30.93,0.41,8,10
Bishan 碧山,35.97,35.73,0.24,13,14
Chengkan 呈坎,36.86,33.87,2.99,6,6
Tangmo 唐模,37.46,36.37,1.09,6,6
Shuyuan 蜀源,35.11,33.44,1.67,6,6
Lingshan 灵山,34.55,32.54,2.02,5,6
Qiankou 潜口,39.82,35.7,4.12,6,6
Yuliang 渔梁,42.94,36.41,6.53,6,6
Tangyue 棠樾,39.85,38.03,1.82,6,6
Xiongcun 雄村,38.99,34.17,4.82,6,6
Xucun 许村,34.07,32.69,1.38,13,14
Zhanqi 瞻淇,38.66,34.61,4.05,6,6
Changxi 昌溪,37.99,33.96,4.03,6,6
Shitan 石潭,35.73,34.92,0.81,6,12
Zuyuan 祖源,32.54,32.13,0.41,5,6
Mulihong 木梨硔,31.65,31.47,0.18,6,6
Longchuan 龙川,36.38,33.86,2.52,13,13
Renli 仁里,33.99,31.39,2.6,8,9
Shangzhuang 上庄,37.65,33.77,3.87,13,13
Kantou 磡头,37.1,34.27,2.82,6,6
Lixi 历溪,39.46,33.74,5.72,10,11
Zhukou 渚口,35.09,33.28,1.8,11,11
Huansha 环砂,35.16,33.79,1.36,11,12
