village,dlst_v3,dlst_sd,n_scenes,ci_lo,ci_hi,p_pos,sig_pos,lst_v2,lst_bg2,obs_min,obs_med
Hongcun 宏村,0.84,3.52,14,-0.85,2.68,0.8196,False,34.21,32.97,10,12
Xidi 西递,4.29,0.86,6,3.61,4.83,1.0,True,38.69,33.64,5,6
Lucun 卢村,1.55,2.11,13,0.53,2.68,1.0,True,33.88,32.42,10,13
Pingshan 屏山,0.14,2.73,13,-1.28,1.56,0.5754,False,36.12,34.93,6,11
Nanping 南屏,2.47,1.09,6,1.6,3.28,1.0,True,38.18,35.85,6,6
Guanlu 关麓,3.22,1.31,6,2.29,4.18,1.0,True,37.98,34.58,5,6
Tachuan 塔川,0.13,1.15,13,-0.43,0.76,0.6667,False,31.34,30.93,8,10
Bishan 碧山,0.25,3.16,14,-1.31,1.86,0.6107,False,35.97,35.73,13,14
Chengkan 呈坎,3.58,0.82,6,2.92,4.1,1.0,True,36.86,33.87,6,6
Tangmo 唐模,1.13,0.25,6,0.97,1.34,1.0,True,37.46,36.37,6,6
Shuyuan 蜀源,1.82,0.31,6,1.64,2.07,1.0,True,35.11,33.44,6,6
Lingshan 灵山,2.2,0.37,6,1.96,2.49,1.0,True,34.55,32.54,5,6
Qiankou 潜口,4.1,0.62,6,3.66,4.53,1.0,True,39.82,35.7,6,6
Yuliang 渔梁,6.32,0.66,6,5.81,6.76,1.0,True,42.94,36.41,6,6
Tangyue 棠樾,1.52,0.63,6,1.08,2.0,1.0,True,39.85,38.03,6,6
Xiongcun 雄村,4.79,1.25,6,3.9,5.67,1.0,True,38.99,34.17,6,6
Xucun 许村,0.65,3.77,14,-1.29,2.5,0.7534,False,34.07,32.69,13,14
Zhanqi 瞻淇,3.83,0.64,6,3.34,4.27,1.0,True,38.66,34.61,6,6
Changxi 昌溪,4.02,0.48,6,3.66,4.37,1.0,True,37.99,33.96,6,6
Shitan 石潭,0.09,1.57,14,-0.69,0.88,0.5894,False,35.73,34.92,6,12
Zuyuan 祖源,0.52,0.15,6,0.41,0.62,1.0,True,32.54,32.13,5,6
Mulihong 木梨硔,0.01,0.23,6,-0.15,0.18,0.5158,False,31.65,31.47,6,6
Longchuan 龙川,2.36,1.83,13,1.43,3.33,1.0,True,36.38,33.86,13,13
Renli 仁里,0.58,2.62,12,-0.81,2.01,0.7843,False,33.99,31.39,8,9
Shangzhuang 上庄,3.88,1.84,14,2.96,4.8,1.0,True,37.65,33.77,13,13
Kantou 磡头,2.69,0.37,6,2.39,2.94,1.0,True,37.1,34.27,6,6
Lixi 历溪,4.19,1.98,12,2.99,4.95,1.0,True,39.46,33.74,10,11
Zhukou 渚口,2.53,0.95,13,2.0,2.98,1.0,True,35.09,33.28,11,11
Huansha 环砂,1.18,1.53,12,0.23,1.77,0.9872,True,35.16,33.79,11,12
