village,cov85_base,cov85_cap,d_cov85,cov95_base,cov95_cap,d_cov95,rsrp_mean_base,rsrp_mean_cap,d_rsrp_mean
Hongcun 宏村,100.0,100.0,0.0,100.0,100.0,0.0,-71.0,-71.0,0.0
Xidi 西递,100.0,100.0,0.0,100.0,100.0,0.0,-77.5,-77.5,0.0
Lucun 卢村,100.0,100.0,0.0,100.0,100.0,0.0,-78.2,-78.2,0.0
Pingshan 屏山,100.0,100.0,0.0,100.0,100.0,0.0,-76.9,-76.9,0.0
Nanping 南屏,100.0,100.0,0.0,100.0,100.0,0.0,-77.0,-77.0,0.0
Guanlu 关麓,100.0,100.0,0.0,100.0,100.0,0.0,-76.4,-76.4,0.0
Tachuan 塔川,100.0,100.0,0.0,100.0,100.0,0.0,-75.4,-75.4,0.0
Bishan 碧山,100.0,100.0,0.0,100.0,100.0,0.0,-76.3,-76.3,0.0
Chengkan 呈坎,100.0,100.0,0.0,100.0,100.0,0.0,-75.6,-75.6,0.0
Tangmo 唐模,100.0,100.0,0.0,100.0,100.0,0.0,-75.6,-75.6,0.0
Shuyuan 蜀源,90.7,90.7,0.0,96.0,96.0,0.0,-75.5,-75.5,0.0
Lingshan 灵山,93.9,93.9,0.0,100.0,100.0,0.0,-75.4,-75.4,0.0
Qiankou 潜口,100.0,100.0,0.0,100.0,100.0,0.0,-70.3,-70.3,0.0
Yuliang 渔梁,71.0,71.0,0.0,96.0,96.0,0.0,-79.7,-79.7,0.0
Tangyue 棠樾,100.0,100.0,0.0,100.0,100.0,0.0,-71.0,-71.0,0.0
Xiongcun 雄村,98.0,98.0,0.0,100.0,100.0,0.0,-77.4,-77.4,0.0
Xucun 许村,100.0,100.0,0.0,100.0,100.0,0.0,-72.9,-72.9,0.0
Zhanqi 瞻淇,78.2,78.2,0.0,90.9,90.9,0.0,-83.7,-83.7,0.0
Changxi 昌溪,89.3,89.3,0.0,97.7,97.7,0.0,-76.4,-76.4,0.0
Shitan 石潭,95.0,95.0,0.0,96.7,96.7,0.0,-77.8,-77.8,0.0
Zuyuan 祖源,72.7,72.7,0.0,93.9,93.9,0.0,-75.7,-75.7,0.0
Mulihong 木梨硔,84.8,84.8,0.0,97.0,97.0,0.0,-82.3,-82.3,0.0
Longchuan 龙川,98.5,98.5,0.0,100.0,100.0,0.0,-73.9,-73.9,0.0
Renli 仁里,100.0,100.0,0.0,100.0,100.0,0.0,-71.4,-71.4,0.0
Shangzhuang 上庄,100.0,100.0,0.0,100.0,100.0,0.0,-78.6,-78.6,0.0
Kantou 磡头,100.0,100.0,0.0,100.0,100.0,0.0,-81.1,-81.1,0.0
Lixi 历溪,92.2,92.2,0.0,99.6,99.6,0.0,-79.0,-79.0,0.0
Zhukou 渚口,94.8,94.8,0.0,96.1,96.1,0.0,-76.8,-76.8,0.0
Huansha 环砂,90.3,90.3,0.0,90.3,90.3,0.0,-79.3,-79.3,0.0
