site,x,y,z
V0001,557349.9091909033,3349330.371034871,665.822021484375
V0002,615159.9091909033,3349330.371034871,263.2588195800781
V0003,664809.9091909033,3349330.371034871,517.1906127929688
V0004,672309.9091909033,3349330.371034871,567.2386474609375
V0005,552609.9091909033,3349300.371034871,946.9675903320312
V0006,627729.9091909033,3349300.371034871,318.7080383300781
V0007,645129.9091909033,3349300.371034871,383.1257019042969
V0008,542799.9091909033,3349270.371034871,274.57476806640625
V0009,580089.9091909033,3349270.371034871,602.4716796875
V0010,584769.9091909033,3349270.371034871,680.79248046875
V0011,657879.9091909033,3349210.371034871,728.2299194335938
V0012,572079.9091909033,3349180.371034871,829.8502807617188
V0013,674559.9091909033,3349180.371034871,705.1423950195312
V0014,595119.9091909033,3349150.371034871,827.3381958007812
V0015,560469.9091909033,3349120.371034871,630.7083740234375
V0016,642009.9091909033,3349120.371034871,880.990966796875
V0017,562209.9091909033,3349090.371034871,642.6875
V0018,587019.9091909033,3349090.371034871,448.2519226074219
V0019,592359.9091909033,3349060.371034871,252.00045776367188
V0020,618039.9091909033,3349000.371034871,332.4217529296875
V0021,630519.9091909033,3349000.371034871,406.78729248046875
V0022,574419.9091909033,3348940.371034871,832.6116333007812
V0023,631929.9091909033,3348940.371034871,374.36053466796875
V0024,653049.9091909033,3348940.371034871,521.9296264648438
V0025,662049.9091909033,3348940.371034871,916.0262451171875
V0026,610419.9091909033,3348910.371034871,199.4028778076172
V0027,550569.9091909033,3348880.371034871,805.80029296875
V0028,624729.9091909033,3348850.371034871,464.3552551269531
V0029,654429.9091909033,3348820.371034871,606.9678955078125
V0030,568089.9091909033,3348760.371034871,725.80078125
V0031,612879.9091909033,3348700.371034871,293.8147888183594
V0032,555549.9091909033,3348670.371034871,618.3221435546875
V0033,640569.9091909033,3348670.371034871,831.5849609375
V0034,649419.9091909033,3348610.371034871,457.0
V0035,565059.9091909033,3348580.371034871,693.17529296875
V0036,569469.9091909033,3348550.371034871,861.8248291015625
V0037,547899.9091909033,3348520.371034871,926.7340698242188
V0038,637659.9091909033,3348490.371034871,491.95513916015625
V0039,577779.9091909033,3348460.371034871,466.7056884765625
V0040,606969.9091909033,3348460.371034871,257.50250244140625
V0041,635499.9091909033,3348460.371034871,396.4786376953125
V0042,582009.9091909033,3348430.371034871,528.6812744140625
V0043,589509.9091909033,3348400.371034871,307.7029113769531
V0044,604509.9091909033,3348400.371034871,486.9865417480469
V0045,545439.9091909033,3348370.371034871,460.45770263671875
V0046,622449.9091909033,3348310.371034871,321.3798522949219
V0047,602139.9091909033,3348280.371034871,795.025634765625
V0048,620349.9091909033,3348280.371034871,538.4193725585938
V0049,667839.9091909033,3348280.371034871,511.5872497558594
V0050,600129.9091909033,3348220.371034871,552.5681762695312
V0051,669759.9091909033,3348220.371034871,537.8831787109375
V0052,597549.9091909033,3348190.371034871,449.3143005371094
V0053,647679.9091909033,3348190.371034871,416.43841552734375
V0054,660159.9091909033,3348190.371034871,805.593505859375
V0055,552489.9091909033,3346870.371034871,747.44580078125
V0056,647619.9091909033,3346840.371034871,360.9550476074219
V0057,659769.9091909033,3346810.371034871,941.0165405273438
V0058,579699.9091909033,3346780.371034871,414.32098388671875
V0059,597189.9091909033,3346780.371034871,515.4183349609375
V0060,662199.9091909033,3346780.371034871,750.8202514648438
V0061,547119.9091909033,3346750.371034871,650.1838989257812
V0062,544599.9091909033,3346720.371034871,700.833984375
