site,x,y,z
V0001,671229.9091909033,3349360.371034871,504.2032470703125
V0002,558549.9091909033,3349330.371034871,653.5201416015625
V0003,663819.9091909033,3349330.371034871,695.3819580078125
V0004,615999.9091909033,3349300.371034871,204.33413696289062
V0005,666039.9091909033,3349300.371034871,285.955810546875
V0006,618429.9091909033,3349270.371034871,350.41717529296875
V0007,575889.9091909033,3349240.371034871,541.4360961914062
V0008,611589.9091909033,3349240.371034871,215.14573669433594
V0009,614109.9091909033,3349240.371034871,297.57354736328125
V0010,675909.9091909033,3349240.371034871,508.48199462890625
V0011,561609.9091909033,3349210.371034871,651.0302124023438
V0012,584109.9091909033,3349210.371034871,609.15771484375
V0013,585849.9091909033,3349210.371034871,593.8060302734375
V0014,551079.9091909033,3349120.371034871,989.9703979492188
V0015,626709.9091909033,3349120.371034871,368.05816650390625
V0016,599109.9091909033,3349090.371034871,347.8522644042969
V0017,643329.9091909033,3349090.371034871,721.864501953125
V0018,653409.9091909033,3349090.371034871,635.6730346679688
V0019,566499.9091909033,3349030.371034871,740.7509765625
V0020,674049.9091909033,3349030.371034871,714.8375854492188
V0021,571689.9091909033,3349000.371034871,891.6331787109375
V0022,631449.9091909033,3348970.371034871,513.1221923828125
V0023,594309.9091909033,3348940.371034871,530.1089477539062
V0024,574299.9091909033,3348910.371034871,821.970458984375
V0025,650979.9091909033,3348880.371034871,448.38201904296875
V0026,639309.9091909033,3348850.371034871,562.306640625
V0027,648849.9091909033,3348820.371034871,499.3072509765625
V0028,591849.9091909033,3348760.371034871,139.04660034179688
V0029,620649.9091909033,3348760.371034871,495.318359375
V0030,624339.9091909033,3348760.371034871,386.347900390625
V0031,641379.9091909033,3348760.371034871,983.4253540039062
V0032,658149.9091909033,3348760.371034871,630.795166015625
V0033,646809.9091909033,3348700.371034871,301.3574523925781
V0034,553209.9091909033,3348670.371034871,821.6593627929688
V0035,581259.9091909033,3348670.371034871,678.6966552734375
V0036,655659.9091909033,3348670.371034871,489.81256103515625
