village,lst_abs_composite,n_px,lst_abs
Hongcun 宏村,33.44,79,34.77
Xidi 西递,38.69,76,37.47
Lucun 卢村,33.96,81,33.73
Pingshan 屏山,36.78,78,36.35
Nanping 南屏,38.18,79,37.95
Guanlu 关麓,37.98,77,37.36
Tachuan 塔川,32.09,76,31.76
Bishan 碧山,36.32,80,36.0
Chengkan 呈坎,36.86,79,37.62
Tangmo 唐模,37.46,80,37.87
Shuyuan 蜀源,35.11,80,35.37
Lingshan 灵山,34.55,78,34.71
Qiankou 潜口,39.82,79,40.09
Yuliang 渔梁,42.94,78,42.8
Tangyue 棠樾,39.85,79,39.84
Xiongcun 雄村,38.99,78,39.26
Xucun 许村,33.63,79,33.41
Zhanqi 瞻淇,38.66,81,38.41
Changxi 昌溪,37.99,79,38.1
Shitan 石潭,36.2,80,36.31
Zuyuan 祖源,32.54,78,32.1
Mulihong 木梨硔,31.65,77,31.22
Longchuan 龙川,37.68,79,36.92
Renli 仁里,33.68,80,33.7
Shangzhuang 上庄,38.47,80,38.24
Kantou 磡头,37.1,80,37.02
Lixi 历溪,39.46,79,37.26
Zhukou 渚口,35.09,78,34.57
Huansha 环砂,35.16,79,34.19
