village,lst_abs,ci_lo,ci_hi,sd,n_over
Hongcun 宏村,34.77,32.67,37.1,3.66,9
Xidi 西递,37.47,35.13,39.46,3.06,6
Lucun 卢村,33.73,32.06,35.21,2.56,9
Pingshan 屏山,36.35,34.95,37.74,2.16,8
Nanping 南屏,37.95,36.16,39.46,2.23,6
Guanlu 关麓,37.36,35.4,39.09,2.53,6
Tachuan 塔川,31.76,30.24,33.21,2.3,8
Bishan 碧山,36.0,34.58,37.36,2.29,9
Chengkan 呈坎,37.62,35.83,39.73,2.67,6
Tangmo 唐模,37.87,35.91,39.93,2.8,6
Shuyuan 蜀源,35.37,33.7,37.23,2.49,6
Lingshan 灵山,34.71,33.01,36.64,2.58,6
Qiankou 潜口,40.09,37.76,42.47,3.28,6
Yuliang 渔梁,42.8,40.12,45.43,3.72,6
Tangyue 棠樾,39.84,37.59,42.05,3.11,6
Xiongcun 雄村,39.26,37.04,41.48,3.24,6
Xucun 许村,33.41,30.09,36.28,5.14,9
Zhanqi 瞻淇,38.41,36.33,40.35,2.76,6
Changxi 昌溪,38.1,36.09,40.04,2.77,6
Shitan 石潭,36.31,34.51,38.02,2.88,9
Zuyuan 祖源,32.1,30.4,33.66,2.29,6
Mulihong 木梨硔,31.22,29.36,32.98,2.47,6
Longchuan 龙川,36.92,34.83,38.88,3.18,8
Renli 仁里,33.7,31.65,35.86,3.41,9
Shangzhuang 上庄,38.24,36.24,40.18,3.22,9
Kantou 磡头,37.02,35.11,38.93,2.79,6
Lixi 历溪,37.26,33.91,39.78,5.53,12
Zhukou 渚口,34.57,31.29,36.89,5.45,13
Huansha 环砂,34.19,31.47,36.22,4.5,12
