id,date,cloud,path,row
LC08_L2SP_120039_20210918_02_T1,2021-09-18,0.1,120,039
LC08_L2SP_120039_20200627_02_T2,2020-06-27,0.6,120,039
LC08_L2SP_120039_20250609_02_T2,2025-06-09,1.0,120,039
LC08_L2SP_120039_20190929_02_T1,2019-09-29,1.1,120,039
LC08_L2SP_120039_20250828_02_T1,2025-08-28,1.5,120,039
LC08_L2SP_120039_20240825_02_T1,2024-08-25,1.8,120,039
LC08_L2SP_120039_20220601_02_T2,2022-06-01,2.9,120,039
LC09_L2SP_120039_20250617_02_T1,2025-06-17,3.5,120,039
LC08_L2SP_120039_20190913_02_T1,2019-09-13,4.0,120,039
LC08_L2SP_120040_20240724_02_T1,2024-07-24,1.8,120,040
LC08_L2SP_120040_20190929_02_T1,2019-09-29,2.0,120,040
LC09_L2SP_120040_20250617_02_T1,2025-06-17,2.1,120,040
LC08_L2SP_120040_20250828_02_T1,2025-08-28,2.4,120,040
LC08_L2SP_120040_20200627_02_T2,2020-06-27,3.1,120,040
LC08_L2SP_120040_20210918_02_T1,2021-09-18,4.8,120,040
LC09_L2SP_120040_20220727_02_T1,2022-07-27,6.6,120,040
LC08_L2SP_120040_20190913_02_T1,2019-09-13,6.7,120,040
LC08_L2SP_120040_20210902_02_T1,2021-09-02,8.6,120,040
LC08_L2SP_121039_20230729_02_T2,2023-07-29,0.6,121,039
LC09_L2SP_121039_20250827_02_T1,2025-08-27,1.2,121,039
LC09_L2SP_121039_20240909_02_T1,2024-09-09,4.2,121,039
LC08_L2SP_121039_20210605_02_T1,2021-06-05,4.3,121,039
LC08_L2SP_121039_20200906_02_T1,2020-09-06,4.5,121,039
LC08_L2SP_121039_20200720_02_T1,2020-07-20,4.6,121,039
LC09_L2SP_121039_20240808_02_T1,2024-08-08,5.2,121,039
LC08_L2SP_121039_20220811_02_T1,2022-08-11,5.5,121,039
LC08_L2SP_121039_20240901_02_T1,2024-09-01,6.4,121,039
LC09_L2SP_121040_20250827_02_T1,2025-08-27,0.0,121,040
LC08_L2SP_121040_20190920_02_T1,2019-09-20,0.1,121,040
LC08_L2SP_121040_20200922_02_T2,2020-09-22,0.8,121,040
LC08_L2SP_121040_20190819_02_T1,2019-08-19,1.0,121,040
LC08_L2SP_121040_20220710_02_T1,2022-07-10,2.5,121,040
LC08_L2SP_121040_20200906_02_T1,2020-09-06,2.6,121,040
LC09_L2SP_121040_20240909_02_T1,2024-09-09,2.7,121,040
LC08_L2SP_121040_20220811_02_T1,2022-08-11,3.2,121,040
LC08_L2SP_121040_20250702_02_T1,2025-07-02,3.4,121,040
