village,variant,dlst,sd,n_over,ci_lo,ci_hi,p_pos,sig_pos,dlst_cov25,n_over_cov25,dlst_with_nearzero
Hongcun 宏村,V1,1.6,3.14,9,-0.25,3.52,0.9515,False,1.6,9,1.6
Hongcun 宏村,V2,2.65,4.45,9,-0.04,5.42,0.9726,False,2.65,9,2.65
Hongcun 宏村,V3,1.59,2.86,9,-0.1,3.4,0.9682,False,1.59,9,1.59
Xidi 西递,V1,4.43,0.86,6,3.75,4.98,1.0,True,4.43,6,4.43
Xidi 西递,V2,9.62,1.89,6,8.06,10.66,1.0,True,9.62,6,9.62
Xidi 西递,V3,2.57,0.84,6,1.94,3.17,1.0,True,2.57,6,2.57
Lucun 卢村,V1,1.23,1.37,9,0.38,2.05,0.9985,True,1.23,9,1.23
Lucun 卢村,V2,2.48,2.46,9,0.9,3.98,0.9992,True,2.48,9,2.48
Lucun 卢村,V3,0.32,0.87,9,-0.26,0.79,0.8783,False,0.32,9,0.32
Pingshan 屏山,V1,1.06,1.88,8,-0.21,2.22,0.9513,False,1.5,7,1.06
Pingshan 屏山,V2,4.26,2.83,7,2.21,6.03,0.9999,True,4.26,7,4.26
Pingshan 屏山,V3,1.14,1.38,8,0.29,2.07,0.9963,True,1.41,7,1.14
Nanping 南屏,V1,2.79,1.12,6,1.88,3.61,1.0,True,2.79,6,2.79
Nanping 南屏,V2,6.41,1.7,6,5.09,7.51,1.0,True,6.41,6,6.41
Nanping 南屏,V3,0.97,0.42,6,0.68,1.3,1.0,True,0.97,6,0.97
Guanlu 关麓,V1,3.45,1.32,6,2.49,4.42,1.0,True,3.45,6,3.45
Guanlu 关麓,V2,,,0,,,,False,,0,
Guanlu 关麓,V3,1.02,0.53,6,0.58,1.33,0.9999,True,1.02,6,1.02
Tachuan 塔川,V1,0.14,0.98,8,-0.49,0.79,0.6533,False,0.3,7,0.14
Tachuan 塔川,V2,,,0,,,,False,,0,
Tachuan 塔川,V3,-0.91,1.03,7,-1.6,-0.16,0.0081,False,-0.98,6,-0.91
Bishan 碧山,V1,0.04,1.97,9,-1.18,1.25,0.5209,False,0.04,9,0.04
Bishan 碧山,V2,0.64,2.79,9,-1.08,2.35,0.772,False,0.64,9,0.64
Bishan 碧山,V3,0.16,1.2,9,-0.56,0.91,0.6551,False,0.16,9,0.16
Chengkan 呈坎,V1,3.8,0.87,6,3.09,4.36,1.0,True,3.8,6,3.8
Chengkan 呈坎,V2,6.23,1.41,6,5.19,7.22,1.0,True,6.23,6,6.23
Chengkan 呈坎,V3,1.78,0.44,6,1.47,2.1,1.0,True,1.78,6,1.78
Tangmo 唐模,V1,1.44,0.29,6,1.25,1.65,1.0,True,1.44,6,1.44
Tangmo 唐模,V2,5.17,1.0,6,4.45,5.88,1.0,True,5.17,6,5.17
Tangmo 唐模,V3,1.35,0.41,6,1.08,1.66,1.0,True,1.35,6,1.35
Shuyuan 蜀源,V1,1.93,0.32,6,1.73,2.18,1.0,True,1.93,6,1.93
Shuyuan 蜀源,V2,6.23,0.95,6,5.59,6.98,1.0,True,6.23,6,6.23
Shuyuan 蜀源,V3,0.75,0.54,6,0.4,1.12,1.0,True,0.75,6,0.75
Lingshan 灵山,V1,2.28,0.38,6,2.04,2.59,1.0,True,2.28,6,2.28
Lingshan 灵山,V2,,,0,,,,False,,0,
Lingshan 灵山,V3,2.0,0.36,6,1.77,2.28,1.0,True,2.0,6,2.0
Qiankou 潜口,V1,4.5,0.68,6,4.0,4.98,1.0,True,4.5,6,4.5
Qiankou 潜口,V2,6.55,0.97,6,5.82,7.23,1.0,True,6.55,6,6.55
Qiankou 潜口,V3,2.36,0.72,6,1.81,2.84,1.0,True,2.36,6,2.36
Yuliang 渔梁,V1,7.69,0.91,6,6.98,8.31,1.0,True,7.69,6,7.69
Yuliang 渔梁,V2,8.7,1.08,6,7.86,9.42,1.0,True,8.7,6,8.7
Yuliang 渔梁,V3,4.19,1.02,6,3.44,4.9,1.0,True,4.19,6,4.19
Tangyue 棠樾,V1,1.81,0.69,6,1.28,2.3,1.0,True,1.81,6,1.81
Tangyue 棠樾,V2,3.79,0.97,6,3.0,4.4,1.0,True,3.79,6,3.79
Tangyue 棠樾,V3,1.73,0.75,6,1.16,2.21,1.0,True,1.73,6,1.73
Xiongcun 雄村,V1,5.06,1.35,6,4.04,6.01,1.0,True,5.06,6,5.06
Xiongcun 雄村,V2,6.9,0.92,6,6.21,7.52,1.0,True,6.9,6,6.9
Xiongcun 雄村,V3,1.73,0.5,6,1.35,2.08,1.0,True,1.73,6,1.73
Xucun 许村,V1,0.23,3.39,9,-2.04,2.02,0.62,False,0.23,9,0.23
Xucun 许村,V2,1.27,5.48,9,-2.48,4.13,0.7737,False,1.27,9,1.27
Xucun 许村,V3,-0.04,2.36,9,-1.69,1.02,0.522,False,-0.04,9,-0.04
Zhanqi 瞻淇,V1,4.15,0.69,6,3.63,4.63,1.0,True,4.15,6,4.15
Zhanqi 瞻淇,V2,7.32,1.27,6,6.4,8.19,1.0,True,7.32,6,7.32
Zhanqi 瞻淇,V3,1.83,0.44,6,1.49,2.12,1.0,True,1.83,6,1.83
Changxi 昌溪,V1,4.09,0.5,6,3.71,4.45,1.0,True,4.09,6,4.09
Changxi 昌溪,V2,7.22,1.14,6,6.38,7.98,1.0,True,7.22,6,7.22
Changxi 昌溪,V3,2.11,0.36,6,1.83,2.34,1.0,True,2.11,6,2.11
Shitan 石潭,V1,0.05,1.03,9,-0.6,0.66,0.577,False,0.05,9,0.05
Shitan 石潭,V2,1.76,1.88,8,0.51,2.95,0.9973,True,1.76,8,1.76
Shitan 石潭,V3,-0.82,1.35,9,-1.68,-0.04,0.0182,False,-0.82,9,-0.82
Zuyuan 祖源,V1,0.56,0.15,6,0.45,0.66,1.0,True,0.56,6,0.56
Zuyuan 祖源,V2,,,0,,,,False,,0,
Zuyuan 祖源,V3,0.96,0.2,6,0.83,1.1,1.0,True,0.96,6,0.96
Mulihong 木梨硔,V1,0.03,0.23,6,-0.13,0.2,0.619,False,0.03,6,0.03
Mulihong 木梨硔,V2,,,0,,,,False,,0,
Mulihong 木梨硔,V3,0.33,0.26,6,0.15,0.54,1.0,True,0.33,6,0.33
Longchuan 龙川,V1,2.37,1.15,8,1.6,3.08,1.0,True,2.37,8,2.37
Longchuan 龙川,V2,3.49,2.35,8,2.01,5.03,1.0,True,3.49,8,3.49
Longchuan 龙川,V3,0.87,0.42,8,0.61,1.15,1.0,True,0.87,8,0.87
Renli 仁里,V1,1.16,2.6,9,-0.48,2.75,0.9146,False,2.11,7,1.16
Renli 仁里,V2,,,0,,,,False,,0,
Renli 仁里,V3,1.49,1.86,8,0.24,2.64,0.9886,True,1.88,7,1.49
Shangzhuang 上庄,V1,4.0,1.45,9,3.1,4.87,1.0,True,4.0,9,4.0
Shangzhuang 上庄,V2,5.21,2.16,9,3.83,6.48,1.0,True,5.75,8,5.21
Shangzhuang 上庄,V3,2.59,0.98,9,1.98,3.18,1.0,True,2.59,9,2.59
Kantou 磡头,V1,2.81,0.38,6,2.5,3.06,1.0,True,2.81,6,2.81
Kantou 磡头,V2,5.71,0.72,6,5.18,6.22,1.0,True,5.71,6,5.71
Kantou 磡头,V3,1.68,0.52,6,1.32,2.06,1.0,True,1.68,6,1.68
Lixi 历溪,V1,4.27,1.99,12,3.07,5.03,1.0,True,4.83,11,4.27
Lixi 历溪,V2,7.26,0.85,11,6.78,7.73,1.0,True,7.26,11,7.26
Lixi 历溪,V3,1.88,1.57,12,0.94,2.55,0.9998,True,2.31,11,1.88
Zhukou 渚口,V1,2.72,0.96,13,2.17,3.18,1.0,True,2.94,12,2.72
Zhukou 渚口,V2,7.3,0.97,11,6.77,7.86,1.0,True,7.3,11,7.3
Zhukou 渚口,V3,1.34,0.99,13,0.78,1.79,1.0,True,1.52,12,1.34
Huansha 环砂,V1,1.27,1.54,12,0.34,1.88,0.9912,True,1.27,12,1.27
Huansha 环砂,V2,,,0,,,,False,,0,
Huansha 环砂,V3,-0.28,1.86,12,-1.41,0.38,0.3566,False,-0.28,12,-0.28
