village,A_ha,P_km,elong_pca,elong_mbr,isoq,solidity,elong,compact,built_ha
Hongcun 宏村,28.409362659573638,7.743082876979115,2.15,2.023,0.0595,0.5305,1.78,0.37,82.98
Xidi 西递,17.48173806884898,12.404991226144165,2.931,2.101,0.0143,0.3095,3.39,0.19,26.19
Lucun 卢村,5.460621027228189,3.586774074680634,1.092,1.056,0.0533,0.6865,1.4,0.08,30.64
Pingshan 屏山,19.015554448135905,7.883332453457641,1.34,1.206,0.0385,0.6336,1.76,0.12,46.31
Nanping 南屏,11.741408048149733,5.279557584938967,1.153,0.904,0.0529,0.636,1.36,0.1,40.2
Guanlu 关麓,0.007408081942554803,0.03450746275447638,,,0.7818,,1.76,0.06,17.47
Tachuan 塔川,0.747284815966994,0.6035301912031045,1.395,1.137,0.2578,0.8978,1.62,0.01,5.15
Bishan 碧山,27.88332142044828,11.12577205681955,1.908,1.498,0.0283,0.4869,1.71,0.17,52.1
Chengkan 呈坎,38.78741282813903,13.45650181196316,2.05,2.045,0.0269,0.4301,2.6,0.2,69.63
Tangmo 唐模,15.138740725293154,5.884252494340273,1.45,1.514,0.0549,0.6338,1.3,0.12,44.16
Shuyuan 蜀源,4.607309905852853,2.4499017102575946,1.493,1.277,0.0965,0.5854,4.11,0.04,15.26
Lingshan 灵山,0.7850901216941615,0.603820893894991,1.88,1.681,0.2706,0.9138,2.61,0.02,6.39
Qiankou 潜口,53.08078800372052,19.033656852006878,4.053,2.848,0.0184,0.4628,1.21,0.3,107.61
Yuliang 渔梁,230.9530716996703,46.50494343299752,1.645,1.164,0.0134,0.4671,1.26,0.66,258.73
Tangyue 棠樾,0.3186427748444244,0.32786658582573935,1.684,1.567,0.3725,1.075,1.03,0.17,69.72
Xiongcun 雄村,0.7339635926936938,0.6903964078024435,2.476,2.175,0.1935,0.7148,1.12,0.17,48.25
Xucun 许村,9.13207706272948,3.5697931356103947,2.336,1.943,0.0901,0.6402,1.39,0.14,21.63
Zhanqi 瞻淇,76.91383338821261,33.769224672178446,4.961,3.053,0.0085,0.2242,3.61,0.19,67.67
Changxi 昌溪,23.606059287930258,7.021783742910138,4.794,3.716,0.0602,0.6506,3.68,0.18,41.87
Shitan 石潭,1.5180607050074153,0.8797793126931374,1.3,1.161,0.2465,0.8071,2.97,0.03,11.55
Zuyuan 祖源,0.08910686396292458,0.13818174582685575,1.873,2.05,0.5864,1.8462,,,
Mulihong 木梨硔,,,,,,,,,
Longchuan 龙川,0.5841796179860901,0.6550888816561319,1.167,1.032,0.1711,0.6556,2.42,0.15,36.75
Renli 仁里,3.294124065375726,1.7075222947037043,2.365,1.818,0.142,0.5863,3.61,0.02,9.41
Shangzhuang 上庄,54.258220384567906,15.132610156978599,6.831,4.479,0.0298,0.4617,2.35,0.3,83.95
Kantou 磡头,13.148342557424252,7.700034166815089,1.318,1.292,0.0279,0.4427,1.71,0.09,23.72
Lixi 历溪,24.890565799664383,8.730291699093037,2.027,1.925,0.041,0.4873,1.48,0.26,47.64
Zhukou 渚口,28.71899884059742,15.376240082000214,11.826,7.38,0.0153,0.2715,5.43,0.1,32.77
Huansha 环砂,1.081181834477779,0.8625385548279806,2.469,2.406,0.1826,0.7956,2.26,0.01,5.59
