village,built_fd_ha,n_built_px,cover_dom_pct,elong_fd,compact_fd,perim_m,edge_den_m_ha,n_patches,patch_den,lps_pct
Hongcun 宏村,31.9,4311,40.62,1.231,0.0522,8765.3,274.8,9.0,0.28,80.6
Xidi 西递,14.16,1911,18.02,2.889,0.0174,10099.8,713.5,6.0,0.42,98.0
Lucun 卢村,7.59,1026,9.67,1.487,0.0235,6372.8,839.5,26.0,3.42,71.9
Pingshan 屏山,20.22,2730,25.74,1.238,0.0319,8927.9,441.6,7.0,0.35,94.1
Nanping 南屏,13.83,1867,17.61,1.442,0.0325,7308.4,528.4,8.0,0.58,84.9
Guanlu 关麓,5.12,691,6.52,1.352,0.0132,6976.7,1362.9,28.0,5.47,48.5
Tachuan 塔川,2.14,289,2.72,3.082,0.0287,3057.6,1429.9,19.0,8.89,34.9
Bishan 碧山,27.56,3722,35.09,1.669,0.0217,12633.1,458.4,17.0,0.62,94.9
Chengkan 呈坎,16.89,2281,21.51,1.794,0.0162,11442.5,677.3,14.0,0.83,47.8
Tangmo 唐模,16.36,2208,20.83,1.641,0.0372,7435.3,454.4,7.0,0.43,92.5
Shuyuan 蜀源,6.08,821,7.74,1.603,0.0472,4025.8,662.0,8.0,1.32,75.8
Lingshan 灵山,2.4,324,3.06,1.506,0.0342,2969.7,1237.5,20.0,8.33,32.7
Qiankou 潜口,29.32,3956,37.33,1.658,0.0315,10811.0,368.8,14.0,0.48,88.3
Yuliang 渔梁,56.24,7590,71.61,1.064,0.0474,12212.3,217.1,2.0,0.04,100.0
Tangyue 棠樾,16.07,2169,20.46,1.375,0.0219,9607.2,597.7,21.0,1.31,63.0
Xiongcun 雄村,9.26,1249,11.79,1.739,0.0281,6434.6,694.9,9.0,0.97,77.9
Xucun 许村,11.3,1527,14.39,1.574,0.0681,4567.6,404.2,3.0,0.27,78.5
Zhanqi 瞻淇,19.55,2639,24.9,2.034,0.0379,8052.0,411.8,9.0,0.46,92.7
Changxi 昌溪,19.1,2578,24.31,3.483,0.0837,5353.3,280.3,1.0,0.05,100.0
Shitan 石潭,5.54,748,7.05,1.703,0.0825,2904.8,524.4,10.0,1.81,59.6
Zuyuan 祖源,0.19,26,0.25,2.369,0.1294,433.0,2242.6,4.0,20.72,46.2
Mulihong 木梨硔,0.0,0,0.0,,,,,,,
Longchuan 龙川,17.59,2379,22.4,1.93,0.0464,6905.4,392.5,10.0,0.57,77.4
Renli 仁里,4.6,622,5.86,1.554,0.0338,4139.8,899.1,25.0,5.43,71.5
Shangzhuang 上庄,29.25,3957,37.24,2.124,0.0667,7424.3,253.9,9.0,0.31,97.1
Kantou 磡头,13.36,1810,17.01,1.285,0.0252,8167.5,611.2,7.0,0.52,98.4
Lixi 历溪,23.79,3211,30.29,1.827,0.0351,9233.9,388.2,10.0,0.42,95.7
Zhukou 渚口,14.27,1926,18.17,2.434,0.0535,5790.3,405.6,4.0,0.28,97.7
Huansha 环砂,2.55,345,3.25,2.343,0.0381,2902.8,1136.2,13.0,5.09,42.3
