vid,village,built_fd_ha,n_built_px,cover_dom_pct,elong_fd,compact_fd,perim_m,edge_den_m_ha,n_patches,patch_den,lps_pct
hongcun,Hongcun 宏村,31.9,4311,40.62,1.231,0.0522,8765.3,111.6,9.0,0.11,80.6
xidi,Xidi 西递,14.16,1911,18.02,2.889,0.0174,10099.8,128.6,12.0,0.15,97.3
lucun,Lucun 卢村,7.59,1026,9.67,1.487,0.0235,6372.8,81.1,28.0,0.36,71.8
pingshan,Pingshan 屏山,20.22,2730,25.74,1.238,0.0319,8927.9,113.7,7.0,0.09,94.1
nanping,Nanping 南屏,13.83,1867,17.61,1.442,0.0325,7308.4,93.1,8.0,0.1,84.9
guanlu,Guanlu 关麓,5.12,691,6.52,1.352,0.0132,6976.7,88.8,32.0,0.41,46.5
tachuan,Tachuan 塔川,2.14,289,2.72,3.082,0.0287,3057.6,38.9,20.0,0.25,34.9
bishan,Bishan 碧山,27.56,3722,35.09,1.669,0.0217,12633.1,160.9,24.0,0.31,94.8
chengkan,Chengkan 呈坎,16.89,2281,21.51,1.794,0.0162,11442.5,145.7,16.0,0.2,47.8
tangmo,Tangmo 唐模,16.36,2208,20.83,1.641,0.0372,7435.3,94.7,10.0,0.13,92.4
shuyuan,Shuyuan 蜀源,6.08,821,7.74,1.603,0.0472,4025.8,51.3,10.0,0.13,74.7
lingshan,Lingshan 灵山,2.4,324,3.06,1.506,0.0342,2969.7,37.8,21.0,0.27,32.7
qiankou,Qiankou 潜口,29.32,3956,37.33,1.658,0.0315,10811.0,137.7,17.0,0.22,88.2
yuliang,Yuliang 渔梁,56.24,7590,71.61,1.064,0.0474,12212.3,155.5,4.0,0.05,99.9
tangyue,Tangyue 棠樾,16.07,2169,20.46,1.375,0.0219,9607.2,122.3,23.0,0.29,63.0
xiongcun,Xiongcun 雄村,9.26,1249,11.79,1.739,0.0281,6434.6,81.9,12.0,0.15,51.0
xucun,Xucun 许村,11.3,1527,14.39,1.574,0.0681,4567.6,58.2,3.0,0.04,78.5
zhanqi,Zhanqi 瞻淇,19.55,2639,24.9,2.034,0.0379,8052.0,102.5,14.0,0.18,92.6
changxi,Changxi 昌溪,19.1,2578,24.31,3.483,0.0837,5353.3,68.2,1.0,0.01,100.0
shitan,Shitan 石潭,5.54,748,7.05,1.703,0.0825,2904.8,37.0,11.0,0.14,59.6
zuyuan,Zuyuan 祖源,0.19,26,0.25,2.369,0.1294,433.0,5.5,4.0,0.05,46.2
mulihong,Mulihong 木梨硔,0.0,0,0.0,,,,,,,
longchuan,Longchuan 龙川,17.59,2379,22.4,1.93,0.0464,6905.4,87.9,14.0,0.18,77.1
renli,Renli 仁里,4.6,622,5.86,1.554,0.0338,4139.8,52.7,25.0,0.32,71.5
shangzhuang,Shangzhuang 上庄,29.25,3957,37.24,2.124,0.0667,7424.3,94.5,10.0,0.13,97.1
kantou,Kantou 磡头,13.36,1810,17.01,1.285,0.0252,8167.5,104.0,8.0,0.1,98.1
lixi,Lixi 历溪,23.79,3211,30.29,1.827,0.0351,9233.9,117.6,13.0,0.17,95.6
zhukou,Zhukou 渚口,14.27,1926,18.17,2.434,0.0535,5790.3,73.7,4.0,0.05,97.7
huansha,Huansha 环砂,2.55,345,3.25,2.343,0.0381,2902.8,37.0,13.0,0.17,42.3
