village,built_fd_ha,n_built_px,elong_fd,compact_fd,elong,compact
Hongcun 宏村,31.9,4311,1.231,0.0524,1.78,0.37
Xidi 西递,14.16,1911,2.889,0.0172,3.39,0.19
Lucun 卢村,7.59,1026,1.487,0.0233,1.4,0.08
Pingshan 屏山,20.22,2730,1.238,0.0316,1.76,0.12
Nanping 南屏,13.83,1867,1.442,0.0325,1.36,0.1
Guanlu 关麓,5.12,691,1.352,0.013,1.76,0.06
Tachuan 塔川,2.14,289,3.082,0.0285,1.62,0.01
Bishan 碧山,27.56,3722,1.669,0.0217,1.71,0.17
Chengkan 呈坎,16.89,2281,1.794,0.0164,2.6,0.2
Tangmo 唐模,16.36,2208,1.641,0.0367,1.3,0.12
Shuyuan 蜀源,6.08,821,1.603,0.0473,4.11,0.04
Lingshan 灵山,2.4,324,1.506,0.0342,2.61,0.02
Qiankou 潜口,29.32,3956,1.658,0.0313,1.21,0.3
Yuliang 渔梁,56.24,7590,1.064,0.0472,1.26,0.66
Tangyue 棠樾,16.07,2169,1.375,0.0216,1.03,0.17
Xiongcun 雄村,9.26,1249,1.739,0.0282,1.12,0.17
Xucun 许村,11.3,1527,1.574,0.0673,1.39,0.14
Zhanqi 瞻淇,19.55,2639,2.034,0.0375,3.61,0.19
Changxi 昌溪,19.1,2578,3.483,0.0844,3.68,0.18
Shitan 石潭,5.54,748,1.703,0.0819,2.97,0.03
Zuyuan 祖源,0.19,26,2.369,0.1301,,
Mulihong 木梨硔,0.0,0,,,,
Longchuan 龙川,17.59,2379,1.93,0.0456,2.42,0.15
Renli 仁里,4.6,622,1.554,0.0341,3.61,0.02
Shangzhuang 上庄,29.25,3957,2.124,0.0663,2.35,0.3
Kantou 磡头,13.36,1810,1.285,0.0252,1.71,0.09
Lixi 历溪,23.79,3211,1.827,0.035,1.48,0.26
Zhukou 渚口,14.27,1926,2.434,0.0518,5.43,0.1
Huansha 环砂,2.55,345,2.343,0.0382,2.26,0.01
