village,county,lon,lat,snap_m,built_ha,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,built_dom_ha
Hongcun 宏村,黟县,117.97877,30.00398,246.4,28.41,307.4,66.0,5.2,0.052,-5.2,0.922,54.1,318.6,8.0,32.85
Xidi 西递,黟县,117.989,29.90572,62.5,17.48,241.2,90.0,11.0,0.154,9.2,0.874,79.7,320.3,9.2,14.31
Lucun 卢村,黟县,117.97046,30.01716,7.7,5.46,327.8,71.0,5.3,0.353,5.4,0.897,36.1,1473.4,1295.8,7.47
Pingshan 屏山,黟县,117.97569,29.94208,2.8,19.02,218.1,41.0,3.7,0.147,4.1,0.915,38.6,421.6,88.4,19.8
Nanping 南屏,黟县,117.89974,29.90152,33.4,11.74,212.9,30.0,2.4,-0.508,-12.2,0.935,35.6,1485.1,1182.5,14.4
Guanlu 关麓,黟县,117.86535,29.89811,43.0,1.41,230.8,34.0,3.7,-0.396,-11.8,0.905,37.4,1362.6,1289.8,4.86
Tachuan 塔川,黟县,118.00432,30.02193,34.1,0.75,402.6,189.0,13.5,0.597,52.3,0.82,90.4,1902.2,1854.8,2.34
Bishan 碧山,黟县,117.90895,29.95348,79.5,27.88,246.8,71.0,4.0,0.323,12.5,0.933,43.2,473.4,8.0,27.81
Chengkan 呈坎,徽州区,118.28052,29.92489,547.2,38.79,196.1,43.0,3.7,0.37,7.1,0.901,60.4,294.5,8.0,33.84
Tangmo 唐模,徽州区,118.32897,29.87157,215.5,15.14,146.7,29.0,3.8,-0.086,-2.4,0.975,58.7,693.0,398.8,16.11
Shuyuan 蜀源,徽州区,118.33107,29.90929,35.3,4.61,174.8,96.0,11.3,0.134,0.8,0.856,64.7,1789.0,1623.2,6.75
Lingshan 灵山,徽州区,118.31582,29.91868,33.1,0.11,311.9,203.0,18.2,-0.02,2.2,0.854,90.5,2616.2,2599.1,2.07
Qiankou 潜口,徽州区,118.29549,29.86674,234.0,53.08,170.8,31.0,4.0,0.269,6.3,0.957,61.2,760.0,315.6,29.88
Yuliang 渔梁,歙县,118.43282,29.88196,1751.1,1165.38,119.9,47.0,4.1,-0.11,-2.8,0.954,45.1,436.5,8.0,37.62
Tangyue 棠樾,歙县,118.3603,29.8683,15.0,0.32,129.7,22.0,2.0,0.223,6.5,0.984,16.2,333.5,304.1,15.75
Xiongcun 雄村,歙县,118.44106,29.81713,603.3,56.84,138.3,130.0,13.5,-0.188,-17.5,0.763,64.2,331.0,8.0,11.25
Xucun 许村,歙县,118.3201,29.99725,154.2,0.07,188.0,69.0,5.0,0.076,0.2,0.883,89.6,2713.9,2708.5,32.67
Zhanqi 瞻淇,歙县,118.52106,29.8781,421.7,169.39,143.4,75.0,11.8,0.099,-7.3,0.868,72.6,3217.0,8.0,20.52
Changxi 昌溪,歙县,118.64396,29.91287,80.3,23.61,144.6,136.0,16.2,0.068,-6.5,0.848,75.8,142.2,8.0,19.35
Shitan 石潭,歙县,118.66476,29.9372,78.0,1.52,167.4,152.0,20.3,0.127,6.2,0.786,76.6,112.1,46.1,5.4
Zuyuan 祖源,休宁县,118.03062,29.66172,30.8,0.09,422.1,251.0,22.5,-0.171,-12.9,0.738,89.1,2616.0,2598.4,0.27
Mulihong 木梨硔,休宁县,117.99974,29.65539,808.1,0.09,370.0,262.0,24.1,0.255,66.8,0.715,99.7,1399.8,1372.4,0.09
Longchuan 龙川,绩溪县,118.67021,30.07988,338.4,0.01,205.1,112.0,9.8,-0.088,-19.5,0.856,39.0,80.4,80.4,11.34
Renli 仁里,绩溪县,118.37129,29.97276,38.0,3.29,294.4,180.0,16.0,0.419,56.7,0.834,91.0,1974.0,1810.8,4.59
Shangzhuang 上庄,绩溪县,118.43971,30.12651,541.2,61.32,280.8,36.0,3.8,0.005,1.1,0.897,24.7,782.4,18.5,25.65
Kantou 磡头,绩溪县,118.81129,30.23962,2.4,13.15,284.8,113.0,12.3,-0.266,-7.5,0.839,63.2,2588.7,2186.5,13.41
Lixi 历溪,祁门县,117.50657,29.90047,4.8,24.89,137.0,143.0,10.7,0.225,9.4,0.87,79.7,176.5,8.0,24.12
Zhukou 渚口,祁门县,117.48741,29.85292,293.1,41.81,123.8,119.0,14.1,-0.002,0.4,0.795,97.3,1008.0,33.5,12.15
Huansha 环砂,祁门县,117.51296,29.93477,5.5,1.08,159.8,110.0,12.9,0.148,6.8,0.835,85.4,2589.1,2508.5,2.79
