vid,village,county,lon,lat,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,water_src,built_wc_ha,built_dom_ha
hongcun,Hongcun 宏村,黟县,117.97877,30.00398,307.4,66.0,5.2,0.053,-5.1,0.922,49.0,243.5,8.0,built-in-domain,31.9,32.85
xidi,Xidi 西递,黟县,117.989,29.90572,241.2,90.0,11.0,0.155,9.3,0.874,85.6,282.8,9.2,built-in-domain,14.16,14.31
lucun,Lucun 卢村,黟县,117.97046,30.01716,327.8,71.0,5.3,0.353,5.4,0.897,68.9,1424.1,1158.8,built-in-domain,7.59,7.47
pingshan,Pingshan 屏山,黟县,117.97569,29.94208,218.1,41.0,3.7,0.147,4.1,0.914,47.5,423.0,88.4,built-in-domain,20.22,19.8
nanping,Nanping 南屏,黟县,117.89974,29.90152,212.9,30.0,2.4,-0.508,-12.2,0.936,25.0,1452.0,1139.5,built-in-domain,13.83,14.4
guanlu,Guanlu 关麓,黟县,117.86535,29.89811,230.9,34.0,3.7,-0.396,-11.9,0.905,45.1,1280.1,866.4,built-in-domain,5.12,4.86
tachuan,Tachuan 塔川,黟县,118.00432,30.02193,402.6,189.0,13.5,0.597,52.3,0.818,86.1,1971.0,1746.4,built-in-domain,2.14,2.34
bishan,Bishan 碧山,黟县,117.90895,29.95348,246.7,71.0,4.0,0.324,12.4,0.931,44.6,449.4,8.0,built-in-domain,27.56,27.9
chengkan,Chengkan 呈坎,徽州区,118.27538,29.92048,204.9,68.0,7.9,0.243,5.7,0.905,63.3,752.9,261.2,built-in-domain,16.89,17.28
tangmo,Tangmo 唐模,徽州区,118.32897,29.87157,146.7,29.0,3.8,-0.086,-2.4,0.975,55.8,692.4,398.8,built-in-domain,16.36,16.11
shuyuan,Shuyuan 蜀源,徽州区,118.33107,29.90929,174.8,96.0,11.3,0.134,0.8,0.856,90.1,1783.4,1391.5,built-in-domain,6.08,6.75
lingshan,Lingshan 灵山,徽州区,118.31642,29.91924,304.7,206.0,17.9,0.062,2.6,0.877,84.6,2349.1,1953.2,built-in-domain,2.4,2.25
qiankou,Qiankou 潜口,徽州区,118.29549,29.86674,170.8,31.0,4.0,0.27,6.3,0.957,45.2,631.5,248.9,built-in-domain,29.32,29.97
yuliang,Yuliang 渔梁,歙县,118.43587,29.86988,143.4,80.0,7.9,0.027,-0.0,0.927,33.0,533.4,193.9,built-in-domain,56.24,56.79
tangyue,Tangyue 棠樾,歙县,118.3603,29.8683,129.7,22.0,2.0,0.222,6.4,0.983,29.6,351.2,16.1,built-in-domain,16.07,15.75
xiongcun,Xiongcun 雄村,歙县,118.43321,29.82146,125.9,43.0,5.8,-0.032,-1.4,0.917,55.4,414.6,48.8,built-in-domain,9.26,9.18
xucun,Xucun 许村,歙县,118.32063,30.00146,193.6,86.0,5.8,0.209,7.2,0.889,70.6,2808.5,2487.4,built-in-domain,11.3,18.81
zhanqi,Zhanqi 瞻淇,歙县,118.51714,29.87485,138.4,65.0,10.6,0.064,-1.4,0.881,70.9,2839.8,2240.1,built-in-domain,19.55,19.8
changxi,Changxi 昌溪,歙县,118.64396,29.91287,144.6,136.0,16.2,0.067,-6.5,0.848,85.7,151.0,8.0,built-in-domain,19.1,19.35
shitan,Shitan 石潭,歙县,118.66476,29.9372,167.4,152.0,20.3,0.129,6.3,0.787,93.0,138.2,25.8,built-in-domain,5.54,5.4
zuyuan,Zuyuan 祖源,休宁县,118.0306,29.662,419.9,241.0,22.3,-0.147,-3.5,0.735,97.9,2936.5,2890.9,built-in-domain,0.19,0.27
mulihong,Mulihong 木梨硔,休宁县,118.0017,29.6483,405.0,320.0,26.3,-0.27,-47.0,0.91,99.9,1330.5,1330.5,domain-centre,0.0,0.0
longchuan,Longchuan 龙川,绩溪县,118.66749,30.07791,200.3,103.0,7.8,-0.038,-13.2,0.878,74.4,175.8,8.0,built-in-domain,17.59,18.0
renli,Renli 仁里,绩溪县,118.37129,29.97276,294.6,180.0,16.0,0.418,56.7,0.834,96.2,1967.3,1493.5,built-in-domain,4.6,4.59
shangzhuang,Shangzhuang 上庄,绩溪县,118.43675,30.12547,284.8,40.0,4.1,0.049,-0.3,0.886,30.2,573.5,143.7,built-in-domain,29.25,29.16
kantou,Kantou 磡头,绩溪县,118.81129,30.23962,284.8,113.0,12.3,-0.266,-7.5,0.839,65.3,2944.9,2486.1,built-in-domain,13.36,13.41
lixi,Lixi 历溪,祁门县,117.50657,29.90047,137.0,143.0,10.7,0.225,9.4,0.87,79.6,158.8,8.0,built-in-domain,23.79,24.12
zhukou,Zhukou 渚口,祁门县,117.48406,29.85406,137.8,154.0,17.3,-0.073,-16.7,0.844,96.5,1018.4,591.2,built-in-domain,14.27,13.77
huansha,Huansha 环砂,祁门县,117.51296,29.93477,159.8,110.0,12.9,0.148,6.8,0.835,96.9,2867.4,2707.7,built-in-domain,2.55,2.79
