village,elong2,compact2,comp_ha,truncated,half_m,elong,compact,built_ha
Hongcun 宏村,2.749,0.0532,37.43,False,1700.0,1.78,0.37,82.98
Xidi 西递,2.94,0.0445,20.42,False,1700.0,3.39,0.19,26.19
Lucun 卢村,1.126,0.1099,6.99,False,1700.0,1.4,0.08,30.64
Pingshan 屏山,1.338,0.1158,20.58,False,1700.0,1.76,0.12,46.31
Nanping 南屏,1.132,0.1476,12.89,False,1700.0,1.36,0.1,40.2
Guanlu 关麓,,0.7818,0.01,False,1700.0,1.76,0.06,17.47
Tachuan 塔川,1.099,0.3369,0.98,False,1700.0,1.62,0.01,5.15
Bishan 碧山,1.863,0.037,31.36,False,1700.0,1.71,0.17,52.1
Chengkan 呈坎,2.016,0.0425,40.69,False,1700.0,2.6,0.2,69.63
Tangmo 唐模,1.462,0.1234,16.15,False,1700.0,1.3,0.12,44.16
Shuyuan 蜀源,1.58,0.1185,5.74,False,1700.0,4.11,0.04,15.26
Lingshan 灵山,1.905,0.339,0.82,False,1700.0,2.61,0.02,6.39
Qiankou 潜口,4.05,0.0344,57.82,False,1700.0,1.21,0.3,107.61
Yuliang 渔梁,2.13,0.0038,1255.97,False,1700.0,1.26,0.66,258.73
Tangyue 棠樾,2.12,0.0748,14.81,False,1700.0,1.03,0.17,69.72
Xiongcun 雄村,2.519,0.2187,0.75,False,1700.0,1.12,0.17,48.25
Xucun 许村,3.545,0.0753,11.14,False,1700.0,1.39,0.14,21.63
Zhanqi 瞻淇,7.829,0.0066,171.51,False,1700.0,3.61,0.19,67.67
Changxi 昌溪,4.826,0.1557,24.75,False,1700.0,3.68,0.18,41.87
Shitan 石潭,2.008,0.181,5.0,False,1700.0,2.97,0.03,11.55
Zuyuan 祖源,1.873,0.5864,0.09,False,1700.0,,,
Mulihong 木梨硔,2.696,0.4066,0.1,False,1700.0,,,
Longchuan 龙川,1.168,0.2093,0.61,False,1700.0,2.42,0.15,36.75
Renli 仁里,1.764,0.5212,0.04,False,1700.0,3.61,0.02,9.41
Shangzhuang 上庄,5.461,0.0295,75.32,False,1700.0,2.35,0.3,83.95
Kantou 磡头,1.308,0.0727,14.65,False,1700.0,1.71,0.09,23.72
Lixi 历溪,2.022,0.0586,26.04,False,1700.0,1.48,0.26,47.64
Zhukou 渚口,11.556,0.0112,44.39,False,1700.0,5.43,0.1,32.77
Huansha 环砂,1.454,0.1765,1.56,False,1700.0,2.26,0.01,5.59
