site,x,y,z
V0001,557499.9091909033,3348100.371034871,560.8370971679688
V0002,547299.9091909033,3348070.371034871,797.94140625
V0003,612609.9091909033,3348070.371034871,230.18081665039062
V0004,559749.9091909033,3348040.371034871,591.10546875
V0005,595299.9091909033,3348010.371034871,350.90203857421875
V0006,555339.9091909033,3347980.371034871,465.9431457519531
V0007,620199.9091909033,3347980.371034871,545.10205078125
V0008,652779.9091909033,3347980.371034871,515.4053955078125
V0009,667839.9091909033,3347980.371034871,456.38037109375
V0010,572439.9091909033,3347890.371034871,673.2871704101562
V0011,574539.9091909033,3347890.371034871,583.0899658203125
V0012,584679.9091909033,3347860.371034871,382.9653625488281
V0013,552759.9091909033,3347830.371034871,768.583984375
V0014,597459.9091909033,3347830.371034871,595.5260620117188
V0015,647739.9091909033,3347830.371034871,485.00872802734375
V0016,660429.9091909033,3347800.371034871,992.3410034179688
V0017,567669.9091909033,3347770.371034871,790.0328979492188
V0018,627789.9091909033,3347740.371034871,387.04058837890625
V0019,550509.9091909033,3347710.371034871,751.3186645507812
V0020,600489.9091909033,3347710.371034871,597.264404296875
V0021,601959.9091909033,3347710.371034871,830.2491455078125
V0022,657819.9091909033,3347710.371034871,692.4683837890625
V0023,606909.9091909033,3347680.371034871,322.5231628417969
V0024,671919.9091909033,3347680.371034871,447.9585876464844
V0025,569409.9091909033,3347620.371034871,847.522705078125
V0026,675549.9091909033,3347620.371034871,446.5447692871094
V0027,545499.9091909033,3347590.371034871,783.540283203125
V0028,588009.9091909033,3347590.371034871,438.3553466796875
V0029,625539.9091909033,3347590.371034871,356.31268310546875
V0030,543099.9091909033,3347500.371034871,306.0093994140625
V0031,565149.9091909033,3347500.371034871,739.821533203125
V0032,631899.9091909033,3347500.371034871,286.4457092285156
V0033,635589.9091909033,3347500.371034871,426.82208251953125
V0034,630219.9091909033,3347440.371034871,442.1203918457031
V0035,604479.9091909033,3347410.371034871,586.4273071289062
V0036,644409.9091909033,3347410.371034871,479.19097900390625
V0037,581919.9091909033,3347380.371034871,439.6290283203125
V0038,637749.9091909033,3347380.371034871,691.5951538085938
V0039,589569.9091909033,3347350.371034871,442.4652404785156
V0040,610509.9091909033,3347350.371034871,205.56495666503906
V0041,614409.9091909033,3347350.371034871,200.86041259765625
V0042,664449.9091909033,3347290.371034871,268.26739501953125
V0043,642069.9091909033,3347260.371034871,805.42333984375
V0044,661959.9091909033,3347260.371034871,911.125732421875
V0045,592179.9091909033,3347200.371034871,164.31512451171875
V0046,655479.9091909033,3347200.371034871,537.4779052734375
V0047,669489.9091909033,3347200.371034871,645.5892944335938
V0048,621999.9091909033,3347170.371034871,353.1436767578125
V0049,577779.9091909033,3347080.371034871,449.7214050292969
V0050,649689.9091909033,3346990.371034871,631.1902465820312
V0051,579759.9091909033,3346960.371034871,438.6357421875
V0052,617559.9091909033,3346960.371034871,404.2823791503906
V0053,639849.9091909033,3346930.371034871,649.6828002929688
V0054,562479.9091909033,3346900.371034871,580.5550537109375
V0055,627669.9091909033,3345580.371034871,522.1702880859375
V0056,650049.9091909033,3345580.371034871,572.6276245117188
V0057,659919.9091909033,3345580.371034871,870.5040893554688
V0058,577719.9091909033,3345550.371034871,286.2236633300781
V0059,552879.9091909033,3345460.371034871,304.8746032714844
V0060,602409.9091909033,3345460.371034871,347.51068115234375
V0061,542889.9091909033,3345430.371034871,351.7854919433594
V0062,545409.9091909033,3345430.371034871,319.62017822265625
V0063,569559.9091909033,3345430.371034871,806.286376953125
