site,x,y,z
V0001,576249.9091909033,3348100.371034871,362.97369384765625
V0002,551289.9091909033,3348070.371034871,847.2908935546875
V0003,583659.9091909033,3348070.371034871,402.81658935546875
V0004,663549.9091909033,3348070.371034871,630.9500122070312
V0005,563979.9091909033,3348040.371034871,662.0394287109375
V0006,596109.9091909033,3348040.371034871,612.048095703125
V0007,585969.9091909033,3347980.371034871,432.8866882324219
V0008,641619.9091909033,3347950.371034871,853.2239379882812
V0009,558639.9091909033,3347920.371034871,575.2469482421875
V0010,673869.9091909033,3347920.371034871,473.2498474121094
V0011,553299.9091909033,3347890.371034871,523.8590087890625
V0012,579099.9091909033,3347890.371034871,508.1205749511719
V0013,628869.9091909033,3347890.371034871,370.7975158691406
V0014,630819.9091909033,3347890.371034871,428.7579345703125
V0015,546729.9091909033,3347800.371034871,846.4619140625
V0016,598239.9091909033,3347800.371034871,315.0300598144531
V0017,569109.9091909033,3347770.371034871,887.345703125
V0018,594249.9091909033,3347740.371034871,208.8639373779297
V0019,619269.9091909033,3347740.371034871,419.55535888671875
V0020,653199.9091909033,3347680.371034871,513.023681640625
V0021,613689.9091909033,3347650.371034871,208.75477600097656
V0022,661779.9091909033,3347650.371034871,939.6246948242188
V0023,601809.9091909033,3347620.371034871,769.4531860351562
V0024,634149.9091909033,3347620.371034871,276.00213623046875
V0025,588729.9091909033,3347590.371034871,611.5805053710938
V0026,643269.9091909033,3347590.371034871,602.7658081054688
V0027,565659.9091909033,3347560.371034871,729.0394287109375
V0028,604299.9091909033,3347560.371034871,550.8766479492188
V0029,676809.9091909033,3347560.371034871,512.4799194335938
V0030,626049.9091909033,3347530.371034871,388.4910583496094
V0031,548139.9091909033,3347500.371034871,677.3924560546875
V0032,556839.9091909033,3347500.371034871,485.6439514160156
V0033,574239.9091909033,3347500.371034871,560.3927612304688
V0034,656439.9091909033,3347500.371034871,549.01904296875
V0035,608199.9091909033,3347470.371034871,203.99192810058594
V0036,646809.9091909033,3347440.371034871,319.6136779785156
V0037,581679.9091909033,3347410.371034871,531.92919921875
V0038,671649.9091909033,3347410.371034871,579.4812622070312
V0039,650679.9091909033,3347320.371034871,466.0667724609375
V0040,570729.9091909033,3347290.371034871,802.7421264648438
V0041,666759.9091909033,3347260.371034871,388.3912048339844
V0042,544239.9091909033,3347200.371034871,544.57080078125
V0043,636099.9091909033,3347200.371034871,798.9627075195312
V0044,639249.9091909033,3347200.371034871,592.2023315429688
V0045,624189.9091909033,3347140.371034871,404.2898254394531
V0046,659199.9091909033,3347110.371034871,646.4253540039062
V0047,648909.9091909033,3347080.371034871,581.611572265625
V0048,669129.9091909033,3347050.371034871,723.6025390625
V0049,591489.9091909033,3347020.371034871,137.17745971679688
V0050,605889.9091909033,3347020.371034871,651.0078125
V0051,561489.9091909033,3346990.371034871,466.82177734375
V0052,621549.9091909033,3346990.371034871,461.6459655761719
V0053,611469.9091909033,3346960.371034871,218.28118896484375
V0054,616419.9091909033,3346930.371034871,210.51148986816406
V0055,571149.9091909033,3345580.371034871,842.3211669921875
V0056,601059.9091909033,3345580.371034871,420.18896484375
V0057,544029.9091909033,3345520.371034871,487.4624328613281
V0058,569049.9091909033,3345520.371034871,783.6351318359375
