village,n_core_dom,n_core_built,n_ring_base,n_ring_matched,water_share_ring
Hongcun 宏村,79,32,820,79,0.0224
Xidi 西递,76,16,898,76,0.0001
Lucun 卢村,81,5,839,81,0.003
Pingshan 屏山,78,18,842,78,0.001
Nanping 南屏,79,13,820,79,0.0004
Guanlu 关麓,77,2,876,77,0.0019
Tachuan 塔川,76,1,909,76,0.001
Bishan 碧山,80,27,806,80,0.0018
Chengkan 呈坎,79,12,866,79,0.0013
Tangmo 唐模,80,15,707,80,0.0011
Shuyuan 蜀源,80,5,898,80,0.0
Lingshan 灵山,78,1,921,78,0.0
Qiankou 潜口,79,28,743,79,0.0016
Yuliang 渔梁,78,57,398,78,0.069
Tangyue 棠樾,79,13,594,79,0.0087
Xiongcun 雄村,78,6,784,78,0.0381
Xucun 许村,79,22,922,79,0.0
Zhanqi 瞻淇,81,18,824,81,0.0
Changxi 昌溪,79,22,900,79,0.0015
Shitan 石潭,80,5,901,80,0.0001
Zuyuan 祖源,78,0,935,78,0.0
Mulihong 木梨硔,77,0,935,77,0.0001
Longchuan 龙川,79,18,886,79,0.004
Renli 仁里,80,4,891,80,0.0
Shangzhuang 上庄,80,32,872,80,0.0006
Kantou 磡头,80,12,882,80,0.0
Lixi 历溪,79,20,913,79,0.0
Zhukou 渚口,78,13,857,78,0.0032
Huansha 环砂,79,1,906,79,0.0
