village,lon,lat,snap_m,built_ha,elong,compact,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,lst_v,lst_bg,dlst,cov85_4p,cov95_4p,rsrp_mean_4p,rsrp_p10_4p
Hongcun 宏村,117.97877,30.00398,246.0,82.98,1.78,0.37,302.2,139,3.0,0.2,-7.8,0.993,54.8,394.0,10.0,37.36,33.25,4.12,100.0,100.0,-75.25,-78.12
Xidi 西递,117.989,29.90572,62.0,26.19,3.39,0.19,230.2,212,4.3,0.379,-2.8,0.982,83.6,374.0,10.0,37.14,33.09,4.05,96.55,97.32,-76.1,-81.25
Lucun 卢村,117.97046,30.01716,8.0,30.64,1.4,0.08,322.4,278,3.9,0.279,41.5,0.985,60.5,1351.0,687.0,35.82,32.9,2.92,97.0,100.0,-74.6,-78.1
Pingshan 屏山,117.97569,29.94208,3.0,46.31,1.76,0.12,214.5,113,3.4,0.345,5.3,0.992,44.6,857.0,108.0,37.3,34.65,2.65,100.0,100.0,-73.85,-76.03
Nanping 南屏,117.89974,29.90152,33.0,40.2,1.36,0.1,211.6,112,2.6,-0.067,-24.1,0.992,35.1,1658.0,398.0,38.13,35.33,2.79,100.0,100.0,-76.2,-77.6
Guanlu 关麓,117.86535,29.89811,43.0,17.47,1.76,0.06,232.6,199,3.7,-0.201,-17.4,0.988,46.9,1573.0,319.0,37.0,33.96,3.04,100.0,100.0,-74.97,-76.3
Tachuan 塔川,118.00432,30.02193,34.0,5.15,1.62,0.01,552.1,538,20.4,0.075,183.9,0.968,72.2,2305.0,1813.0,32.44,30.74,1.71,98.48,100.0,-71.28,-76.6
Bishan 碧山,117.90895,29.95348,80.0,52.1,1.71,0.17,241.5,318,2.9,0.501,47.3,0.989,42.1,610.0,10.0,38.27,34.52,3.75,99.85,100.0,-74.2,-76.68
Chengkan 呈坎,118.27538,29.92048,157.0,69.63,2.6,0.2,197.1,245,4.6,0.189,7.0,0.987,71.5,587.0,10.0,37.35,34.32,3.03,99.88,100.0,-76.22,-78.78
Tangmo 唐模,118.32897,29.87157,216.0,44.16,1.3,0.12,144.4,54,3.3,0.12,-2.9,0.999,60.3,594.0,50.0,37.86,36.96,0.9,99.85,100.0,-73.97,-76.62
Shuyuan 蜀源,118.33107,29.90929,35.0,15.26,4.11,0.04,158.2,227,5.9,0.277,25.7,0.98,78.9,2397.0,949.0,35.33,33.6,1.73,90.02,91.68,-76.32,-83.45
