village,lon,lat,snap_m,built_ha,elong,compact,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,built_fd_ha,elong_fd,compact_fd,lst_abs,dlst_v1,dlst_v1_lo,dlst_v1_hi,dlst_v1_n,dlst_v1_sig,dlst_v2,dlst_v2_lo,dlst_v2_hi,dlst_v2_n,dlst_v2_sig,dlst_v3m,dlst_v3m_lo,dlst_v3m_hi,dlst_v3m_n,dlst_v3m_sig,cov85_4p,cov95_4p,rsrp_mean_4p,rsrp_p10_4p,cov85_4p_sd,cov85_4p_f07,cov95_4p_f07,rsrp_mean_4p_f07,rsrp_p10_4p_f07,cov85_4p_f07_sd
Hongcun 宏村,117.97877,30.00398,246.0,82.98,1.78,0.37,302.2,139,3.0,0.2,-7.8,0.993,54.8,394.0,10.0,31.9,1.231,0.0522,34.77,1.6,-0.25,3.52,9,False,2.65,-0.04,5.42,9,False,1.59,-0.1,3.4,9,False,100.0,100.0,-75.32,-78.18,0.0,100.0,100.0,-68.65,-73.2,0.0
Xidi 西递,117.989,29.90572,62.0,26.19,3.39,0.19,230.2,212,4.3,0.379,-2.8,0.982,83.6,374.0,10.0,14.16,2.889,0.0174,37.47,4.43,3.75,4.98,6,True,9.62,8.06,10.66,6,True,2.57,1.94,3.17,6,True,96.55,97.32,-76.28,-81.32,6.51,96.55,100.0,-69.58,-75.45,6.51
Lucun 卢村,117.97046,30.01716,8.0,30.64,1.4,0.08,322.4,278,3.9,0.279,41.5,0.985,60.5,1351.0,687.0,7.59,1.487,0.0235,33.73,1.23,0.38,2.05,9,True,2.48,0.9,3.98,9,True,0.32,-0.26,0.79,9,False,97.0,100.0,-74.7,-78.22,6.0,100.0,100.0,-67.47,-72.65,0.0
Pingshan 屏山,117.97569,29.94208,3.0,46.31,1.76,0.12,214.5,113,3.4,0.345,5.3,0.992,44.6,857.0,108.0,20.22,1.238,0.0319,36.35,1.06,-0.21,2.22,8,False,4.26,2.21,6.03,7,True,1.14,0.29,2.07,8,True,100.0,100.0,-73.92,-76.08,0.0,100.0,100.0,-67.28,-70.08,0.0
Nanping 南屏,117.89974,29.90152,33.0,40.2,1.36,0.1,211.6,112,2.6,-0.067,-24.1,0.992,35.1,1658.0,398.0,13.83,1.442,0.0325,37.95,2.79,1.88,3.61,6,True,6.41,5.09,7.51,6,True,0.97,0.68,1.3,6,True,100.0,100.0,-76.22,-77.62,0.0,100.0,100.0,-70.15,-72.43,0.0
Guanlu 关麓,117.86535,29.89811,43.0,17.47,1.76,0.06,232.6,199,3.7,-0.201,-17.4,0.988,46.9,1573.0,319.0,5.12,1.352,0.0132,37.36,3.45,2.49,4.42,6,True,,,,0,False,1.02,0.58,1.33,6,True,100.0,100.0,-75.08,-76.4,0.0,100.0,100.0,-68.25,-70.4,0.0
Tachuan 塔川,118.00432,30.02193,34.0,5.15,1.62,0.01,552.1,538,20.4,0.075,183.9,0.968,72.2,2305.0,1813.0,2.14,3.082,0.0287,31.76,0.14,-0.49,0.79,8,False,,,,0,False,-0.91,-1.6,-0.16,7,False,98.48,100.0,-71.72,-76.8,3.05,100.0,100.0,-63.32,-69.88,0.0
Bishan 碧山,117.90895,29.95348,80.0,52.1,1.71,0.17,241.5,318,2.9,0.501,47.3,0.989,42.1,610.0,10.0,27.56,1.669,0.0217,36.0,0.04,-1.18,1.25,9,False,0.64,-1.08,2.35,9,False,0.16,-0.56,0.91,9,False,99.85,100.0,-74.28,-76.75,0.3,100.0,100.0,-66.92,-70.9,0.0
Chengkan 呈坎,118.27538,29.92048,157.0,69.63,2.6,0.2,197.1,245,4.6,0.189,7.0,0.987,71.5,587.0,10.0,16.89,1.794,0.0162,37.62,3.8,3.09,4.36,6,True,6.23,5.19,7.22,6,True,1.78,1.47,2.1,6,True,99.88,100.0,-76.42,-78.97,0.25,99.88,100.0,-70.35,-74.45,0.25
Tangmo 唐模,118.32897,29.87157,216.0,44.16,1.3,0.12,144.4,54,3.3,0.12,-2.9,0.999,60.3,594.0,50.0,16.36,1.641,0.0372,37.87,1.44,1.25,1.65,6,True,5.17,4.45,5.88,6,True,1.35,1.08,1.66,6,True,99.85,100.0,-74.0,-76.65,0.3,100.0,100.0,-66.68,-70.5,0.0
