village,county,lon,lat,snap_m,built_ha,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,built_dom_ha,built_fd_ha,n_built_px,cover_dom_pct,elong_fd,compact_fd,perim_m,edge_den_m_ha,n_patches,patch_den,lps_pct,lst_abs,dlst_v1,dlst_v1_lo,dlst_v1_hi,dlst_v1_n,dlst_v1_sig,dlst_v2,dlst_v2_lo,dlst_v2_hi,dlst_v2_n,dlst_v2_sig,dlst_v3m,dlst_v3m_lo,dlst_v3m_hi,dlst_v3m_n,dlst_v3m_sig,cov85_4p,cov95_4p,rsrp_mean_4p,rsrp_p10_4p,cov85_4p_sd,cov85_4p_f07,cov95_4p_f07,rsrp_mean_4p_f07,rsrp_p10_4p_f07,cov85_4p_f07_sd,cover_dom_pct
Hongcun 宏村,黟县,117.97877,30.00398,246.4,28.41,307.4,66.0,5.2,0.052,-5.2,0.922,54.1,318.6,8.0,32.85,31.9,4311,40.62,1.231,0.0522,8765.3,274.8,9.0,0.28,80.6,34.77,1.6,-0.25,3.52,9,False,2.65,-0.04,5.42,9,False,1.59,-0.1,3.4,9,False,100.0,100.0,-75.32,-78.18,0.0,100.0,100.0,-68.65,-73.2,0.0,40.62
Xidi 西递,黟县,117.989,29.90572,62.5,17.48,241.2,90.0,11.0,0.154,9.2,0.874,79.7,320.3,9.2,14.31,14.16,1911,18.02,2.889,0.0174,10099.8,713.5,6.0,0.42,98.0,37.47,4.43,3.75,4.98,6,True,9.62,8.06,10.66,6,True,2.57,1.94,3.17,6,True,96.55,97.32,-76.28,-81.32,6.51,96.55,100.0,-69.58,-75.45,6.51,18.02
Lucun 卢村,黟县,117.97046,30.01716,7.7,5.46,327.8,71.0,5.3,0.353,5.4,0.897,36.1,1473.4,1295.8,7.47,7.59,1026,9.67,1.487,0.0235,6372.8,839.5,26.0,3.42,71.9,33.73,1.23,0.38,2.05,9,True,2.48,0.9,3.98,9,True,0.32,-0.26,0.79,9,False,97.0,100.0,-74.7,-78.22,6.0,100.0,100.0,-67.47,-72.65,0.0,9.67
Pingshan 屏山,黟县,117.97569,29.94208,2.8,19.02,218.1,41.0,3.7,0.147,4.1,0.915,38.6,421.6,88.4,19.8,20.22,2730,25.74,1.238,0.0319,8927.9,441.6,7.0,0.35,94.1,36.35,1.06,-0.21,2.22,8,False,4.26,2.21,6.03,7,True,1.14,0.29,2.07,8,True,100.0,100.0,-73.92,-76.08,0.0,100.0,100.0,-67.28,-70.08,0.0,25.74
Nanping 南屏,黟县,117.89974,29.90152,33.4,11.74,212.9,30.0,2.4,-0.508,-12.2,0.935,35.6,1485.1,1182.5,14.4,13.83,1867,17.61,1.442,0.0325,7308.4,528.4,8.0,0.58,84.9,37.95,2.79,1.88,3.61,6,True,6.41,5.09,7.51,6,True,0.97,0.68,1.3,6,True,100.0,100.0,-76.22,-77.62,0.0,100.0,100.0,-70.15,-72.43,0.0,17.61
Guanlu 关麓,黟县,117.86535,29.89811,43.0,1.41,230.8,34.0,3.7,-0.396,-11.8,0.905,37.4,1362.6,1289.8,4.86,5.12,691,6.52,1.352,0.0132,6976.7,1362.9,28.0,5.47,48.5,37.36,3.45,2.49,4.42,6,True,,,,0,False,1.02,0.58,1.33,6,True,100.0,100.0,-75.08,-76.4,0.0,100.0,100.0,-68.25,-70.4,0.0,6.52
Tachuan 塔川,黟县,118.00432,30.02193,34.1,0.75,402.6,189.0,13.5,0.597,52.3,0.82,90.4,1902.2,1854.8,2.34,2.14,289,2.72,3.082,0.0287,3057.6,1429.9,19.0,8.89,34.9,31.76,0.14,-0.49,0.79,8,False,,,,0,False,-0.91,-1.6,-0.16,7,False,98.48,100.0,-71.72,-76.8,3.05,100.0,100.0,-63.32,-69.88,0.0,2.72
Bishan 碧山,黟县,117.90895,29.95348,79.5,27.88,246.8,71.0,4.0,0.323,12.5,0.933,43.2,473.4,8.0,27.81,27.56,3722,35.09,1.669,0.0217,12633.1,458.4,17.0,0.62,94.9,36.0,0.04,-1.18,1.25,9,False,0.64,-1.08,2.35,9,False,0.16,-0.56,0.91,9,False,99.85,100.0,-74.28,-76.75,0.3,100.0,100.0,-66.92,-70.9,0.0,35.09
Chengkan 呈坎,徽州区,118.27538,29.92048,547.2,38.79,196.1,43.0,3.7,0.37,7.1,0.901,60.4,294.5,8.0,33.84,16.89,2281,21.51,1.794,0.0162,11442.5,677.3,14.0,0.83,47.8,37.62,3.8,3.09,4.36,6,True,6.23,5.19,7.22,6,True,1.78,1.47,2.1,6,True,99.88,100.0,-76.42,-78.97,0.25,99.88,100.0,-70.35,-74.45,0.25,21.51
Tangmo 唐模,徽州区,118.32897,29.87157,215.5,15.14,146.7,29.0,3.8,-0.086,-2.4,0.975,58.7,693.0,398.8,16.11,16.36,2208,20.83,1.641,0.0372,7435.3,454.4,7.0,0.43,92.5,37.87,1.44,1.25,1.65,6,True,5.17,4.45,5.88,6,True,1.35,1.08,1.66,6,True,99.85,100.0,-74.0,-76.65,0.3,100.0,100.0,-66.68,-70.5,0.0,20.83
Shuyuan 蜀源,徽州区,118.33107,29.90929,35.3,4.61,174.8,96.0,11.3,0.134,0.8,0.856,64.7,1789.0,1623.2,6.75,6.08,821,7.74,1.603,0.0472,4025.8,662.0,8.0,1.32,75.8,35.37,1.93,1.73,2.18,6,True,6.23,5.59,6.98,6,True,0.75,0.4,1.12,6,True,90.02,91.68,-76.53,-83.68,1.35,91.35,100.0,-68.85,-76.92,3.35,7.74
Lingshan 灵山,徽州区,118.31642,29.91924,33.1,0.11,311.9,203.0,18.2,-0.02,2.2,0.854,90.5,2616.2,2599.1,2.07,2.4,324,3.06,1.506,0.0342,2969.7,1237.5,20.0,8.33,32.7,34.71,2.28,2.04,2.59,6,True,,,,0,False,2.0,1.77,2.28,6,True,81.78,85.58,-80.58,-96.85,12.85,84.85,97.72,-73.77,-87.52,15.27,3.06
Qiankou 潜口,徽州区,118.29549,29.86674,234.0,53.08,170.8,31.0,4.0,0.269,6.3,0.957,61.2,760.0,315.6,29.88,29.32,3956,37.33,1.658,0.0315,10811.0,368.8,14.0,0.48,88.3,40.09,4.5,4.0,4.98,6,True,6.55,5.82,7.23,6,True,2.36,1.81,2.84,6,True,99.78,100.0,-73.53,-77.25,0.15,99.78,100.0,-65.75,-71.72,0.15,37.33
Yuliang 渔梁,歙县,118.43587,29.86988,1751.1,1165.38,119.9,47.0,4.1,-0.11,-2.8,0.954,45.1,436.5,8.0,37.62,56.24,7590,71.61,1.064,0.0474,12212.3,217.1,2.0,0.04,100.0,42.8,7.69,6.98,8.31,6,True,8.7,7.86,9.42,6,True,4.19,3.44,4.9,6,True,86.25,94.25,-77.53,-88.68,14.51,90.92,97.18,-70.72,-84.02,10.74,71.61
Tangyue 棠樾,歙县,118.3603,29.8683,15.0,0.32,129.7,22.0,2.0,0.223,6.5,0.984,16.2,333.5,304.1,15.75,16.07,2169,20.46,1.375,0.0219,9607.2,597.7,21.0,1.31,63.0,39.84,1.81,1.28,2.3,6,True,3.79,3.0,4.4,6,True,1.73,1.16,2.21,6,True,99.28,100.0,-72.8,-76.08,0.71,99.85,100.0,-64.55,-69.78,0.3,20.46
Xiongcun 雄村,歙县,118.43321,29.82146,603.3,56.84,138.3,130.0,13.5,-0.188,-17.5,0.763,64.2,331.0,8.0,11.25,9.26,1249,11.79,1.739,0.0281,6434.6,694.9,9.0,0.97,77.9,39.26,5.06,4.04,6.01,6,True,6.9,6.21,7.52,6,True,1.73,1.35,2.08,6,True,99.5,100.0,-75.18,-78.47,1.0,99.5,100.0,-68.47,-73.65,1.0,11.79
Xucun 许村,歙县,118.32063,30.00146,154.2,0.07,188.0,69.0,5.0,0.076,0.2,0.883,89.6,2713.9,2708.5,32.67,11.3,1527,14.39,1.574,0.0681,4567.6,404.2,3.0,0.27,78.5,33.41,0.23,-2.04,2.02,9,False,1.27,-2.48,4.13,9,False,-0.04,-1.69,1.02,9,False,100.0,100.0,-74.4,-76.45,0.0,100.0,100.0,-67.15,-70.47,0.0,14.39
Zhanqi 瞻淇,歙县,118.51714,29.87485,421.7,169.39,143.4,75.0,11.8,0.099,-7.3,0.868,72.6,3217.0,8.0,20.52,19.55,2639,24.9,2.034,0.0379,8052.0,411.8,9.0,0.46,92.7,38.41,4.15,3.63,4.63,6,True,7.32,6.4,8.19,6,True,1.83,1.49,2.12,6,True,92.15,96.25,-78.15,-84.58,9.95,93.05,97.98,-72.0,-81.15,10.21,24.9
Changxi 昌溪,歙县,118.64396,29.91287,80.3,23.61,144.6,136.0,16.2,0.068,-6.5,0.848,75.8,142.2,8.0,19.35,19.1,2578,24.31,3.483,0.0837,5353.3,280.3,1.0,0.05,100.0,38.1,4.09,3.71,4.45,6,True,7.22,6.38,7.98,6,True,2.11,1.83,2.34,6,True,82.9,97.78,-77.22,-83.0,22.36,97.55,99.42,-69.78,-77.85,2.12,24.31
Shitan 石潭,歙县,118.66476,29.9372,78.0,1.52,167.4,152.0,20.3,0.127,6.2,0.786,76.6,112.1,46.1,5.4,5.54,748,7.05,1.703,0.0825,2904.8,524.4,10.0,1.81,59.6,36.31,0.05,-0.6,0.66,9,False,1.76,0.51,2.95,8,True,-0.82,-1.68,-0.04,9,False,85.82,86.25,-78.9,-86.58,23.97,86.25,100.0,-71.38,-80.97,24.2,7.05
Zuyuan 祖源,休宁县,118.0306,29.662,30.8,0.09,422.1,251.0,22.5,-0.171,-12.9,0.738,89.1,2616.0,2598.4,0.27,0.19,26,0.25,2.369,0.1294,433.0,2242.6,4.0,20.72,46.2,32.1,0.56,0.45,0.66,6,True,,,,0,False,0.96,0.83,1.1,6,True,63.62,90.15,-79.4,-91.88,34.91,90.18,100.0,-69.95,-81.75,15.71,0.25
Mulihong 木梨硔,休宁县,118.0017,29.6483,808.1,0.09,370.0,262.0,24.1,0.255,66.8,0.715,99.7,1399.8,1372.4,0.09,0.0,0,0.0,,,,,,,,31.22,0.03,-0.13,0.2,6,False,,,,0,False,0.33,0.15,0.54,6,True,59.82,87.88,-82.78,-94.62,17.89,78.03,98.5,-76.35,-87.93,12.7,0.0
Longchuan 龙川,绩溪县,118.66749,30.07791,338.4,0.01,205.1,112.0,9.8,-0.088,-19.5,0.856,39.0,80.4,80.4,11.34,17.59,2379,22.4,1.93,0.0464,6905.4,392.5,10.0,0.57,77.4,36.92,2.37,1.6,3.08,8,True,3.49,2.01,5.03,8,True,0.87,0.61,1.15,8,True,99.12,100.0,-76.53,-79.28,1.03,100.0,100.0,-70.35,-74.55,0.0,22.4
Renli 仁里,绩溪县,118.37129,29.97276,38.0,3.29,294.4,180.0,16.0,0.419,56.7,0.834,91.0,1974.0,1810.8,4.59,4.6,622,5.86,1.554,0.0338,4139.8,899.1,25.0,5.43,71.5,33.7,1.16,-0.48,2.75,9,False,,,,0,False,1.49,0.24,2.64,8,True,84.32,85.3,-75.95,-79.97,31.35,84.32,100.0,-66.62,-71.03,31.35,5.86
Shangzhuang 上庄,绩溪县,118.43675,30.12547,541.2,61.32,280.8,36.0,3.8,0.005,1.1,0.897,24.7,782.4,18.5,25.65,29.25,3957,37.24,2.124,0.0667,7424.3,253.9,9.0,0.31,97.1,38.24,4.0,3.1,4.87,9,True,5.21,3.83,6.48,9,True,2.59,1.98,3.18,9,True,100.0,100.0,-74.53,-76.15,0.0,100.0,100.0,-67.72,-69.82,0.0,37.24
Kantou 磡头,绩溪县,118.81129,30.23962,2.4,13.15,284.8,113.0,12.3,-0.266,-7.5,0.839,63.2,2588.7,2186.5,13.41,13.36,1810,17.01,1.285,0.0252,8167.5,611.2,7.0,0.52,98.4,37.02,2.81,2.5,3.06,6,True,5.71,5.18,6.22,6,True,1.68,1.32,2.06,6,True,97.0,100.0,-78.0,-82.52,2.58,98.82,100.0,-72.7,-79.53,1.91,17.01
Lixi 历溪,祁门县,117.50657,29.90047,4.8,24.89,137.0,143.0,10.7,0.225,9.4,0.87,79.7,176.5,8.0,24.12,23.79,3211,30.29,1.827,0.0351,9233.9,388.2,10.0,0.42,95.7,37.26,4.27,3.07,5.03,12,True,7.26,6.78,7.73,11,True,1.88,0.94,2.55,12,True,94.2,98.3,-77.1,-81.9,5.67,97.3,99.8,-71.1,-77.88,2.84,30.29
Zhukou 渚口,祁门县,117.48406,29.85406,293.1,41.81,123.8,119.0,14.1,-0.002,0.4,0.795,97.3,1008.0,33.5,12.15,14.27,1926,18.17,2.434,0.0535,5790.3,405.6,4.0,0.28,97.7,34.57,2.72,2.17,3.18,13,True,7.3,6.77,7.86,11,True,1.34,0.78,1.79,13,True,95.1,96.55,-78.53,-82.32,2.74,96.4,99.82,-72.95,-79.15,3.28,18.17
Huansha 环砂,祁门县,117.51296,29.93477,5.5,1.08,159.8,110.0,12.9,0.148,6.8,0.835,85.4,2589.1,2508.5,2.79,2.55,345,3.25,2.343,0.0381,2902.8,1136.2,13.0,5.09,42.3,34.19,1.27,0.34,1.88,12,True,,,,0,False,-0.28,-1.41,0.38,12,False,95.98,96.78,-77.47,-81.03,4.07,96.78,100.0,-71.32,-77.2,4.57,3.25
