village,county,lon,lat,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,water_src,built_wc_ha,built_dom_ha,built_fd_ha,n_built_px,cover_dom_pct,elong_fd,compact_fd,perim_m,edge_den_m_ha,n_patches,patch_den,lps_pct,lst_abs,dlst_v1,dlst_v1_lo,dlst_v1_hi,dlst_v1_n,dlst_v1_sig,dlst_v2,dlst_v2_lo,dlst_v2_hi,dlst_v2_n,dlst_v2_sig,dlst_v3m,dlst_v3m_lo,dlst_v3m_hi,dlst_v3m_n,dlst_v3m_sig,cov85_4p,cov95_4p,rsrp_mean_4p,rsrp_p10_4p,cov85_4p_sd,cov85_4p_f07,cov95_4p_f07,rsrp_mean_4p_f07,rsrp_p10_4p_f07,cov85_4p_f07_sd
Hongcun 宏村,黟县,117.97877,30.00398,307.4,66.0,5.2,0.053,-5.1,0.922,49.0,243.5,8.0,built-in-domain,31.9,32.85,31.9,4311,40.62,1.231,0.0522,8765.3,111.6,9.0,0.11,80.6,34.77,1.6,-0.25,3.52,9,False,2.65,-0.04,5.42,9,False,1.59,-0.1,3.4,9,False,100.0,100.0,-75.32,-78.18,0.0,100.0,100.0,-68.65,-73.2,0.0
Xidi 西递,黟县,117.989,29.90572,241.2,90.0,11.0,0.155,9.3,0.874,85.6,282.8,9.2,built-in-domain,14.16,14.31,14.16,1911,18.02,2.889,0.0174,10099.8,128.6,12.0,0.15,97.3,37.47,4.43,3.75,4.98,6,True,9.62,8.06,10.66,6,True,2.57,1.94,3.17,6,True,96.55,97.32,-76.28,-81.32,6.51,96.55,100.0,-69.58,-75.45,6.51
Lucun 卢村,黟县,117.97046,30.01716,327.8,71.0,5.3,0.353,5.4,0.897,68.9,1424.1,1158.8,built-in-domain,7.59,7.47,7.59,1026,9.67,1.487,0.0235,6372.8,81.1,28.0,0.36,71.8,33.73,1.23,0.38,2.05,9,True,2.48,0.9,3.98,9,True,0.32,-0.26,0.79,9,False,97.0,100.0,-74.7,-78.22,6.0,100.0,100.0,-67.47,-72.65,0.0
Pingshan 屏山,黟县,117.97569,29.94208,218.1,41.0,3.7,0.147,4.1,0.914,47.5,423.0,88.4,built-in-domain,20.22,19.8,20.22,2730,25.74,1.238,0.0319,8927.9,113.7,7.0,0.09,94.1,36.35,1.06,-0.21,2.22,8,False,4.26,2.21,6.03,7,True,1.14,0.29,2.07,8,True,100.0,100.0,-73.92,-76.08,0.0,100.0,100.0,-67.28,-70.08,0.0
Nanping 南屏,黟县,117.89974,29.90152,212.9,30.0,2.4,-0.508,-12.2,0.936,25.0,1452.0,1139.5,built-in-domain,13.83,14.4,13.83,1867,17.61,1.442,0.0325,7308.4,93.1,8.0,0.1,84.9,37.95,2.79,1.88,3.61,6,True,6.41,5.09,7.51,6,True,0.97,0.68,1.3,6,True,100.0,100.0,-76.22,-77.62,0.0,100.0,100.0,-70.15,-72.43,0.0
Guanlu 关麓,黟县,117.86535,29.89811,230.9,34.0,3.7,-0.396,-11.9,0.905,45.1,1280.1,866.4,built-in-domain,5.12,4.86,5.12,691,6.52,1.352,0.0132,6976.7,88.8,32.0,0.41,46.5,37.36,3.45,2.49,4.42,6,True,,,,0,False,1.02,0.58,1.33,6,True,100.0,100.0,-75.08,-76.4,0.0,100.0,100.0,-68.25,-70.4,0.0
Tachuan 塔川,黟县,118.00432,30.02193,402.6,189.0,13.5,0.597,52.3,0.818,86.1,1971.0,1746.4,built-in-domain,2.14,2.34,2.14,289,2.72,3.082,0.0287,3057.6,38.9,20.0,0.25,34.9,31.76,0.14,-0.49,0.79,8,False,,,,0,False,-0.91,-1.6,-0.16,7,False,98.48,100.0,-71.72,-76.8,3.05,100.0,100.0,-63.32,-69.88,0.0
Bishan 碧山,黟县,117.90895,29.95348,246.7,71.0,4.0,0.324,12.4,0.931,44.6,449.4,8.0,built-in-domain,27.56,27.9,27.56,3722,35.09,1.669,0.0217,12633.1,160.9,24.0,0.31,94.8,36.0,0.04,-1.18,1.25,9,False,0.64,-1.08,2.35,9,False,0.16,-0.56,0.91,9,False,99.85,100.0,-74.28,-76.75,0.3,100.0,100.0,-66.92,-70.9,0.0
Chengkan 呈坎,徽州区,118.27538,29.92048,204.9,68.0,7.9,0.243,5.7,0.905,63.3,752.9,261.2,built-in-domain,16.89,17.28,16.89,2281,21.51,1.794,0.0162,11442.5,145.7,16.0,0.2,47.8,37.62,3.8,3.09,4.36,6,True,6.23,5.19,7.22,6,True,1.78,1.47,2.1,6,True,99.88,100.0,-76.42,-78.97,0.25,99.88,100.0,-70.35,-74.45,0.25
Tangmo 唐模,徽州区,118.32897,29.87157,146.7,29.0,3.8,-0.086,-2.4,0.975,55.8,692.4,398.8,built-in-domain,16.36,16.11,16.36,2208,20.83,1.641,0.0372,7435.3,94.7,10.0,0.13,92.4,37.87,1.44,1.25,1.65,6,True,5.17,4.45,5.88,6,True,1.35,1.08,1.66,6,True,99.85,100.0,-74.0,-76.65,0.3,100.0,100.0,-66.68,-70.5,0.0
Shuyuan 蜀源,徽州区,118.33107,29.90929,174.8,96.0,11.3,0.134,0.8,0.856,90.1,1783.4,1391.5,built-in-domain,6.08,6.75,6.08,821,7.74,1.603,0.0472,4025.8,51.3,10.0,0.13,74.7,35.37,1.93,1.73,2.18,6,True,6.23,5.59,6.98,6,True,0.75,0.4,1.12,6,True,90.02,91.68,-76.53,-83.68,1.35,91.35,100.0,-68.85,-76.92,3.35
Lingshan 灵山,徽州区,118.31642,29.91924,304.7,206.0,17.9,0.062,2.6,0.877,84.6,2349.1,1953.2,built-in-domain,2.4,2.25,2.4,324,3.06,1.506,0.0342,2969.7,37.8,21.0,0.27,32.7,34.71,2.28,2.04,2.59,6,True,,,,0,False,2.0,1.77,2.28,6,True,81.78,85.58,-80.58,-96.85,12.85,84.85,97.72,-73.77,-87.52,15.27
Qiankou 潜口,徽州区,118.29549,29.86674,170.8,31.0,4.0,0.27,6.3,0.957,45.2,631.5,248.9,built-in-domain,29.32,29.97,29.32,3956,37.33,1.658,0.0315,10811.0,137.7,17.0,0.22,88.2,40.09,4.5,4.0,4.98,6,True,6.55,5.82,7.23,6,True,2.36,1.81,2.84,6,True,99.78,100.0,-73.53,-77.25,0.15,99.78,100.0,-65.75,-71.72,0.15
Yuliang 渔梁,歙县,118.43587,29.86988,143.4,80.0,7.9,0.027,-0.0,0.927,33.0,533.4,193.9,built-in-domain,56.24,56.79,56.24,7590,71.61,1.064,0.0474,12212.3,155.5,4.0,0.05,99.9,42.8,7.69,6.98,8.31,6,True,8.7,7.86,9.42,6,True,4.19,3.44,4.9,6,True,86.25,94.25,-77.53,-88.68,14.51,90.92,97.18,-70.72,-84.02,10.74
Tangyue 棠樾,歙县,118.3603,29.8683,129.7,22.0,2.0,0.222,6.4,0.983,29.6,351.2,16.1,built-in-domain,16.07,15.75,16.07,2169,20.46,1.375,0.0219,9607.2,122.3,23.0,0.29,63.0,39.84,1.81,1.28,2.3,6,True,3.79,3.0,4.4,6,True,1.73,1.16,2.21,6,True,99.28,100.0,-72.8,-76.08,0.71,99.85,100.0,-64.55,-69.78,0.3
Xiongcun 雄村,歙县,118.43321,29.82146,125.9,43.0,5.8,-0.032,-1.4,0.917,55.4,414.6,48.8,built-in-domain,9.26,9.18,9.26,1249,11.79,1.739,0.0281,6434.6,81.9,12.0,0.15,51.0,39.26,5.06,4.04,6.01,6,True,6.9,6.21,7.52,6,True,1.73,1.35,2.08,6,True,99.5,100.0,-75.18,-78.47,1.0,99.5,100.0,-68.47,-73.65,1.0
Xucun 许村,歙县,118.32063,30.00146,193.6,86.0,5.8,0.209,7.2,0.889,70.6,2808.5,2487.4,built-in-domain,11.3,18.81,11.3,1527,14.39,1.574,0.0681,4567.6,58.2,3.0,0.04,78.5,33.41,0.23,-2.04,2.02,9,False,1.27,-2.48,4.13,9,False,-0.04,-1.69,1.02,9,False,100.0,100.0,-74.4,-76.45,0.0,100.0,100.0,-67.15,-70.47,0.0
