vid,village,county,lon,lat,coord_source,verified_status,canonical_note
hongcun,Hongcun 宏村,黟县,117.97877,30.00398,corrected,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
xidi,Xidi 西递,黟县,117.989,29.90572,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
lucun,Lucun 卢村,黟县,117.97046,30.01716,draft,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
pingshan,Pingshan 屏山,黟县,117.97569,29.94208,draft,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
nanping,Nanping 南屏,黟县,117.89974,29.90152,OSM+imagery,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
guanlu,Guanlu 关麓,黟县,117.86535,29.89811,OSM+imagery,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
tachuan,Tachuan 塔川,黟县,118.00432,30.02193,OSM+imagery,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
bishan,Bishan 碧山,黟县,117.90895,29.95348,OSM+imagery,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
chengkan,Chengkan 呈坎,徽州区,118.27538,29.92048,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
tangmo,Tangmo 唐模,徽州区,118.32897,29.87157,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
shuyuan,Shuyuan 蜀源,徽州区,118.33107,29.90929,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
lingshan,Lingshan 灵山,徽州区,118.31642,29.91924,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
qiankou,Qiankou 潜口,徽州区,118.29549,29.86674,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
yuliang,Yuliang 渔梁,歙县,118.43587,29.86988,draft,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
tangyue,Tangyue 棠樾,歙县,118.3603,29.8683,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
xiongcun,Xiongcun 雄村,歙县,118.43321,29.82146,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
xucun,Xucun 许村,歙县,118.32063,30.00146,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
zhanqi,Zhanqi 瞻淇,歙县,118.51714,29.87485,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
changxi,Changxi 昌溪,歙县,118.64396,29.91287,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
shitan,Shitan 石潭,歙县,118.66476,29.9372,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
zuyuan,Zuyuan 祖源,休宁县,118.0306,29.662,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
mulihong,Mulihong 木梨硔,休宁县,118.0017,29.6483,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
longchuan,Longchuan 龙川,绩溪县,118.66749,30.07791,draft,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
renli,Renli 仁里,绩溪县,118.37129,29.97276,OSM-verified,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
shangzhuang,Shangzhuang 上庄,绩溪县,118.43675,30.12547,OSM+imagery,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
kantou,Kantou 磡头,绩溪县,118.81129,30.23962,OSM+imagery,approximate,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
lixi,Lixi 历溪,祁门县,117.50657,29.90047,OSM+imagery,approximate,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
zhukou,Zhukou 渚口,祁门县,117.48406,29.85406,OSM+imagery,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
huansha,Huansha 环砂,祁门县,117.51296,29.93477,OSM+imagery,verified,v3_master.csv coordinates (single canonical set; s10b does not re-snap)
