village,ring_cells,water_cells,water_pct
Hongcun 宏村,52035,0,0.0
Xidi 西递,90209,7,0.01
Lucun 卢村,86388,397,0.46
Pingshan 屏山,88694,125,0.14
Nanping 南屏,86785,5,0.01
Guanlu 关麓,90216,219,0.24
Tachuan 塔川,91009,0,0.0
Bishan 碧山,87984,191,0.22
Chengkan 呈坎,89469,4,0.0
Tangmo 唐模,85369,128,0.15
Shuyuan 蜀源,89969,0,0.0
Lingshan 灵山,90416,0,0.0
Qiankou 潜口,84501,86,0.1
Yuliang 渔梁,63896,7072,11.07
Tangyue 棠樾,78298,973,1.24
Xiongcun 雄村,86934,4740,5.45
Xucun 许村,48635,0,0.0
Zhanqi 瞻淇,86317,0,0.0
Changxi 昌溪,90640,198,0.22
Shitan 石潭,90108,8,0.01
Zuyuan 祖源,90928,0,0.0
Longchuan 龙川,89810,490,0.55
Renli 仁里,90840,16,0.02
Shangzhuang 上庄,89268,78,0.09
Kantou 磡头,89953,0,0.0
Lixi 历溪,91061,0,0.0
Zhukou 渚口,89781,388,0.43
Huansha 环砂,91279,0,0.0
