village,cover_2020,cover_2021
Hongcun 宏村,35.87,40.62
Xidi 西递,7.92,18.02
Lucun 卢村,3.22,9.67
Pingshan 屏山,19.99,25.74
Nanping 南屏,4.49,17.61
Guanlu 关麓,3.02,6.52
Tachuan 塔川,0.92,2.72
Bishan 碧山,18.37,35.09
Chengkan 呈坎,15.29,21.51
Tangmo 唐模,16.27,20.83
Shuyuan 蜀源,6.81,7.74
Lingshan 灵山,3.32,3.06
Qiankou 潜口,33.26,37.33
Yuliang 渔梁,65.37,71.61
Tangyue 棠樾,17.4,20.46
Xiongcun 雄村,9.8,11.79
Xucun 许村,9.3,14.39
Zhanqi 瞻淇,19.54,24.9
Changxi 昌溪,14.63,24.31
Shitan 石潭,4.84,7.05
Zuyuan 祖源,0.28,0.25
Mulihong 木梨硔,0.0,0.0
Longchuan 龙川,20.99,22.4
Renli 仁里,2.44,5.86
Shangzhuang 上庄,34.8,37.24
Kantou 磡头,9.16,17.01
Lixi 历溪,26.25,30.29
Zhukou 渚口,16.62,18.17
Huansha 环砂,2.68,3.25
