Village,County,Built-up in domain (ha),Coverage ratio (%),Elev (m),Relief (m),tSVF,Forest ring (%),LST (degC),dLST-V1 (degC) [95% CI],dLST-matched (degC) [95% CI],cov85 4p-mean (sd) (%),RSRP p10 (dBm)
Hongcun 宏村,黟县,32.8,40.6,307.0,66.0,0.922,49.0,34.8,"1.60 [-0.25, 3.52]","1.59 [-0.10, 3.40]",100.0 (0.0),-78.2
Xidi 西递,黟县,14.3,18.0,241.0,90.0,0.874,86.0,37.5,"4.43 [3.75, 4.98]","2.57 [1.94, 3.17]",96.5 (6.5),-81.3
Lucun 卢村,黟县,7.5,9.7,328.0,71.0,0.897,69.0,33.7,"1.23 [0.38, 2.05]","0.32 [-0.26, 0.79]",97.0 (6.0),-78.2
Pingshan 屏山,黟县,19.8,25.7,218.0,41.0,0.914,48.0,36.4,"1.06 [-0.21, 2.22]","1.14 [0.29, 2.07]",100.0 (0.0),-76.1
Nanping 南屏,黟县,14.4,17.6,213.0,30.0,0.936,25.0,38.0,"2.79 [1.88, 3.61]","0.97 [0.68, 1.30]",100.0 (0.0),-77.6
Guanlu 关麓,黟县,4.9,6.5,231.0,34.0,0.905,45.0,37.4,"3.45 [2.49, 4.42]","1.02 [0.58, 1.33]",100.0 (0.0),-76.4
Tachuan 塔川,黟县,2.3,2.7,403.0,189.0,0.818,86.0,31.8,"0.14 [-0.49, 0.79]","-0.91 [-1.60, -0.16]",98.5 (3.0),-76.8
Bishan 碧山,黟县,27.9,35.1,247.0,71.0,0.931,45.0,36.0,"0.04 [-1.18, 1.25]","0.16 [-0.56, 0.91]",99.8 (0.3),-76.8
Chengkan 呈坎,徽州区,17.3,21.5,205.0,68.0,0.905,63.0,37.6,"3.80 [3.09, 4.36]","1.78 [1.47, 2.10]",99.9 (0.2),-79.0
Tangmo 唐模,徽州区,16.1,20.8,147.0,29.0,0.975,56.0,37.9,"1.44 [1.25, 1.65]","1.35 [1.08, 1.66]",99.8 (0.3),-76.6
Shuyuan 蜀源,徽州区,6.8,7.7,175.0,96.0,0.856,90.0,35.4,"1.93 [1.73, 2.18]","0.75 [0.40, 1.12]",90.0 (1.4),-83.7
Lingshan 灵山,徽州区,2.2,3.1,305.0,206.0,0.877,85.0,34.7,"2.28 [2.04, 2.59]","2.00 [1.77, 2.28]",81.8 (12.8),-96.8
Qiankou 潜口,徽州区,30.0,37.3,171.0,31.0,0.957,45.0,40.1,"4.50 [4.00, 4.98]","2.36 [1.81, 2.84]",99.8 (0.1),-77.2
Yuliang 渔梁,歙县,56.8,71.6,143.0,80.0,0.927,33.0,42.8,"7.69 [6.98, 8.31]","4.19 [3.44, 4.90]",86.2 (14.5),-88.7
Tangyue 棠樾,歙县,15.8,20.5,130.0,22.0,0.983,30.0,39.8,"1.81 [1.28, 2.30]","1.73 [1.16, 2.21]",99.3 (0.7),-76.1
Xiongcun 雄村,歙县,9.2,11.8,126.0,43.0,0.917,55.0,39.3,"5.06 [4.04, 6.01]","1.73 [1.35, 2.08]",99.5 (1.0),-78.5
Xucun 许村,歙县,18.8,14.4,194.0,86.0,0.889,71.0,33.4,"0.23 [-2.04, 2.02]","-0.04 [-1.69, 1.02]",100.0 (0.0),-76.4
Zhanqi 瞻淇,歙县,19.8,24.9,138.0,65.0,0.881,71.0,38.4,"4.15 [3.63, 4.63]","1.83 [1.49, 2.12]",92.2 (9.9),-84.6
Changxi 昌溪,歙县,19.4,24.3,145.0,136.0,0.848,86.0,38.1,"4.09 [3.71, 4.45]","2.11 [1.83, 2.34]",82.9 (22.4),-83.0
Shitan 石潭,歙县,5.4,7.0,167.0,152.0,0.787,93.0,36.3,"0.05 [-0.60, 0.66]","-0.82 [-1.68, -0.04]",85.8 (24.0),-86.6
Zuyuan 祖源,休宁县,0.3,0.2,420.0,241.0,0.735,98.0,32.1,"0.56 [0.45, 0.66]","0.96 [0.83, 1.10]",63.6 (34.9),-91.9
Mulihong 木梨硔,休宁县,0.0,0.0,405.0,320.0,0.91,100.0,31.2,"0.03 [-0.13, 0.20]","0.33 [0.15, 0.54]",59.8 (17.9),-94.6
Longchuan 龙川,绩溪县,18.0,22.4,200.0,103.0,0.878,74.0,36.9,"2.37 [1.60, 3.08]","0.87 [0.61, 1.15]",99.1 (1.0),-79.3
Renli 仁里,绩溪县,4.6,5.9,295.0,180.0,0.834,96.0,33.7,"1.16 [-0.48, 2.75]","1.49 [0.24, 2.64]",84.3 (31.4),-80.0
Shangzhuang 上庄,绩溪县,29.2,37.2,285.0,40.0,0.886,30.0,38.2,"4.00 [3.10, 4.87]","2.59 [1.98, 3.18]",100.0 (0.0),-76.2
Kantou 磡头,绩溪县,13.4,17.0,285.0,113.0,0.839,65.0,37.0,"2.81 [2.50, 3.06]","1.68 [1.32, 2.06]",97.0 (2.6),-82.5
Lixi 历溪,祁门县,24.1,30.3,137.0,143.0,0.87,80.0,37.3,"4.27 [3.07, 5.03]","1.88 [0.94, 2.55]",94.2 (5.7),-81.9
Zhukou 渚口,祁门县,13.8,18.2,138.0,154.0,0.844,96.0,34.6,"2.72 [2.17, 3.18]","1.34 [0.78, 1.79]",95.1 (2.7),-82.3
Huansha 环砂,祁门县,2.8,3.2,160.0,110.0,0.835,97.0,34.2,"1.27 [0.34, 1.88]","-0.28 [-1.41, 0.38]",96.0 (4.1),-81.0
