village,elev_cop,elev_nasadem,d_elev,relief_cop,relief_nasadem,d_relief
Hongcun 宏村,301.7,297.0,4.7,66.8,62.0,4.8
Xidi 西递,225.5,226.0,-0.5,83.7,71.0,12.7
Lucun 卢村,323.1,324.0,-0.9,75.5,64.0,11.5
Pingshan 屏山,215.8,219.0,-3.2,38.3,37.0,1.3
Nanping 南屏,211.4,214.0,-2.6,28.3,32.0,-3.7
Guanlu 关麓,229.1,229.0,0.1,34.3,34.0,0.3
Tachuan 塔川,380.6,498.0,-117.4,190.1,398.0,-207.9
Bishan 碧山,246.7,245.0,1.7,72.4,64.0,8.4
Chengkan 呈坎,222.8,217.0,5.8,68.4,59.0,9.4
Tangmo 唐模,144.5,142.0,2.5,28.3,27.0,1.3
Shuyuan 蜀源,154.5,155.0,-0.5,104.7,93.0,11.7
Lingshan 灵山,311.6,315.0,-3.4,206.5,193.0,13.5
Qiankou 潜口,167.6,169.0,-1.4,30.7,29.0,1.7
Yuliang 渔梁,143.1,143.0,0.1,73.4,80.0,-6.6
Tangyue 棠樾,129.0,126.0,3.0,22.5,26.0,-3.5
Xiongcun 雄村,129.3,128.0,1.3,43.3,39.0,4.3
Xucun 许村,185.8,186.0,-0.2,86.2,78.0,8.2
Zhanqi 瞻淇,121.7,123.0,-1.3,65.2,64.0,1.2
Changxi 昌溪,127.2,125.0,2.2,136.5,121.0,15.5
Shitan 石潭,134.1,132.0,2.1,158.1,149.0,9.1
Zuyuan 祖源,358.9,360.0,-1.1,259.8,216.0,43.8
Mulihong 木梨硔,455.3,435.0,20.3,320.5,286.0,34.5
Longchuan 龙川,201.9,201.0,0.9,90.8,84.0,6.8
Renli 仁里,273.6,275.0,-1.4,180.2,181.0,-0.8
Shangzhuang 上庄,281.0,281.0,-0.0,39.5,37.0,2.5
Kantou 磡头,263.5,262.0,1.5,114.4,91.0,23.4
Lixi 历溪,116.7,117.0,-0.3,136.7,132.0,4.7
Zhukou 渚口,113.0,110.0,3.0,158.3,143.0,15.3
Huansha 环砂,138.8,140.0,-1.2,117.3,107.0,10.3
