Village,County,Lon (canonical),Lat (canonical),Register coord source,Register status,Canonical vs register (m),Note
Hongcun 宏村,黟县,117.97877,30.00398,corrected,verified,283.3,古镇核心在镇区东侧
Xidi 西递,黟县,117.989,29.90572,OSM-verified,verified,71.1,
Lucun 卢村,黟县,117.97046,30.01716,draft,verified,8.0,
Pingshan 屏山,黟县,117.97569,29.94208,draft,verified,2.5,
Nanping 南屏,黟县,117.89974,29.90152,OSM+imagery,verified,36.1,
Guanlu 关麓,黟县,117.86535,29.89811,OSM+imagery,verified,43.5,
Tachuan 塔川,黟县,118.00432,30.02193,OSM+imagery,verified,38.4,
Bishan 碧山,黟县,117.90895,29.95348,OSM+imagery,verified,79.8,
Chengkan 呈坎,徽州区,118.27538,29.92048,OSM-verified,verified,162.8,
Tangmo 唐模,徽州区,118.32897,29.87157,OSM-verified,verified,235.7,
Shuyuan 蜀源,徽州区,118.33107,29.90929,OSM-verified,verified,35.1,
Lingshan 灵山,徽州区,118.31642,29.91924,OSM-verified,verified,98.7,
Qiankou 潜口,徽州区,118.29549,29.86674,OSM-verified,verified,261.5,
Yuliang 渔梁,歙县,118.43587,29.86988,draft,verified,426.2,
Tangyue 棠樾,歙县,118.3603,29.8683,OSM-verified,verified,15.7,
Xiongcun 雄村,歙县,118.43321,29.82146,OSM-verified,verified,426.2,
Xucun 许村,歙县,118.32063,30.00146,OSM-verified,verified,527.2,
Zhanqi 瞻淇,歙县,118.51714,29.87485,OSM-verified,verified,182.4,
Changxi 昌溪,歙县,118.64396,29.91287,OSM-verified,verified,88.2,
Shitan 石潭,歙县,118.66476,29.9372,OSM-verified,verified,85.8,
Zuyuan 祖源,休宁县,118.0306,29.662,OSM-verified,verified,0.0,
Mulihong 木梨硔,休宁县,118.0017,29.6483,OSM-verified,verified,0.0,
Longchuan 龙川,绩溪县,118.66749,30.07791,draft,verified,497.2,
Renli 仁里,绩溪县,118.37129,29.97276,OSM-verified,verified,43.6,
Shangzhuang 上庄,绩溪县,118.43675,30.12547,OSM+imagery,verified,262.3,
Kantou 磡头,绩溪县,118.81129,30.23962,OSM+imagery,approximate,2.5,吸附建成区肌体后偏移73m；家朋乡驻地旁，待用户确认
Lixi 历溪,祁门县,117.50657,29.90047,OSM+imagery,approximate,4.7,吸附建成区肌体后偏移143m；历口镇驻地，待用户确认
Zhukou 渚口,祁门县,117.48406,29.85406,OSM+imagery,verified,71.4,
Huansha 环砂,祁门县,117.51296,29.93477,OSM+imagery,verified,5.6,替补村：历口镇，影像命中
