pair,rho_published,p_published,rho_reimpl,p_reimpl,sign_kept
tsvf~lst_abs,0.652,0.0001,0.552,0.0019,yes
tsvf~cov85_4p,0.706,0.0,0.636,0.0002,yes
tsvf~rsrp_p10_4p,0.65,0.0001,0.609,0.0005,yes
forest_ring_pct~cov85_4p,-0.815,0.0,-0.649,0.0001,yes
forest_ring_pct~rsrp_p10_4p,-0.775,0.0,-0.598,0.0006,yes
forest_ring_pct~lst_abs,-0.36,0.0654,-0.583,0.0009,yes
slope_deg~cov85_4p,-0.851,0.0,-0.821,0.0,yes
slope_deg~rsrp_p10_4p,-0.771,0.0,-0.769,0.0,yes
relief_m~lst_abs,-0.709,0.0,-0.593,0.0007,yes
relief_m~cov85_4p,-0.657,0.0001,-0.768,0.0,yes
relief_m~dlst_v3m,-0.451,0.014,-0.231,0.2273,yes
elev_m~lst_abs,-0.555,0.0018,-0.618,0.0004,yes
built_dom_ha~lst_abs,0.607,0.0005,0.576,0.0011,yes
built_dom_ha~dlst_v3m,0.497,0.0061,0.477,0.0088,yes
water_min_m~lst_abs,-0.544,0.0033,-0.61,0.0004,yes
water_min_m~dlst_v3m,-0.48,0.0113,-0.492,0.0067,yes
southness~lst_abs,-0.13,0.503,-0.29,0.1275,yes
ns_asym_m~lst_abs,-0.243,0.2042,-0.318,0.093,yes
