pair,block_deg,origin,n_blocks,ci_lo,ci_hi,ci_excl_0
tsvf~lst_abs,0.1,+0.0,19,0.147,0.779,True
tsvf~lst_abs,0.1,+0.05,18,0.088,0.763,True
tsvf~lst_abs,0.15,+0.0,14,0.075,0.769,True
tsvf~lst_abs,0.15,+0.05,13,0.17,0.749,True
tsvf~lst_abs,0.2,+0.0,12,0.019,0.781,True
tsvf~lst_abs,0.2,+0.05,10,0.023,0.808,True
tsvf~cov85_4p,0.1,+0.0,19,0.247,0.717,True
tsvf~cov85_4p,0.1,+0.05,18,0.283,0.777,True
tsvf~cov85_4p,0.15,+0.0,14,0.356,0.721,True
tsvf~cov85_4p,0.15,+0.05,13,0.274,0.721,True
tsvf~cov85_4p,0.2,+0.0,12,0.132,0.717,True
tsvf~cov85_4p,0.2,+0.05,10,0.08,0.797,True
tsvf~rsrp_p10_4p,0.1,+0.0,19,0.16,0.748,True
tsvf~rsrp_p10_4p,0.1,+0.05,18,0.211,0.72,True
tsvf~rsrp_p10_4p,0.15,+0.0,14,0.233,0.704,True
tsvf~rsrp_p10_4p,0.15,+0.05,13,0.171,0.768,True
tsvf~rsrp_p10_4p,0.2,+0.0,12,0.011,0.743,True
tsvf~rsrp_p10_4p,0.2,+0.05,10,0.136,0.696,True
forest_ring_pct~cov85_4p,0.1,+0.0,19,-0.885,-0.416,True
forest_ring_pct~cov85_4p,0.1,+0.05,18,-0.909,-0.474,True
forest_ring_pct~cov85_4p,0.15,+0.0,14,-0.91,-0.508,True
forest_ring_pct~cov85_4p,0.15,+0.05,13,-0.892,-0.427,True
forest_ring_pct~cov85_4p,0.2,+0.0,12,-0.887,-0.373,True
forest_ring_pct~cov85_4p,0.2,+0.05,10,-0.931,-0.462,True
forest_ring_pct~lst_abs,0.1,+0.0,19,-0.873,-0.32,True
forest_ring_pct~lst_abs,0.1,+0.05,18,-0.857,-0.383,True
forest_ring_pct~lst_abs,0.15,+0.0,14,-0.896,-0.273,True
forest_ring_pct~lst_abs,0.15,+0.05,13,-0.883,-0.407,True
forest_ring_pct~lst_abs,0.2,+0.0,12,-0.886,-0.293,True
forest_ring_pct~lst_abs,0.2,+0.05,10,-0.958,-0.328,True
slope_deg~cov85_4p,0.1,+0.0,19,-0.928,-0.656,True
slope_deg~cov85_4p,0.1,+0.05,18,-0.931,-0.688,True
slope_deg~cov85_4p,0.15,+0.0,14,-0.932,-0.709,True
slope_deg~cov85_4p,0.15,+0.05,13,-0.935,-0.66,True
slope_deg~cov85_4p,0.2,+0.0,12,-0.931,-0.645,True
slope_deg~cov85_4p,0.2,+0.05,10,-0.966,-0.69,True
relief_m~lst_abs,0.1,+0.0,19,-0.86,-0.377,True
relief_m~lst_abs,0.1,+0.05,18,-0.838,-0.436,True
relief_m~lst_abs,0.15,+0.0,14,-0.849,-0.389,True
relief_m~lst_abs,0.15,+0.05,13,-0.851,-0.375,True
relief_m~lst_abs,0.2,+0.0,12,-0.865,-0.257,True
relief_m~lst_abs,0.2,+0.05,10,-0.879,-0.469,True
relief_m~dlst_v3m,0.1,+0.0,19,-0.555,0.063,False
relief_m~dlst_v3m,0.1,+0.05,18,-0.522,0.023,False
relief_m~dlst_v3m,0.15,+0.0,14,-0.539,0.055,False
relief_m~dlst_v3m,0.15,+0.05,13,-0.506,0.081,False
relief_m~dlst_v3m,0.2,+0.0,12,-0.56,0.041,False
relief_m~dlst_v3m,0.2,+0.05,10,-0.613,-0.059,True
water_min_m~lst_abs,0.1,+0.0,19,-0.704,-0.053,True
water_min_m~lst_abs,0.1,+0.05,18,-0.701,-0.116,True
water_min_m~lst_abs,0.15,+0.0,14,-0.698,-0.096,True
water_min_m~lst_abs,0.15,+0.05,13,-0.727,-0.016,True
water_min_m~lst_abs,0.2,+0.0,12,-0.72,-0.026,True
water_min_m~lst_abs,0.2,+0.05,10,-0.773,-0.003,True
built_dom_ha~lst_abs,0.1,+0.0,19,0.24,0.84,True
built_dom_ha~lst_abs,0.1,+0.05,18,0.258,0.811,True
built_dom_ha~lst_abs,0.15,+0.0,14,0.203,0.847,True
built_dom_ha~lst_abs,0.15,+0.05,13,0.347,0.797,True
built_dom_ha~lst_abs,0.2,+0.0,12,0.183,0.855,True
built_dom_ha~lst_abs,0.2,+0.05,10,0.286,0.861,True
cover_dom_pct~lst_abs,0.1,+0.0,19,0.313,0.859,True
cover_dom_pct~lst_abs,0.1,+0.05,18,0.362,0.838,True
cover_dom_pct~lst_abs,0.15,+0.0,14,0.256,0.868,True
cover_dom_pct~lst_abs,0.15,+0.05,13,0.309,0.832,True
cover_dom_pct~lst_abs,0.2,+0.0,12,0.21,0.879,True
cover_dom_pct~lst_abs,0.2,+0.05,10,0.237,0.896,True
cover_dom_pct~cov85_4p,0.1,+0.0,19,-0.1,0.762,False
cover_dom_pct~cov85_4p,0.1,+0.05,18,-0.042,0.742,False
cover_dom_pct~cov85_4p,0.15,+0.0,14,-0.057,0.765,False
cover_dom_pct~cov85_4p,0.15,+0.05,13,-0.144,0.737,False
cover_dom_pct~cov85_4p,0.2,+0.0,12,-0.197,0.781,False
cover_dom_pct~cov85_4p,0.2,+0.05,10,0.084,0.776,True
compact_fd~dlst_v3m,0.1,+0.0,19,-0.369,0.236,False
compact_fd~dlst_v3m,0.1,+0.05,18,-0.491,0.331,False
compact_fd~dlst_v3m,0.15,+0.0,14,-0.5,0.327,False
compact_fd~dlst_v3m,0.15,+0.05,13,-0.39,0.284,False
compact_fd~dlst_v3m,0.2,+0.0,12,-0.404,0.287,False
compact_fd~dlst_v3m,0.2,+0.05,10,-0.529,0.308,False
edge_den_m_ha~cov85_4p,0.1,+0.0,19,-0.074,0.729,False
edge_den_m_ha~cov85_4p,0.1,+0.05,18,0.031,0.73,True
edge_den_m_ha~cov85_4p,0.15,+0.0,14,0.081,0.716,True
edge_den_m_ha~cov85_4p,0.15,+0.05,13,-0.052,0.686,False
edge_den_m_ha~cov85_4p,0.2,+0.0,12,-0.157,0.733,False
edge_den_m_ha~cov85_4p,0.2,+0.05,10,0.18,0.658,True
