pair,block_deg,origin,n_blocks,n_seed_excl0,ci_lo_min,ci_lo_max,ci_hi_min,ci_hi_max,borderline
tsvf~lst_abs,0.1,0.0,19,20,0.117,0.176,0.765,0.785,False
tsvf~lst_abs,0.1,0.05,18,20,0.06,0.148,0.756,0.785,False
tsvf~lst_abs,0.15,0.0,14,20,0.035,0.119,0.755,0.779,False
tsvf~lst_abs,0.15,0.05,13,20,0.142,0.219,0.725,0.757,False
tsvf~lst_abs,0.2,0.0,12,9,-0.068,0.053,0.772,0.801,True
tsvf~lst_abs,0.2,0.05,10,15,-0.022,0.052,0.78,0.862,True
tsvf~cov85_4p,0.1,0.0,19,20,0.245,0.305,0.71,0.724,False
tsvf~cov85_4p,0.1,0.05,18,20,0.258,0.317,0.763,0.797,False
tsvf~cov85_4p,0.15,0.0,14,20,0.333,0.379,0.707,0.739,False
tsvf~cov85_4p,0.15,0.05,13,20,0.228,0.291,0.706,0.731,False
tsvf~cov85_4p,0.2,0.0,12,20,0.068,0.184,0.708,0.739,False
tsvf~cov85_4p,0.2,0.05,10,20,0.006,0.174,0.779,0.816,False
tsvf~rsrp_p10_4p,0.1,0.0,19,20,0.119,0.184,0.733,0.769,False
tsvf~rsrp_p10_4p,0.1,0.05,18,20,0.184,0.242,0.711,0.747,False
tsvf~rsrp_p10_4p,0.15,0.0,14,20,0.219,0.269,0.69,0.715,False
tsvf~rsrp_p10_4p,0.15,0.05,13,20,0.141,0.2,0.742,0.775,False
tsvf~rsrp_p10_4p,0.2,0.0,12,16,-0.027,0.058,0.731,0.76,True
tsvf~rsrp_p10_4p,0.2,0.05,10,20,0.032,0.167,0.691,0.746,False
forest_ring_pct~cov85_4p,0.1,0.0,19,20,-0.89,-0.871,-0.446,-0.395,False
forest_ring_pct~cov85_4p,0.1,0.05,18,20,-0.91,-0.895,-0.498,-0.456,False
forest_ring_pct~cov85_4p,0.15,0.0,14,20,-0.912,-0.898,-0.519,-0.483,False
forest_ring_pct~cov85_4p,0.15,0.05,13,20,-0.907,-0.88,-0.463,-0.365,False
forest_ring_pct~cov85_4p,0.2,0.0,12,20,-0.903,-0.876,-0.416,-0.324,False
forest_ring_pct~cov85_4p,0.2,0.05,10,20,-0.955,-0.926,-0.489,-0.411,False
forest_ring_pct~lst_abs,0.1,0.0,19,20,-0.879,-0.857,-0.367,-0.28,False
forest_ring_pct~lst_abs,0.1,0.05,18,20,-0.87,-0.846,-0.384,-0.337,False
forest_ring_pct~lst_abs,0.15,0.0,14,20,-0.901,-0.876,-0.29,-0.196,False
forest_ring_pct~lst_abs,0.15,0.05,13,20,-0.893,-0.872,-0.435,-0.384,False
forest_ring_pct~lst_abs,0.2,0.0,12,20,-0.893,-0.875,-0.33,-0.262,False
forest_ring_pct~lst_abs,0.2,0.05,10,20,-0.971,-0.942,-0.367,-0.285,False
slope_deg~cov85_4p,0.1,0.0,19,20,-0.933,-0.922,-0.659,-0.611,False
slope_deg~cov85_4p,0.1,0.05,18,20,-0.937,-0.927,-0.708,-0.683,False
slope_deg~cov85_4p,0.15,0.0,14,20,-0.94,-0.926,-0.717,-0.689,False
slope_deg~cov85_4p,0.15,0.05,13,20,-0.942,-0.925,-0.68,-0.636,False
slope_deg~cov85_4p,0.2,0.0,12,20,-0.939,-0.926,-0.671,-0.615,False
slope_deg~cov85_4p,0.2,0.05,10,20,-0.971,-0.949,-0.703,-0.659,False
relief_m~lst_abs,0.1,0.0,19,20,-0.874,-0.857,-0.403,-0.336,False
relief_m~lst_abs,0.1,0.05,18,20,-0.849,-0.825,-0.434,-0.394,False
relief_m~lst_abs,0.15,0.0,14,20,-0.854,-0.835,-0.41,-0.36,False
