village,n_core,n_matched,fail_rate,dist_mean,dist_max,over_caliper_0.5,over_caliper_0.25,smd_elev_before,smd_elev_after,smd_slope_before,smd_slope_after,smd_tree_before,smd_tree_after
Hongcun 宏村,79,79,0.0,0.354,1.31,0.0633,0.3038,-1.197,-0.025,-1.163,0.017,-1.154,-0.027
Xidi 西递,76,76,0.0,1.271,3.928,0.4737,0.5789,-2.153,-0.2,-2.015,-0.821,-1.366,-0.826
Lucun 卢村,81,81,0.0,0.414,1.787,0.1111,0.358,-1.423,0.013,-1.732,-0.07,-1.388,-0.032
Pingshan 屏山,78,78,0.0,0.731,1.934,0.359,0.5256,-0.912,0.025,-1.024,-0.019,-1.054,-0.148
Nanping 南屏,79,79,0.0,0.376,0.949,0.0253,0.3038,-0.859,0.004,-0.992,-0.02,-0.779,0.024
Guanlu 关麓,77,77,0.0,0.346,1.045,0.026,0.3506,-1.311,-0.002,-1.511,0.015,-1.143,-0.027
Tachuan 塔川,76,76,0.0,0.36,1.715,0.1053,0.2895,-0.962,0.041,-1.008,-0.013,0.041,-0.064
Bishan 碧山,80,80,0.0,0.276,0.744,0.0,0.175,-0.843,0.01,-1.056,-0.005,-0.893,-0.007
Chengkan 呈坎,79,79,0.0,0.308,0.792,0.0,0.2025,-1.555,0.005,-1.949,-0.003,-1.227,0.001
Tangmo 唐模,80,80,0.0,0.38,1.254,0.0875,0.275,-0.354,0.013,-0.45,-0.112,-0.169,0.04
Shuyuan 蜀源,80,80,0.0,0.247,1.096,0.05,0.1625,-1.375,0.032,-0.843,-0.041,-0.826,-0.071
Lingshan 灵山,78,78,0.0,0.303,1.249,0.0385,0.2436,-0.69,-0.006,-0.271,-0.056,-0.441,-0.054
Qiankou 潜口,79,79,0.0,0.643,1.683,0.2152,0.6582,-0.663,0.004,-1.069,-0.01,-1.23,0.002
Yuliang 渔梁,78,78,0.0,1.441,3.584,0.6026,0.7436,-1.271,0.21,-1.665,-0.063,-2.313,-0.98
Tangyue 棠樾,79,79,0.0,0.303,0.702,0.0,0.2911,-0.355,0.044,-0.547,-0.045,-0.51,0.007
Xiongcun 雄村,78,78,0.0,0.504,1.713,0.1538,0.4744,-1.466,0.01,-2.132,0.017,-1.554,-0.168
Xucun 许村,79,79,0.0,0.706,2.007,0.3291,0.5696,-1.73,0.007,-2.09,-0.316,-1.854,-0.274
Zhanqi 瞻淇,81,81,0.0,1.43,4.53,0.4321,0.5556,-1.77,-0.216,-2.149,-0.768,-1.438,-0.845
Changxi 昌溪,79,79,0.0,0.236,1.016,0.0253,0.1392,-1.673,0.014,-1.214,-0.003,-0.997,-0.034
Shitan 石潭,80,80,0.0,0.197,0.577,0.0,0.075,-1.364,0.019,-0.959,-0.004,-0.393,-0.053
Zuyuan 祖源,78,78,0.0,0.475,3.518,0.1923,0.2949,0.829,0.124,-0.27,-0.189,-0.383,-0.201
Mulihong 木梨硔,77,77,0.0,0.164,3.234,0.026,0.039,-0.087,0.018,-0.125,-0.031,0.172,-0.001
Longchuan 龙川,79,79,0.0,0.742,3.163,0.2658,0.443,-1.938,-0.068,-2.659,-0.371,-1.863,-0.179
Renli 仁里,80,80,0.0,0.787,2.914,0.25,0.55,0.297,0.234,-0.975,-0.144,-0.47,-0.312
Shangzhuang 上庄,80,80,0.0,0.985,2.384,0.4625,0.775,-1.546,-0.012,-1.992,-0.107,-1.88,-0.066
Kantou 磡头,80,80,0.0,0.965,2.923,0.4125,0.5875,-1.52,0.014,-1.197,-0.285,-0.53,-0.17
Lixi 历溪,79,79,0.0,0.49,2.264,0.1772,0.3924,-1.484,0.04,-1.569,0.175,-1.277,-0.292
Zhukou 渚口,78,78,0.0,0.424,3.171,0.141,0.2051,-1.217,0.049,-0.697,-0.038,-0.828,-0.412
Huansha 环砂,79,79,0.0,0.256,0.831,0.0,0.2152,-1.545,-0.037,-1.345,0.006,-0.493,-0.027
