village,n_core,n_core_strict,share_mid,dlst_v1_strict
Hongcun 宏村,79,74,0.0633,1.591
Xidi 西递,76,74,0.0263,4.407
Lucun 卢村,81,81,0.0,1.233
Pingshan 屏山,78,77,0.0128,1.085
Nanping 南屏,79,79,0.0,2.794
Guanlu 关麓,77,77,0.0,3.45
Tachuan 塔川,76,76,0.0,0.136
Bishan 碧山,80,80,0.0,0.04
Chengkan 呈坎,79,79,0.0,3.8
Tangmo 唐模,80,80,0.0,1.443
Shuyuan 蜀源,80,80,0.0,1.926
Lingshan 灵山,78,78,0.0,2.282
Qiankou 潜口,79,79,0.0,4.496
Yuliang 渔梁,78,78,0.0,7.691
Tangyue 棠樾,79,79,0.0,1.814
Xiongcun 雄村,78,78,0.0,5.063
Xucun 许村,79,79,0.0,0.232
Zhanqi 瞻淇,81,81,0.0,4.153
Changxi 昌溪,79,74,0.0633,4.16
Shitan 石潭,80,80,0.0,0.054
Zuyuan 祖源,78,78,0.0,0.559
Mulihong 木梨硔,77,77,0.0,0.029
Longchuan 龙川,79,71,0.1013,2.477
Renli 仁里,80,80,0.0,1.156
Shangzhuang 上庄,80,80,0.0,4.004
Kantou 磡头,80,80,0.0,2.815
Lixi 历溪,79,78,0.0127,4.258
Zhukou 渚口,78,78,0.0,2.718
Huansha 环砂,79,79,0.0,1.269
