village,county,lon,lat,built_dom_ha,built_fd_ha,elong_fd,compact_fd,elev_m,relief_m,slope_deg,southness,ns_asym_m,tsvf,forest_ring_pct,water_mean_m,water_min_m,lst_v2,lst_bg2,dlst_v3,dlst_sd,n_scenes,ci_lo,ci_hi,p_pos,obs_min,obs_med,cov85_4p,cov95_4p,rsrp_mean_4p,rsrp_p10_4p,cov85_p0_0,cov85_p0_1250,cov85_p1250_0,cov85_p1250_1250
Hongcun 宏村,黟县,117.97877,30.00398,32.85,31.9,1.231,0.0524,302.2,139,3.0,0.2,-7.8,0.993,54.8,394.0,10.0,34.21,32.97,0.84,3.52,14,-0.85,2.68,0.8196,10,12,100.0,100.0,-75.25,-78.12,100.0,100.0,100.0,100.0
Xidi 西递,黟县,117.989,29.90572,14.31,14.16,2.889,0.0172,230.2,212,4.3,0.379,-2.8,0.982,83.6,374.0,10.0,38.69,33.64,4.29,0.86,6,3.61,4.83,1.0,5,6,96.55,97.32,-76.1,-81.25,100.0,86.8,99.4,100.0
Lucun 卢村,黟县,117.97046,30.01716,7.47,7.59,1.487,0.0233,322.4,278,3.9,0.279,41.5,0.985,60.5,1351.0,687.0,33.88,32.42,1.55,2.11,13,0.53,2.68,1.0,10,13,97.0,100.0,-74.6,-78.1,100.0,100.0,88.0,100.0
Pingshan 屏山,黟县,117.97569,29.94208,19.8,20.22,1.238,0.0316,214.5,113,3.4,0.345,5.3,0.992,44.6,857.0,108.0,36.12,34.93,0.14,2.73,13,-1.28,1.56,0.5754,6,11,100.0,100.0,-73.85,-76.03,100.0,100.0,100.0,100.0
Nanping 南屏,黟县,117.89974,29.90152,14.4,13.83,1.442,0.0325,211.6,112,2.6,-0.067,-24.1,0.992,35.1,1658.0,398.0,38.18,35.85,2.47,1.09,6,1.6,3.28,1.0,6,6,100.0,100.0,-76.2,-77.6,100.0,100.0,100.0,100.0
Guanlu 关麓,黟县,117.86535,29.89811,4.86,5.12,1.352,0.013,232.6,199,3.7,-0.201,-17.4,0.988,46.9,1573.0,319.0,37.98,34.58,3.22,1.31,6,2.29,4.18,1.0,5,6,100.0,100.0,-74.97,-76.3,100.0,100.0,100.0,100.0
Tachuan 塔川,黟县,118.00432,30.02193,2.34,2.14,3.082,0.0285,552.1,538,20.4,0.075,183.9,0.968,72.2,2305.0,1813.0,31.34,30.93,0.13,1.15,13,-0.43,0.76,0.6667,8,10,98.48,100.0,-71.28,-76.6,100.0,100.0,100.0,93.9
Bishan 碧山,黟县,117.90895,29.95348,27.9,27.56,1.669,0.0217,241.5,318,2.9,0.501,47.3,0.989,42.1,610.0,10.0,35.97,35.73,0.25,3.16,14,-1.31,1.86,0.6107,13,14,99.85,100.0,-74.2,-76.68,100.0,100.0,100.0,99.4
Chengkan 呈坎,徽州区,118.27538,29.92048,17.28,16.89,1.794,0.0164,197.1,245,4.6,0.189,7.0,0.987,71.5,587.0,10.0,36.86,33.87,3.58,0.82,6,2.92,4.1,1.0,6,6,99.88,100.0,-76.22,-78.78,100.0,100.0,99.5,100.0
Tangmo 唐模,徽州区,118.32897,29.87157,16.11,16.36,1.641,0.0367,144.4,54,3.3,0.12,-2.9,0.999,60.3,594.0,50.0,37.46,36.37,1.13,0.25,6,0.97,1.34,1.0,6,6,99.85,100.0,-73.97,-76.62,100.0,100.0,100.0,99.4
Shuyuan 蜀源,徽州区,118.33107,29.90929,6.75,6.08,1.603,0.0473,158.2,227,5.9,0.277,25.7,0.98,78.9,2397.0,949.0,35.11,33.44,1.82,0.31,6,1.64,2.07,1.0,6,6,90.02,91.68,-76.32,-83.45,90.7,88.0,90.7,90.7
Lingshan 灵山,徽州区,118.31642,29.91924,2.25,2.4,1.506,0.0342,284.3,355,9.7,0.33,23.1,0.971,87.1,2197.0,771.0,34.55,32.54,2.2,0.37,6,1.96,2.49,1.0,5,6,81.78,85.58,-80.45,-96.6,93.9,84.8,63.6,84.8
Qiankou 潜口,徽州区,118.29549,29.86674,29.97,29.32,1.658,0.0313,170.7,102,3.5,0.274,16.5,0.997,60.4,1044.0,36.0,39.82,35.7,4.1,0.62,6,3.66,4.53,1.0,6,6,99.78,100.0,-73.53,-77.2,100.0,99.7,99.7,99.7
Yuliang 渔梁,歙县,118.43587,29.86988,56.79,56.24,1.064,0.0472,133.4,152,6.9,0.037,2.5,0.995,67.0,351.0,10.0,42.94,36.41,6.32,0.66,6,5.81,6.76,1.0,6,6,86.3,94.25,-77.45,-88.68,71.0,76.7,99.4,98.1
Tangyue 棠樾,歙县,118.3603,29.8683,15.75,16.07,1.375,0.0216,132.6,38,3.3,0.321,5.4,0.999,37.9,399.0,10.0,39.85,38.03,1.52,0.63,6,1.08,2.0,1.0,6,6,99.28,100.0,-72.8,-76.08,100.0,99.4,99.4,98.3
