family,metric,target,rho,p,p_ess,q,q_ess,ci_lo,ci_hi,n,n_eff,survive_fdr,survive_fdr_ess
F1 raw,built_dom_ha,lst_abs,0.607,0.000478,0.001228,0.0023,0.0074,0.217,0.844,29,25.2,True,True
F1 raw,built_dom_ha,dlst_v3m,0.497,0.006073,0.004242,0.0208,0.017,0.107,0.779,29,31.3,True,True
F1 raw,built_dom_ha,cov85_4p,0.472,0.009727,0.020694,0.0292,0.0552,-0.005,0.804,29,23.7,True,False
F1 raw,built_dom_ha,rsrp_p10_4p,0.354,0.059636,0.071362,0.1245,0.1558,-0.17,0.752,29,26.8,False,False
F1 raw,elong_fd,lst_abs,-0.121,0.539775,0.558378,0.7403,0.7658,-0.533,0.334,28,25.7,False,False
F1 raw,elong_fd,dlst_v3m,-0.023,0.906455,0.902511,0.9505,0.9516,-0.491,0.428,28,30.2,False,False
F1 raw,elong_fd,cov85_4p,-0.325,0.09137,0.088821,0.1754,0.1776,-0.712,0.141,28,28.4,False,False
F1 raw,elong_fd,rsrp_p10_4p,-0.241,0.217479,0.214416,0.36,0.3676,-0.59,0.158,28,28.3,False,False
F1 raw,compact_fd,lst_abs,-0.193,0.324576,0.373769,0.5193,0.5787,-0.549,0.136,28,23.3,False,False
F1 raw,compact_fd,dlst_v3m,-0.065,0.742948,0.746196,0.8293,0.8736,-0.495,0.299,28,27.3,False,False
F1 raw,compact_fd,cov85_4p,-0.361,0.058782,0.071398,0.1245,0.1558,-0.701,0.121,28,25.7,False,False
F1 raw,compact_fd,rsrp_p10_4p,-0.406,0.032225,0.041293,0.0814,0.0991,-0.714,0.033,28,25.6,False,False
F1 raw,elev_m,lst_abs,-0.555,0.001772,0.015786,0.0071,0.0466,-0.847,-0.03,29,18.3,True,True
F1 raw,elev_m,dlst_v3m,-0.279,0.142595,0.200292,0.2535,0.3561,-0.627,0.202,29,22.7,False,False
F1 raw,elev_m,cov85_4p,0.065,0.736372,0.801837,0.8293,0.8747,-0.428,0.541,29,17.2,False,False
F1 raw,elev_m,rsrp_p10_4p,0.064,0.742306,0.792549,0.8293,0.8747,-0.438,0.544,29,19.5,False,False
F1 raw,relief_m,lst_abs,-0.709,1.6e-05,0.000194,0.0002,0.0019,-0.861,-0.41,29,22.3,True,True
F1 raw,relief_m,dlst_v3m,-0.451,0.014001,0.016508,0.0373,0.0466,-0.689,-0.14,29,27.7,True,True
F1 raw,relief_m,cov85_4p,-0.657,0.000107,0.001201,0.0007,0.0074,-0.807,-0.424,29,21.0,True,True
F1 raw,relief_m,rsrp_p10_4p,-0.587,0.00081,0.00271,0.0035,0.0118,-0.816,-0.265,29,23.7,True,True
F1 raw,slope_deg,lst_abs,-0.383,0.040097,0.083627,0.0917,0.1745,-0.723,0.067,29,21.3,False,False
F1 raw,slope_deg,dlst_v3m,-0.073,0.706456,0.720155,0.8293,0.8642,-0.469,0.353,29,26.5,False,False
F1 raw,slope_deg,cov85_4p,-0.851,0.0,2e-06,0.0,0.0001,-0.935,-0.699,29,20.1,True,True
F1 raw,slope_deg,rsrp_p10_4p,-0.771,1e-06,2e-05,0.0,0.0003,-0.922,-0.51,29,22.7,True,True
