pair,dropped_county,rho,p,n
tsvf~lst_abs,(full sample),0.528,0.00323,29
tsvf~lst_abs,休宁县,0.554,0.0027,27
tsvf~lst_abs,徽州区,0.444,0.0296,24
tsvf~lst_abs,歙县,0.556,0.0072,22
tsvf~lst_abs,祁门县,0.492,0.0107,26
tsvf~lst_abs,绩溪县,0.549,0.0045,25
tsvf~lst_abs,黟县,0.606,0.0036,21
tsvf~cov85_4p,(full sample),0.573,0.00117,29
tsvf~cov85_4p,休宁县,0.61,0.0007,27
tsvf~cov85_4p,徽州区,0.554,0.0049,24
tsvf~cov85_4p,歙县,0.626,0.0018,22
tsvf~cov85_4p,祁门县,0.557,0.0031,26
tsvf~cov85_4p,绩溪县,0.555,0.0039,25
tsvf~cov85_4p,黟县,0.509,0.0186,21
tsvf~rsrp_p10_4p,(full sample),0.519,0.00393,29
tsvf~rsrp_p10_4p,休宁县,0.546,0.0032,27
tsvf~rsrp_p10_4p,徽州区,0.466,0.0217,24
tsvf~rsrp_p10_4p,歙县,0.543,0.009,22
tsvf~rsrp_p10_4p,祁门县,0.512,0.0075,26
tsvf~rsrp_p10_4p,绩溪县,0.523,0.0073,25
tsvf~rsrp_p10_4p,黟县,0.47,0.0315,21
forest_ring_pct~cov85_4p,(full sample),-0.739,0.0,29
forest_ring_pct~cov85_4p,休宁县,-0.676,0.0001,27
forest_ring_pct~cov85_4p,徽州区,-0.735,0.0,24
forest_ring_pct~cov85_4p,歙县,-0.885,0.0,22
forest_ring_pct~cov85_4p,祁门县,-0.742,0.0,26
forest_ring_pct~cov85_4p,绩溪县,-0.684,0.0002,25
forest_ring_pct~cov85_4p,黟县,-0.701,0.0004,21
forest_ring_pct~lst_abs,(full sample),-0.676,6e-05,29
forest_ring_pct~lst_abs,休宁县,-0.603,0.0009,27
forest_ring_pct~lst_abs,徽州区,-0.644,0.0007,24
forest_ring_pct~lst_abs,歙县,-0.753,0.0001,22
forest_ring_pct~lst_abs,祁门县,-0.647,0.0004,26
forest_ring_pct~lst_abs,绩溪县,-0.645,0.0005,25
forest_ring_pct~lst_abs,黟县,-0.839,0.0,21
slope_deg~cov85_4p,(full sample),-0.847,0.0,29
slope_deg~cov85_4p,休宁县,-0.811,0.0,27
slope_deg~cov85_4p,徽州区,-0.853,0.0,24
slope_deg~cov85_4p,歙县,-0.883,0.0,22
slope_deg~cov85_4p,祁门县,-0.846,0.0,26
slope_deg~cov85_4p,绩溪县,-0.833,0.0,25
slope_deg~cov85_4p,黟县,-0.844,0.0,21
relief_m~lst_abs,(full sample),-0.693,3e-05,29
relief_m~lst_abs,休宁县,-0.621,0.0005,27
relief_m~lst_abs,徽州区,-0.654,0.0005,24
relief_m~lst_abs,歙县,-0.791,0.0,22
