variable,I,p,I_rank,p_rank,n
built_dom_ha,-0.06,0.477,-0.041,0.616,29
cover_dom_pct,-0.05,0.529,-0.039,0.633,29
elong_fd,-0.047,0.562,0.004,0.961,28
compact_fd,0.052,0.508,0.054,0.481,28
edge_den_m_ha,-0.046,0.588,-0.076,0.304,28
patch_den,-0.045,0.558,-0.102,0.14,28
lps_pct,-0.077,0.318,-0.06,0.44,28
elev_m,0.256,0.001,0.267,0.001,29
relief_m,0.126,0.059,0.107,0.116,29
slope_deg,0.156,0.014,0.121,0.09,29
southness,0.01,0.909,-0.034,0.652,29
ns_asym_m,-0.092,0.149,-0.057,0.478,29
tsvf,0.145,0.022,0.117,0.095,29
forest_ring_pct,0.077,0.313,0.085,0.255,29
water_mean_m,-0.043,0.619,-0.025,0.768,29
water_min_m,-0.001,0.991,-0.013,0.884,29
lst_abs,0.177,0.008,0.161,0.014,29
dlst_v3m,-0.023,0.77,-0.034,0.675,29
cov85_4p,0.225,0.002,0.134,0.053,29
rsrp_p10_4p,0.124,0.053,0.125,0.076,29
