village,cov85,cov95,rsrp_mean,rsrp_p10,n_sites,n_tgt,phase
Hongcun 宏村,100.0,100.0,-61.8,-66.8,49,365,p0_0
Xidi 西递,100.0,100.0,-72.3,-74.9,50,159,p0_0
Lucun 卢村,100.0,100.0,-73.3,-74.9,50,83,p0_0
Pingshan 屏山,100.0,100.0,-71.4,-73.3,49,220,p0_0
Nanping 南屏,100.0,100.0,-71.5,-73.5,51,160,p0_0
Guanlu 关麓,100.0,100.0,-70.8,-73.0,54,54,p0_0
Tachuan 塔川,100.0,100.0,-70.0,-73.0,52,33,p0_0
Bishan 碧山,100.0,100.0,-70.5,-73.3,52,310,p0_0
Chengkan 呈坎,100.0,100.0,-69.3,-73.6,49,192,p0_0
Tangmo 唐模,100.0,100.0,-69.1,-72.0,50,179,p0_0
Shuyuan 蜀源,96.0,100.0,-68.4,-70.6,47,75,p0_0
Lingshan 灵山,100.0,100.0,-68.6,-79.8,49,33,p0_0
Qiankou 潜口,100.0,100.0,-60.6,-67.8,49,333,p0_0
Yuliang 渔梁,86.5,100.0,-74.1,-85.5,49,631,p0_0
Tangyue 棠樾,100.0,100.0,-61.5,-64.1,48,175,p0_0
Xiongcun 雄村,98.0,100.0,-72.0,-74.0,49,102,p0_0
Xucun 许村,100.0,100.0,-64.9,-67.9,50,209,p0_0
Zhanqi 瞻淇,78.2,96.4,-79.2,-90.3,50,220,p0_0
Changxi 昌溪,97.2,100.0,-70.0,-82.3,49,215,p0_0
Shitan 石潭,96.7,100.0,-72.5,-76.9,48,60,p0_0
Zuyuan 祖源,100.0,100.0,-65.1,-81.0,48,33,p0_0
Mulihong 木梨硔,90.9,97.0,-78.4,-82.4,44,33,p0_0
Longchuan 龙川,100.0,100.0,-66.7,-71.1,51,200,p0_0
Renli 仁里,100.0,100.0,-62.6,-66.7,52,51,p0_0
Shangzhuang 上庄,100.0,100.0,-74.0,-75.7,51,324,p0_0
Kantou 磡头,100.0,100.0,-77.8,-80.4,20,149,p0_0
Lixi 历溪,97.8,100.0,-74.2,-82.2,45,268,p0_0
Zhukou 渚口,95.4,100.0,-70.2,-75.9,41,153,p0_0
Huansha 环砂,90.3,100.0,-73.1,-74.6,48,31,p0_0
Hongcun 宏村,100.0,100.0,-71.2,-75.9,52,365,p1250_0
Xidi 西递,99.4,100.0,-70.5,-73.0,53,159,p1250_0
Lucun 卢村,100.0,100.0,-68.5,-82.8,52,83,p1250_0
Pingshan 屏山,100.0,100.0,-50.7,-54.3,49,220,p1250_0
Nanping 南屏,100.0,100.0,-71.1,-72.9,51,160,p1250_0
Guanlu 关麓,100.0,100.0,-63.8,-66.1,50,54,p1250_0
Tachuan 塔川,100.0,100.0,-62.1,-67.0,51,33,p1250_0
Bishan 碧山,100.0,100.0,-70.9,-73.2,52,310,p1250_0
Chengkan 呈坎,99.5,100.0,-71.1,-73.7,51,192,p1250_0
Tangmo 唐模,100.0,100.0,-55.2,-57.6,48,179,p1250_0
Shuyuan 蜀源,90.7,100.0,-67.7,-69.2,49,75,p1250_0
Lingshan 灵山,63.6,90.9,-83.1,-94.6,50,33,p1250_0
Qiankou 潜口,99.7,100.0,-68.5,-72.8,51,333,p1250_0
Yuliang 渔梁,100.0,100.0,-62.6,-79.2,48,631,p1250_0
Tangyue 棠樾,100.0,100.0,-58.9,-65.2,48,175,p1250_0
Xiongcun 雄村,100.0,100.0,-60.8,-73.3,48,102,p1250_0
Xucun 许村,100.0,100.0,-70.4,-71.9,49,209,p1250_0
Zhanqi 瞻淇,94.5,95.5,-74.3,-81.9,50,220,p1250_0
Changxi 昌溪,100.0,100.0,-67.2,-79.8,48,215,p1250_0
Shitan 石潭,98.3,100.0,-70.7,-76.4,50,60,p1250_0
Zuyuan 祖源,66.7,100.0,-81.4,-86.9,49,33,p1250_0
Mulihong 木梨硔,81.8,100.0,-70.5,-86.4,43,33,p1250_0
Longchuan 龙川,100.0,100.0,-74.1,-77.4,49,200,p1250_0
Renli 仁里,37.3,100.0,-81.9,-89.3,51,51,p1250_0
Shangzhuang 上庄,100.0,100.0,-73.4,-74.6,51,324,p1250_0
Kantou 磡头,100.0,100.0,-70.5,-79.2,22,149,p1250_0
Lixi 历溪,100.0,100.0,-62.3,-68.2,45,268,p1250_0
Zhukou 渚口,92.2,100.0,-72.9,-81.8,41,153,p1250_0
Huansha 环砂,96.8,100.0,-73.5,-79.1,47,31,p1250_0
Hongcun 宏村,100.0,100.0,-68.7,-73.4,51,365,p0_1250
Xidi 西递,86.8,100.0,-70.6,-85.8,49,159,p0_1250
Lucun 卢村,100.0,100.0,-67.6,-69.9,50,83,p0_1250
Pingshan 屏山,100.0,100.0,-74.7,-76.5,51,220,p0_1250
Nanping 南屏,100.0,100.0,-68.5,-70.9,50,160,p0_1250
Guanlu 关麓,100.0,100.0,-73.6,-75.1,51,54,p0_1250
Tachuan 塔川,100.0,100.0,-68.1,-75.8,51,33,p0_1250
Bishan 碧山,100.0,100.0,-59.3,-64.8,51,310,p0_1250
Chengkan 呈坎,100.0,100.0,-73.0,-76.1,51,192,p0_1250
Tangmo 唐模,100.0,100.0,-71.3,-73.1,50,179,p0_1250
Shuyuan 蜀源,88.0,100.0,-71.9,-89.6,49,75,p0_1250
Lingshan 灵山,87.9,100.0,-70.3,-88.8,47,33,p0_1250
Qiankou 潜口,99.7,100.0,-67.9,-75.5,51,333,p0_1250
Yuliang 渔梁,77.8,88.7,-78.8,-95.3,51,631,p0_1250
Tangyue 棠樾,100.0,100.0,-65.7,-75.9,52,175,p0_1250
Xiongcun 雄村,100.0,100.0,-73.9,-75.4,51,102,p0_1250
Xucun 许村,100.0,100.0,-61.4,-66.0,51,209,p0_1250
Zhanqi 瞻淇,100.0,100.0,-71.1,-73.6,49,220,p0_1250
Changxi 昌溪,94.9,97.7,-71.6,-77.3,52,215,p0_1250
Shitan 石潭,100.0,100.0,-63.7,-79.8,51,60,p0_1250
Zuyuan 祖源,97.0,100.0,-66.0,-77.7,45,33,p0_1250
Mulihong 木梨硔,78.8,97.0,-78.3,-89.0,40,33,p0_1250
Longchuan 龙川,100.0,100.0,-75.0,-81.8,49,200,p0_1250
Renli 仁里,100.0,100.0,-59.7,-61.9,49,51,p0_1250
Shangzhuang 上庄,100.0,100.0,-69.3,-71.8,54,324,p0_1250
Kantou 磡头,96.0,100.0,-73.2,-80.5,22,149,p0_1250
Lixi 历溪,98.1,99.6,-74.3,-76.8,46,268,p0_1250
Zhukou 渚口,98.7,99.3,-75.5,-78.7,41,153,p0_1250
Huansha 环砂,100.0,100.0,-68.9,-81.9,46,31,p0_1250
Hongcun 宏村,100.0,100.0,-72.9,-76.7,53,365,p1250_1250
Xidi 西递,100.0,100.0,-64.9,-68.1,48,159,p1250_1250
Lucun 卢村,100.0,100.0,-60.5,-63.0,50,83,p1250_1250
Pingshan 屏山,100.0,100.0,-72.3,-76.2,51,220,p1250_1250
Nanping 南屏,100.0,100.0,-69.5,-72.4,52,160,p1250_1250
Guanlu 关麓,100.0,100.0,-64.8,-67.4,50,54,p1250_1250
Tachuan 塔川,100.0,100.0,-53.1,-63.7,50,33,p1250_1250
Bishan 碧山,100.0,100.0,-67.0,-72.3,53,310,p1250_1250
Chengkan 呈坎,100.0,100.0,-68.0,-74.4,51,192,p1250_1250
Tangmo 唐模,100.0,100.0,-71.1,-79.3,49,179,p1250_1250
Shuyuan 蜀源,90.7,100.0,-67.4,-78.3,48,75,p1250_1250
Lingshan 灵山,87.9,100.0,-73.1,-86.9,50,33,p1250_1250
Qiankou 潜口,99.7,100.0,-66.0,-70.8,51,333,p1250_1250
Yuliang 渔梁,99.4,100.0,-67.4,-76.1,50,631,p1250_1250
Tangyue 棠樾,99.4,100.0,-72.1,-73.9,48,175,p1250_1250
Xiongcun 雄村,100.0,100.0,-67.2,-71.9,49,102,p1250_1250
Xucun 许村,100.0,100.0,-71.9,-76.1,49,209,p1250_1250
Zhanqi 瞻淇,99.5,100.0,-63.4,-78.8,52,220,p1250_1250
Changxi 昌溪,98.1,100.0,-70.3,-72.0,49,215,p1250_1250
Shitan 石潭,50.0,100.0,-78.6,-90.8,50,60,p1250_1250
Zuyuan 祖源,97.0,100.0,-67.3,-81.4,46,33,p1250_1250
Mulihong 木梨硔,60.6,100.0,-78.2,-93.9,40,33,p1250_1250
Longchuan 龙川,100.0,100.0,-65.6,-67.9,52,200,p1250_1250
Renli 仁里,100.0,100.0,-62.3,-66.2,49,51,p1250_1250
Shangzhuang 上庄,100.0,100.0,-54.2,-57.2,51,324,p1250_1250
Kantou 磡头,99.3,100.0,-69.3,-78.0,25,149,p1250_1250
Lixi 历溪,93.3,99.6,-73.6,-84.3,45,268,p1250_1250
Zhukou 渚口,99.3,100.0,-73.2,-80.2,40,153,p1250_1250
Huansha 环砂,100.0,100.0,-69.8,-73.2,44,31,p1250_1250
