village,n_scenes,n_l8,n_l9,year_min,year_max,frames
Hongcun 宏村,14,11,3,2019,2025,120/39;120/40
Xidi 西递,6,5,1,2019,2025,120/39
Lucun 卢村,13,11,2,2019,2025,120/39;120/40
Pingshan 屏山,13,10,3,2019,2025,120/39;120/40
Nanping 南屏,6,5,1,2019,2025,120/39
Guanlu 关麓,6,5,1,2019,2025,120/39
Tachuan 塔川,13,11,2,2019,2025,120/39;120/40
Bishan 碧山,14,11,3,2019,2025,120/39;120/40
Chengkan 呈坎,6,5,1,2019,2025,120/39
Tangmo 唐模,6,5,1,2019,2025,120/39
Shuyuan 蜀源,6,5,1,2019,2025,120/39
Lingshan 灵山,6,5,1,2019,2025,120/39
Qiankou 潜口,6,5,1,2019,2025,120/39
Yuliang 渔梁,6,5,1,2019,2025,120/39
Tangyue 棠樾,6,5,1,2019,2025,120/39
Xiongcun 雄村,6,5,1,2019,2025,120/39
Xucun 许村,14,11,3,2019,2025,120/39;120/40
Zhanqi 瞻淇,6,5,1,2019,2025,120/39
Changxi 昌溪,6,5,1,2019,2025,120/39
Shitan 石潭,14,11,3,2019,2025,120/39;120/40
Zuyuan 祖源,6,5,1,2019,2025,120/39
Mulihong 木梨硔,6,5,1,2019,2025,120/39
Longchuan 龙川,13,10,3,2019,2025,120/39;120/40
Renli 仁里,12,10,2,2019,2025,120/39;120/40
Shangzhuang 上庄,14,11,3,2019,2025,120/39;120/40
Kantou 磡头,6,5,1,2019,2025,120/39
Lixi 历溪,12,8,4,2019,2025,120/39;121/39
Zhukou 渚口,13,9,4,2019,2025,120/39;121/39
Huansha 环砂,12,8,4,2019,2025,120/39;121/39
