village,ci_hi_V1,ci_hi_V2,ci_hi_V3,ci_lo_V1,ci_lo_V2,ci_lo_V3,dlst_V1,dlst_V2,dlst_V3,dlst_cov25_V1,dlst_cov25_V2,dlst_cov25_V3,dlst_with_nearzero_V1,dlst_with_nearzero_V2,dlst_with_nearzero_V3,n_over_V1,n_over_V2,n_over_V3,p_pos_V1,p_pos_V2,p_pos_V3
Bishan 碧山,1.25,2.35,0.91,-1.18,-1.08,-0.56,0.04,0.64,0.16,0.04,0.64,0.16,0.04,0.64,0.16,9,9,9,0.5209,0.772,0.6551
Changxi 昌溪,4.45,7.98,2.34,3.71,6.38,1.83,4.09,7.22,2.11,4.09,7.22,2.11,4.09,7.22,2.11,6,6,6,1.0,1.0,1.0
Chengkan 呈坎,4.36,7.22,2.1,3.09,5.19,1.47,3.8,6.23,1.78,3.8,6.23,1.78,3.8,6.23,1.78,6,6,6,1.0,1.0,1.0
Guanlu 关麓,4.42,,1.33,2.49,,0.58,3.45,,1.02,3.45,,1.02,3.45,,1.02,6,0,6,1.0,,0.9999
Hongcun 宏村,3.52,5.42,3.4,-0.25,-0.04,-0.1,1.6,2.65,1.59,1.6,2.65,1.59,1.6,2.65,1.59,9,9,9,0.9515,0.9726,0.9682
Huansha 环砂,1.88,,0.38,0.34,,-1.41,1.27,,-0.28,1.27,,-0.28,1.27,,-0.28,12,0,12,0.9912,,0.3566
Kantou 磡头,3.06,6.22,2.06,2.5,5.18,1.32,2.81,5.71,1.68,2.81,5.71,1.68,2.81,5.71,1.68,6,6,6,1.0,1.0,1.0
Lingshan 灵山,2.59,,2.28,2.04,,1.77,2.28,,2.0,2.28,,2.0,2.28,,2.0,6,0,6,1.0,,1.0
Lixi 历溪,5.03,7.73,2.55,3.07,6.78,0.94,4.27,7.26,1.88,4.83,7.26,2.31,4.27,7.26,1.88,12,11,12,1.0,1.0,0.9998
Longchuan 龙川,3.08,5.03,1.15,1.6,2.01,0.61,2.37,3.49,0.87,2.37,3.49,0.87,2.37,3.49,0.87,8,8,8,1.0,1.0,1.0
Lucun 卢村,2.05,3.98,0.79,0.38,0.9,-0.26,1.23,2.48,0.32,1.23,2.48,0.32,1.23,2.48,0.32,9,9,9,0.9985,0.9992,0.8783
Mulihong 木梨硔,0.2,,0.54,-0.13,,0.15,0.03,,0.33,0.03,,0.33,0.03,,0.33,6,0,6,0.619,,1.0
Nanping 南屏,3.61,7.51,1.3,1.88,5.09,0.68,2.79,6.41,0.97,2.79,6.41,0.97,2.79,6.41,0.97,6,6,6,1.0,1.0,1.0
Pingshan 屏山,2.22,6.03,2.07,-0.21,2.21,0.29,1.06,4.26,1.14,1.5,4.26,1.41,1.06,4.26,1.14,8,7,8,0.9513,0.9999,0.9963
Qiankou 潜口,4.98,7.23,2.84,4.0,5.82,1.81,4.5,6.55,2.36,4.5,6.55,2.36,4.5,6.55,2.36,6,6,6,1.0,1.0,1.0
Renli 仁里,2.75,,2.64,-0.48,,0.24,1.16,,1.49,2.11,,1.88,1.16,,1.49,9,0,8,0.9146,,0.9886
Shangzhuang 上庄,4.87,6.48,3.18,3.1,3.83,1.98,4.0,5.21,2.59,4.0,5.75,2.59,4.0,5.21,2.59,9,9,9,1.0,1.0,1.0
Shitan 石潭,0.66,2.95,-0.04,-0.6,0.51,-1.68,0.05,1.76,-0.82,0.05,1.76,-0.82,0.05,1.76,-0.82,9,8,9,0.577,0.9973,0.0182
Shuyuan 蜀源,2.18,6.98,1.12,1.73,5.59,0.4,1.93,6.23,0.75,1.93,6.23,0.75,1.93,6.23,0.75,6,6,6,1.0,1.0,1.0
Tachuan 塔川,0.79,,-0.16,-0.49,,-1.6,0.14,,-0.91,0.3,,-0.98,0.14,,-0.91,8,0,7,0.6533,,0.0081
Tangmo 唐模,1.65,5.88,1.66,1.25,4.45,1.08,1.44,5.17,1.35,1.44,5.17,1.35,1.44,5.17,1.35,6,6,6,1.0,1.0,1.0
Tangyue 棠樾,2.3,4.4,2.21,1.28,3.0,1.16,1.81,3.79,1.73,1.81,3.79,1.73,1.81,3.79,1.73,6,6,6,1.0,1.0,1.0
Xidi 西递,4.98,10.66,3.17,3.75,8.06,1.94,4.43,9.62,2.57,4.43,9.62,2.57,4.43,9.62,2.57,6,6,6,1.0,1.0,1.0
Xiongcun 雄村,6.01,7.52,2.08,4.04,6.21,1.35,5.06,6.9,1.73,5.06,6.9,1.73,5.06,6.9,1.73,6,6,6,1.0,1.0,1.0
Xucun 许村,2.02,4.13,1.02,-2.04,-2.48,-1.69,0.23,1.27,-0.04,0.23,1.27,-0.04,0.23,1.27,-0.04,9,9,9,0.62,0.7737,0.522
Yuliang 渔梁,8.31,9.42,4.9,6.98,7.86,3.44,7.69,8.7,4.19,7.69,8.7,4.19,7.69,8.7,4.19,6,6,6,1.0,1.0,1.0
Zhanqi 瞻淇,4.63,8.19,2.12,3.63,6.4,1.49,4.15,7.32,1.83,4.15,7.32,1.83,4.15,7.32,1.83,6,6,6,1.0,1.0,1.0
Zhukou 渚口,3.18,7.86,1.79,2.17,6.77,0.78,2.72,7.3,1.34,2.94,7.3,1.52,2.72,7.3,1.34,13,11,13,1.0,1.0,1.0
Zuyuan 祖源,0.66,,1.1,0.45,,0.83,0.56,,0.96,0.56,,0.96,0.56,,0.96,6,0,6,1.0,,1.0
