metric,target,rho,p,p_ess,n,n_eff,ci_lo,ci_hi,p_boot,q,q_ess,survive,survive_ess
elong_fd,lst_abs,-0.027,0.8901379190760841,0.8951075666983568,28,25.7,-0.52,0.386,0.859,0.9108388009150628,0.913662956962943,False,False
elong_fd,dlst_v3m,0.07,0.7242120134448486,0.7130338359650333,28,30.2,-0.352,0.512,0.7656,0.8612250970695497,0.8479321292557154,False,False
elong_fd,cov85_4p,-0.282,0.1461061922306959,0.14292400038810305,28,28.4,-0.704,0.294,0.3094,0.32143362290753097,0.34936977872647407,False,False
elong_fd,rsrp_p10_4p,-0.202,0.3019808039669948,0.298756127070225,28,28.3,-0.59,0.215,0.3468,0.4921168657239915,0.525810783643596,False,False
compact_fd,lst_abs,-0.303,0.11656281644508865,0.15648821500923737,28,23.3,-0.63,0.052,0.0867,0.3016919955049353,0.3623937610740234,False,False
compact_fd,dlst_v3m,-0.129,0.5142903876484839,0.5198123380554063,28,27.3,-0.516,0.191,0.3821,0.6655522663686262,0.6930831174072084,False,False
compact_fd,cov85_4p,-0.444,0.01785699470695609,0.02384048879796157,28,25.7,-0.703,0.008,0.054,0.06547564725883899,0.09536195519184627,False,False
compact_fd,rsrp_p10_4p,-0.455,0.015074663312793345,0.02056283183816629,28,25.6,-0.704,-0.008,0.0473,0.06029865325117338,0.09047646008793167,False,False
elev_m,lst_abs,-0.46,0.012007936842873657,0.052442449640493154,29,18.3,-0.796,0.096,0.09,0.052834922108644086,0.19228898201514155,False,False
elev_m,dlst_v3m,-0.129,0.5043691108690714,0.5597817916012793,29,22.7,-0.476,0.324,0.5515,0.6655522663686262,0.7244234950134202,False,False
elev_m,cov85_4p,0.279,0.1422042049966251,0.27389938804768016,29,17.2,-0.112,0.613,0.1814,0.32143362290753097,0.5248469175991768,False,False
elev_m,rsrp_p10_4p,0.214,0.2641904943767853,0.3717926975358878,29,19.5,-0.204,0.562,0.3715,0.4843492396907731,0.6058843959844097,False,False
relief_m,lst_abs,-0.525,0.0034414944796448198,0.011392758125783093,29,22.3,-0.741,-0.153,0.0153,0.01934556183585443,0.07132836385884965,True,False
relief_m,dlst_v3m,-0.199,0.2997352724766581,0.31164597351037165,29,27.7,-0.503,0.168,0.2901,0.4921168657239915,0.5274008782483213,False,False
