metric,target,rho,p,p_ess,p_perm,n,n_eff,ci_lo,ci_hi,p_boot,q,q_perm,q_ess,survive,survive_perm,survive_ess,survive_dual
cover_dom_pct,lst_abs,0.354,0.05986305621748065,0.08359876883967277,0.0646,29,24.9,-0.435,0.726,0.5659,0.2112813748852258,0.228,0.28592345235987815,False,False,False,False
cover_dom_pct,dlst_v3m,0.417,0.02433367156989575,0.024333671569895684,0.023,29,29.0,-0.291,0.645,0.1536,0.10428716387098179,0.10615384615384614,0.1564900649816972,False,False,False,False
cover_dom_pct,cov85_4p,-0.234,0.22254422106694707,0.24735890480607467,0.2358,29,26.3,-0.449,0.153,0.1182,0.5009781364331429,0.5244444444444445,0.5300547960130172,False,False,False,False
cover_dom_pct,rsrp_p10_4p,-0.212,0.26948373070246606,0.2862945431612474,0.3019,29,27.2,-0.501,0.202,0.1836,0.5215814142628376,0.5509999999999999,0.5795166908394648,False,False,False,False
elong_fd,lst_abs,-0.027,0.8901379190760841,0.9015807380814271,0.8934,28,22.9,-0.485,0.369,0.887,0.9613974326031511,0.9625714285714285,0.9659793622301004,False,False,False,False
elong_fd,dlst_v3m,0.07,0.7242120134448486,0.7242120134448486,0.7351,28,28.0,-0.351,0.503,0.7309,0.9094974914511895,0.9103333333333333,0.9113020150525544,False,False,False,False
elong_fd,cov85_4p,-0.282,0.1461061922306959,0.17671611948577767,0.157,28,24.5,-0.684,0.287,0.3254,0.3506548613536702,0.3768,0.449496561511785,False,False,False,False
elong_fd,rsrp_p10_4p,-0.202,0.3019808039669948,0.32845516701936717,0.3066,28,25.4,-0.608,0.215,0.3474,0.5285106694972774,0.5509999999999999,0.5971912127624858,False,False,False,False
compact_fd,lst_abs,-0.303,0.11656281644508865,0.1724048560729334,0.1238,28,21.8,-0.64,0.058,0.0874,0.33303661841453897,0.3537142857142857,0.449496561511785,False,False,False,False
compact_fd,dlst_v3m,-0.129,0.5142903876484839,0.5250871879304013,0.5268,28,26.7,-0.506,0.18,0.3821,0.7343096689261909,0.7385333333333333,0.7684202750200995,False,False,False,False
compact_fd,cov85_4p,-0.444,0.01785699470695609,0.03246838046106429,0.0214,28,23.3,-0.701,0.049,0.07,0.09317428585758508,0.10615384615384614,0.16528014839997676,False,False,False,False
compact_fd,rsrp_p10_4p,-0.455,0.015074663312793345,0.025378391521109895,0.0152,28,24.1,-0.693,0.002,0.052,0.09044797987676008,0.0912,0.1564900649816972,False,False,False,False
